model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
キングハナハナ-30,23,8843,1639,35,30,0,1/136.0,1/252.7,1/294.8,1/0.0
キングハナハナ-30,25,1638,-984,2,3,0,1/327.6,1/819.0,1/546.0,1/0.0
キングハナハナ-30,26,2512,-695,7,3,0,1/251.2,1/358.9,1/837.3,1/0.0
キングハナハナ-30,27,4256,-109,16,9,0,1/170.2,1/266.0,1/472.9,1/0.0
キングハナハナ-30,28,7105,1603,33,13,0,1/154.5,1/215.3,1/546.5,1/0.0
キングハナハナ-30,30,1378,-244,4,3,0,1/196.9,1/344.5,1/459.3,1/0.0
キングハナハナ-30,31,2850,-140,10,6,0,1/178.1,1/285.0,1/475.0,1/0.0
キングハナハナ-30,32,3573,1117,17,8,0,1/142.9,1/210.2,1/446.6,1/0.0
キングハナハナ-30,33,1751,-417,4,4,0,1/218.9,1/437.8,1/437.8,1/0.0
キングハナハナ-30,35,2426,484,11,5,0,1/151.6,1/220.5,1/485.2,1/0.0
キングハナハナ-30,36,4800,582,19,14,0,1/145.5,1/252.6,1/342.9,1/0.0
キングハナハナ-30,37,2685,605,12,7,0,1/141.3,1/223.8,1/383.6,1/0.0
キングハナハナ-30,38,1441,-1153,2,1,0,1/480.3,1/720.5,1/1441.0,1/0.0
キングハナハナ-30,50,630,-483,1,0,0,1/630.0,1/630.0,1/0.0,1/0.0
キングハナハナ-30,51,8135,2089,33,25,0,1/140.3,1/246.5,1/325.4,1/0.0
キングハナハナ-30,52,3084,-1054,10,3,0,1/237.2,1/308.4,1/1028.0,1/0.0
キングハナハナ-30,53,3883,-274,15,6,0,1/184.9,1/258.9,1/647.2,1/0.0
キングハナハナ-30,55,3878,591,14,14,0,1/138.5,1/277.0,1/277.0,1/0.0
マイジャグラーV,78,3161,-555,10,10,0,1/158.1,1/316.1,1/316.1,1/0.0
マイジャグラーV,80,8023,1168,30,32,0,1/129.4,1/267.4,1/250.7,1/0.0
マイジャグラーV,81,1482,-734,4,0,0,1/370.5,1/370.5,1/0.0,1/0.0
マイジャグラーV,82,6747,528,25,19,0,1/153.3,1/269.9,1/355.1,1/0.0
マイジャグラーV,83,1449,-126,6,3,0,1/161.0,1/241.5,1/483.0,1/0.0
マイジャグラーV,85,4605,-488,15,13,0,1/164.5,1/307.0,1/354.2,1/0.0
マイジャグラーV,86,3867,401,16,11,0,1/143.2,1/241.7,1/351.5,1/0.0
マイジャグラーV,87,4310,346,19,8,0,1/159.6,1/226.8,1/538.8,1/0.0
マイジャグラーV,88,2529,-1189,4,8,0,1/210.8,1/632.2,1/316.1,1/0.0
マイジャグラーV,100,5888,792,26,15,0,1/143.6,1/226.5,1/392.5,1/0.0
マイジャグラーV,101,2370,-519,6,5,0,1/215.5,1/395.0,1/474.0,1/0.0
マイジャグラーV,102,4310,168,19,8,0,1/159.6,1/226.8,1/538.8,1/0.0
マイジャグラーV,103,2638,-1304,6,5,0,1/239.8,1/439.7,1/527.6,1/0.0
マイジャグラーV,105,4478,-337,14,17,0,1/144.5,1/319.9,1/263.4,1/0.0
マイジャグラーV,106,3914,-1302,11,9,0,1/195.7,1/355.8,1/434.9,1/0.0
沖ドキ!GOLD‐30,56,3311,1243,27,7,0,1/97.4,1/122.6,1/473.0,1/0.0
沖ドキ!GOLD‐30,57,212,288,2,2,0,1/53.0,1/106.0,1/106.0,1/0.0
沖ドキ!GOLD‐30,58,690,-298,3,2,0,1/138.0,1/230.0,1/345.0,1/0.0
沖ドキ!GOLD‐30,60,288,176,2,2,0,1/72.0,1/144.0,1/144.0,1/0.0
沖ドキ!GOLD‐30,61,237,561,4,1,0,1/47.4,1/59.2,1/237.0,1/0.0
沖ドキ!GOLD‐30,62,3647,-1010,16,15,0,1/117.6,1/227.9,1/243.1,1/0.0
沖ドキ!GOLD‐30,63,796,114,6,1,0,1/113.7,1/132.7,1/796.0,1/0.0
沖ドキ!GOLD‐30,65,3643,-516,20,9,0,1/125.6,1/182.2,1/404.8,1/0.0
沖ドキ!GOLD‐30,66,1861,-1177,5,7,0,1/155.1,1/372.2,1/265.9,1/0.0
沖ドキ!GOLD‐30,67,1552,1639,16,7,0,1/67.5,1/97.0,1/221.7,1/0.0
沖ドキ!GOLD‐30,68,435,-690,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD‐30,70,2389,-1102,8,11,0,1/125.7,1/298.6,1/217.2,1/0.0
沖ドキ!GOLD‐30,71,240,1272,6,3,0,1/26.7,1/40.0,1/80.0,1/0.0
沖ドキ!GOLD‐30,72,683,914,8,3,0,1/62.1,1/85.4,1/227.7,1/0.0
