model_name,unit_no,game,BB,RB,合成確率,BB確率,RB確率,medals
アイムジャグラーEX-TP,803,1903,9,5,1/135.9,1/211.4,1/380.6,0
アイムジャグラーEX-TP,804,3910,13,12,1/156.4,1/300.8,1/325.8,0
アイムジャグラーEX-TP,805,3482,19,10,1/120.1,1/183.3,1/348.2,0
アイムジャグラーEX-TP,881,1581,5,4,1/175.7,1/316.2,1/395.2,0
アイムジャグラーEX-TP,882,3775,13,12,1/151.0,1/290.4,1/314.6,0
アイムジャグラーEX-TP,883,373,0,0,1/0.0,1/0.0,1/0.0,0
アイムジャグラーEX-TP,884,3357,13,5,1/186.5,1/258.2,1/671.4,0
アイムジャグラーEX-TP,885,4982,22,8,1/166.1,1/226.5,1/622.8,0
アイムジャグラーEX-TP,886,561,1,1,1/280.5,1/561.0,1/561.0,0
アイムジャグラーEX-TP,887,7944,28,24,1/152.8,1/283.7,1/331.0,0
アイムジャグラーEX-TP,888,2489,8,8,1/155.6,1/311.1,1/311.1,0
アイムジャグラーEX-TP,889,3653,16,12,1/130.5,1/228.3,1/304.4,0
アイムジャグラーEX-TP,890,2793,6,7,1/214.8,1/465.5,1/399.0,0
アイムジャグラーEX-TP,891,2382,8,4,1/198.5,1/297.8,1/595.5,0
アイムジャグラーEX-TP,892,2573,9,6,1/171.5,1/285.9,1/428.8,0
アイムジャグラーEX-TP,893,2268,9,10,1/119.4,1/252.0,1/226.8,0
アイムジャグラーEX-TP,958,3602,14,15,1/124.2,1/257.3,1/240.1,0
アイムジャグラーEX-TP,959,3648,19,10,1/125.8,1/192.0,1/364.8,0
アイムジャグラーEX-TP,960,924,3,0,1/308.0,1/308.0,1/0.0,0
アイムジャグラーEX-TP,961,2584,8,5,1/198.8,1/323.0,1/516.8,0
アイムジャグラーEX-TP,962,3821,10,10,1/191.1,1/382.1,1/382.1,0
アイムジャグラーEX-TP,963,856,2,1,1/285.3,1/428.0,1/856.0,0
アイムジャグラーEX-TP,964,1809,7,3,1/180.9,1/258.4,1/603.0,0
アイムジャグラーEX-TP,965,924,3,0,1/308.0,1/308.0,1/0.0,0
