model_name,unit_no,game,BB,RB,合成確率,BB確率,RB確率,medals
アイムジャグラーEX-TP,803,1834,5,4,1/203.8,1/366.8,1/458.5,0
アイムジャグラーEX-TP,804,1610,7,1,1/201.2,1/230.0,1/1610.0,0
アイムジャグラーEX-TP,805,1850,6,3,1/205.6,1/308.3,1/616.7,0
アイムジャグラーEX-TP,881,7681,34,25,1/130.2,1/225.9,1/307.2,0
アイムジャグラーEX-TP,882,562,0,1,1/562.0,1/0.0,1/562.0,0
アイムジャグラーEX-TP,883,524,1,1,1/262.0,1/524.0,1/524.0,0
アイムジャグラーEX-TP,884,4101,12,9,1/195.3,1/341.8,1/455.7,0
アイムジャグラーEX-TP,885,2399,10,4,1/171.4,1/239.9,1/599.8,0
アイムジャグラーEX-TP,886,1667,3,5,1/208.4,1/555.7,1/333.4,0
アイムジャグラーEX-TP,887,3300,14,7,1/157.1,1/235.7,1/471.4,0
アイムジャグラーEX-TP,888,4024,21,10,1/129.8,1/191.6,1/402.4,0
アイムジャグラーEX-TP,889,662,1,2,1/220.7,1/662.0,1/331.0,0
アイムジャグラーEX-TP,890,431,1,0,1/431.0,1/431.0,1/0.0,0
アイムジャグラーEX-TP,891,4870,22,15,1/131.6,1/221.4,1/324.7,0
アイムジャグラーEX-TP,892,959,2,2,1/239.8,1/479.5,1/479.5,0
アイムジャグラーEX-TP,893,2207,9,5,1/157.6,1/245.2,1/441.4,0
アイムジャグラーEX-TP,958,2110,10,2,1/175.8,1/211.0,1/1055.0,0
アイムジャグラーEX-TP,959,932,1,0,1/932.0,1/932.0,1/0.0,0
アイムジャグラーEX-TP,960,2182,6,5,1/198.4,1/363.7,1/436.4,0
アイムジャグラーEX-TP,961,1232,5,1,1/205.3,1/246.4,1/1232.0,0
アイムジャグラーEX-TP,962,3525,12,7,1/185.5,1/293.8,1/503.6,0
アイムジャグラーEX-TP,963,4442,20,11,1/143.3,1/222.1,1/403.8,0
アイムジャグラーEX-TP,964,1208,2,2,1/302.0,1/604.0,1/604.0,0
アイムジャグラーEX-TP,965,992,1,1,1/496.0,1/992.0,1/992.0,0
アイムジャグラーEX-TP,966,1759,3,2,1/351.8,1/586.3,1/879.5,0
スマスロ北斗の拳,905,2059,16,4,1/103.0,1/128.7,1/514.8,0
スマスロ北斗の拳,906,362,2,1,1/120.7,1/181.0,1/362.0,0
スマスロ北斗の拳,907,1338,18,3,1/63.7,1/74.3,1/446.0,0
スマスロ北斗の拳,908,1737,11,2,1/133.6,1/157.9,1/868.5,0
スマスロ北斗の拳,909,145,6,1,1/20.7,1/24.2,1/145.0,0
スマスロ北斗の拳,910,2361,11,6,1/138.9,1/214.6,1/393.5,0
スマスロ北斗の拳,911,159,2,1,1/53.0,1/79.5,1/159.0,0
スマスロ北斗の拳,912,491,1,1,1/245.5,1/491.0,1/491.0,0
スマスロ北斗の拳,913,350,1,1,1/175.0,1/350.0,1/350.0,0
スマスロ北斗の拳,914,3555,40,16,1/63.5,1/88.9,1/222.2,0
スマスロ北斗の拳,915,278,2,1,1/92.7,1/139.0,1/278.0,0
スマスロ北斗の拳,916,1530,9,5,1/109.3,1/170.0,1/306.0,0
スマスロ北斗の拳,935,1207,23,2,1/48.3,1/52.5,1/603.5,0
スマスロ北斗の拳,936,334,4,1,1/66.8,1/83.5,1/334.0,0
スマスロ北斗の拳,937,1192,13,4,1/70.1,1/91.7,1/298.0,0
スマスロ北斗の拳,938,1510,9,4,1/116.2,1/167.8,1/377.5,0
スマスロ北斗の拳,939,684,11,1,1/57.0,1/62.2,1/684.0,0
スマスロ北斗の拳,940,151,5,1,1/25.2,1/30.2,1/151.0,0
スマスロ北斗の拳,941,4038,18,9,1/149.6,1/224.3,1/448.7,0
スマスロ北斗の拳,942,295,5,1,1/49.2,1/59.0,1/295.0,0
スマスロ北斗の拳,943,1508,26,2,1/53.9,1/58.0,1/754.0,0
スマスロ北斗の拳,944,324,3,1,1/81.0,1/108.0,1/324.0,0
スマスロ北斗の拳,945,365,6,2,1/45.6,1/60.8,1/182.5,0
スマスロ北斗の拳,946,1619,11,2,1/124.5,1/147.2,1/809.5,0
マイジャグラーV,894,3482,14,7,1/165.8,1/248.7,1/497.4,0
マイジャグラーV,895,4143,16,10,1/159.3,1/258.9,1/414.3,0
マイジャグラーV,896,7163,36,24,1/119.4,1/199.0,1/298.5,0
マイジャグラーV,897,931,2,2,1/232.8,1/465.5,1/465.5,0
マイジャグラーV,898,2538,6,8,1/181.3,1/423.0,1/317.2,0
マイジャグラーV,899,4292,20,6,1/165.1,1/214.6,1/715.3,0
マイジャグラーV,900,2605,6,7,1/200.4,1/434.2,1/372.1,0
マイジャグラーV,901,3406,8,9,1/200.4,1/425.8,1/378.4,0
マイジャグラーV,902,1043,2,1,1/347.7,1/521.5,1/1043.0,0
マイジャグラーV,903,1233,2,3,1/246.6,1/616.5,1/411.0,0
マイジャグラーV,904,4660,14,14,1/166.4,1/332.9,1/332.9,0
マイジャグラーV,947,7872,27,28,1/143.1,1/291.6,1/281.1,0
マイジャグラーV,948,6446,34,22,1/115.1,1/189.6,1/293.0,0
マイジャグラーV,949,1054,4,2,1/175.7,1/263.5,1/527.0,0
マイジャグラーV,950,694,1,0,1/694.0,1/694.0,1/0.0,0
マイジャグラーV,951,3699,16,10,1/142.3,1/231.2,1/369.9,0
マイジャグラーV,952,2732,13,5,1/151.8,1/210.2,1/546.4,0
マイジャグラーV,953,3502,10,11,1/166.8,1/350.2,1/318.4,0
マイジャグラーV,954,2770,12,9,1/131.9,1/230.8,1/307.8,0
マイジャグラーV,955,517,0,1,1/517.0,1/0.0,1/517.0,0
マイジャグラーV,956,1401,2,0,1/700.5,1/700.5,1/0.0,0
マイジャグラーV,957,6142,16,23,1/157.5,1/383.9,1/267.0,0
からくりサーカス,1017,871,4,2,1/145.2,1/217.8,1/435.5,0
からくりサーカス,1018,76,0,0,1/0.0,1/0.0,1/0.0,0
からくりサーカス,1019,912,6,1,1/130.3,1/152.0,1/912.0,0
からくりサーカス,1020,3540,35,13,1/73.8,1/101.1,1/272.3,0
からくりサーカス,1021,110,0,1,1/110.0,1/0.0,1/110.0,0
からくりサーカス,1022,1090,14,2,1/68.1,1/77.9,1/545.0,0
からくりサーカス,1023,1991,18,7,1/79.6,1/110.6,1/284.4,0
からくりサーカス,1024,1119,15,4,1/58.9,1/74.6,1/279.8,0
からくりサーカス,1025,92,0,0,1/0.0,1/0.0,1/0.0,0
からくりサーカス,1026,81,0,0,1/0.0,1/0.0,1/0.0,0
からくりサーカス,1027,2182,21,8,1/75.2,1/103.9,1/272.8,0
からくりサーカス,1028,2297,2,3,1/459.4,1/1148.5,1/765.7,0
モンキーターンV,706,4527,53,17,1/64.7,1/85.4,1/266.3,0
モンキーターンV,823,1493,11,5,1/93.3,1/135.7,1/298.6,0
モンキーターンV,824,608,11,4,1/40.5,1/55.3,1/152.0,0
モンキーターンV,825,724,8,4,1/60.3,1/90.5,1/181.0,0
モンキーターンV,826,2405,20,10,1/80.2,1/120.2,1/240.5,0
モンキーターンV,827,271,1,1,1/135.5,1/271.0,1/271.0,0
モンキーターンV,828,1809,14,3,1/106.4,1/129.2,1/603.0,0
モンキーターンV,829,1302,7,4,1/118.4,1/186.0,1/325.5,0
モンキーターンV,830,3109,38,12,1/62.2,1/81.8,1/259.1,0
モンキーターンV,831,2267,23,6,1/78.2,1/98.6,1/377.8,0
モンキーターンV,832,1252,16,4,1/62.6,1/78.2,1/313.0,0
モンキーターンV,833,533,7,2,1/59.2,1/76.1,1/266.5,0
ゴーゴージャグラー3,865,1256,3,2,1/251.2,1/418.7,1/628.0,0
ゴーゴージャグラー3,866,1401,6,1,1/200.1,1/233.5,1/1401.0,0
ゴーゴージャグラー3,867,2163,11,3,1/154.5,1/196.6,1/721.0,0
ゴーゴージャグラー3,868,327,2,0,1/163.5,1/163.5,1/0.0,0
ゴーゴージャグラー3,869,6201,23,16,1/159.0,1/269.6,1/387.6,0
ゴーゴージャグラー3,870,2859,17,11,1/102.1,1/168.2,1/259.9,0
ゴーゴージャグラー3,871,391,0,1,1/391.0,1/0.0,1/391.0,0
ゴーゴージャグラー3,872,1912,4,5,1/212.4,1/478.0,1/382.4,0
ゴーゴージャグラー3,873,4247,19,11,1/141.6,1/223.5,1/386.1,0
ゴーゴージャグラー3,874,187,0,0,1/0.0,1/0.0,1/0.0,0
ゴーゴージャグラー3,875,5638,23,20,1/131.1,1/245.1,1/281.9,0
ドラゴンハナハナ～閃光～‐30,1101,6885,25,16,1/167.9,1/275.4,1/430.3,0
ドラゴンハナハナ～閃光～‐30,1102,213,1,0,1/213.0,1/213.0,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1103,192,1,0,1/192.0,1/192.0,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1104,185,0,0,1/0.0,1/0.0,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1105,69,0,0,1/0.0,1/0.0,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1106,170,0,0,1/0.0,1/0.0,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1107,1769,7,0,1/252.7,1/252.7,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1108,548,3,0,1/182.7,1/182.7,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1109,289,1,0,1/289.0,1/289.0,1/0.0,0
ドラゴンハナハナ～閃光～‐30,1110,1671,7,4,1/151.9,1/238.7,1/417.8,0
沖ドキ!GOLD‐30,1090,2762,7,4,1/251.1,1/394.6,1/690.5,0
沖ドキ!GOLD‐30,1091,786,19,5,1/32.8,1/41.4,1/157.2,0
沖ドキ!GOLD‐30,1092,3569,11,7,1/198.3,1/324.5,1/509.9,0
沖ドキ!GOLD‐30,1093,357,1,0,1/357.0,1/357.0,1/0.0,0
沖ドキ!GOLD‐30,1094,1263,11,4,1/84.2,1/114.8,1/315.8,0
沖ドキ!GOLD‐30,1095,2524,10,7,1/148.5,1/252.4,1/360.6,0
沖ドキ!GOLD‐30,1096,193,0,0,1/0.0,1/0.0,1/0.0,0
沖ドキ!GOLD‐30,1097,3258,6,5,1/296.2,1/543.0,1/651.6,0
沖ドキ!GOLD‐30,1098,237,0,0,1/0.0,1/0.0,1/0.0,0
沖ドキ!GOLD‐30,1099,780,6,2,1/97.5,1/130.0,1/390.0,0
革命機ヴァルヴレイヴ,1008,409,0,0,1/0.0,1/0.0,1/0.0,0
革命機ヴァルヴレイヴ,1009,1148,2,2,1/287.0,1/574.0,1/574.0,0
革命機ヴァルヴレイヴ,1010,1345,2,1,1/448.3,1/672.5,1/1345.0,0
革命機ヴァルヴレイヴ,1011,906,19,0,1/47.7,1/47.7,1/0.0,0
革命機ヴァルヴレイヴ,1012,1780,9,3,1/148.3,1/197.8,1/593.3,0
革命機ヴァルヴレイヴ,1013,2788,30,3,1/84.5,1/92.9,1/929.3,0
革命機ヴァルヴレイヴ,1014,0,0,0,1/0.0,1/0.0,1/0.0,0
革命機ヴァルヴレイヴ,1015,0,0,0,1/0.0,1/0.0,1/0.0,0
革命機ヴァルヴレイヴ,1016,178,0,0,1/0.0,1/0.0,1/0.0,0
ゴッドイーター リザレクション,849,1301,13,4,1/76.5,1/100.1,1/325.2,0
ゴッドイーター リザレクション,850,3157,16,7,1/137.3,1/197.3,1/451.0,0
ゴッドイーター リザレクション,851,397,4,2,1/66.2,1/99.2,1/198.5,0
ゴッドイーター リザレクション,852,1929,23,4,1/71.4,1/83.9,1/482.2,0
ゴッドイーター リザレクション,853,1449,18,6,1/60.4,1/80.5,1/241.5,0
ゴッドイーター リザレクション,854,870,6,2,1/108.8,1/145.0,1/435.0,0
ゴッドイーター リザレクション,855,2251,24,7,1/72.6,1/93.8,1/321.6,0
ゴッドイーター リザレクション,856,874,5,2,1/124.9,1/174.8,1/437.0,0
モンスターハンターライズ,857,1856,5,3,1/232.0,1/371.2,1/618.7,0
モンスターハンターライズ,858,952,18,3,1/45.3,1/52.9,1/317.3,0
モンスターハンターライズ,859,1248,11,5,1/78.0,1/113.5,1/249.6,0
モンスターハンターライズ,860,1947,29,6,1/55.6,1/67.1,1/324.5,0
モンスターハンターライズ,861,1894,13,8,1/90.2,1/145.7,1/236.8,0
モンスターハンターライズ,862,1538,29,3,1/48.1,1/53.0,1/512.7,0
モンスターハンターライズ,863,1077,23,2,1/43.1,1/46.8,1/538.5,0
モンスターハンターライズ,864,2616,61,9,1/37.4,1/42.9,1/290.7,0
かぐや様は告らせたい,987,1783,10,3,1/137.2,1/178.3,1/594.3,0
かぐや様は告らせたい,988,2360,7,5,1/196.7,1/337.1,1/472.0,0
かぐや様は告らせたい,989,758,1,0,1/758.0,1/758.0,1/0.0,0
かぐや様は告らせたい,990,1395,24,1,1/55.8,1/58.1,1/1395.0,0
かぐや様は告らせたい,991,0,0,0,1/0.0,1/0.0,1/0.0,0
かぐや様は告らせたい,992,5358,36,12,1/111.6,1/148.8,1/446.5,0
かぐや様は告らせたい,993,0,0,0,1/0.0,1/0.0,1/0.0,0
ゴジラ,711,5563,26,16,1/132.5,1/214.0,1/347.7,0
ゴジラ,1138,5737,32,18,1/114.7,1/179.3,1/318.7,0
ゴジラ,1139,5703,46,15,1/93.5,1/124.0,1/380.2,0
ゴジラ,1140,4158,25,9,1/122.3,1/166.3,1/462.0,0
ゴジラ,1141,6047,20,13,1/183.2,1/302.4,1/465.2,0
ゴジラ,1142,6165,26,17,1/143.4,1/237.1,1/362.6,0
ジャグラーガールズ,817,747,1,0,1/747.0,1/747.0,1/0.0,0
ジャグラーガールズ,818,701,3,0,1/233.7,1/233.7,1/0.0,0
ジャグラーガールズ,819,529,1,1,1/264.5,1/529.0,1/529.0,0
ジャグラーガールズ,820,431,0,3,1/143.7,1/0.0,1/143.7,0
ジャグラーガールズ,821,257,1,0,1/257.0,1/257.0,1/0.0,0
ジャグラーガールズ,822,5744,17,17,1/168.9,1/337.9,1/337.9,0
スーパーブラックジャック,777,2014,43,2,1/44.8,1/46.8,1/1007.0,0
スーパーブラックジャック,778,1482,10,5,1/98.8,1/148.2,1/296.4,0
スーパーブラックジャック,779,1095,7,2,1/121.7,1/156.4,1/547.5,0
スーパーブラックジャック,780,1056,25,1,1/40.6,1/42.2,1/1056.0,0
スーパーブラックジャック,781,1874,69,5,1/25.3,1/27.2,1/374.8,0
スーパーブラックジャック,782,442,4,0,1/110.5,1/110.5,1/0.0,0
ダンベル何キロ持てる？,994,409,8,2,1/40.9,1/51.1,1/204.5,0
ダンベル何キロ持てる？,995,1941,23,6,1/66.9,1/84.4,1/323.5,0
ダンベル何キロ持てる？,996,2282,19,8,1/84.5,1/120.1,1/285.2,0
ダンベル何キロ持てる？,997,1915,25,7,1/59.8,1/76.6,1/273.6,0
ダンベル何キロ持てる？,998,101,7,1,1/12.6,1/14.4,1/101.0,0
ダンベル何キロ持てる？,999,999,7,3,1/99.9,1/142.7,1/333.0,0
バイオハザード5,834,3568,23,12,1/101.9,1/155.1,1/297.3,0
バイオハザード5,835,477,1,1,1/238.5,1/477.0,1/477.0,0
バイオハザード5,836,1056,2,2,1/264.0,1/528.0,1/528.0,0
バイオハザード5,837,2394,8,5,1/184.2,1/299.2,1/478.8,0
バイオハザード5,838,1768,7,5,1/147.3,1/252.6,1/353.6,0
バイオハザード5,839,371,1,1,1/185.5,1/371.0,1/371.0,0
ミスタージャグラー,811,332,1,0,1/332.0,1/332.0,1/0.0,0
ミスタージャグラー,812,3741,17,10,1/138.6,1/220.1,1/374.1,0
ミスタージャグラー,813,353,0,2,1/176.5,1/0.0,1/176.5,0
ミスタージャグラー,814,284,1,0,1/284.0,1/284.0,1/0.0,0
ミスタージャグラー,815,1386,4,2,1/231.0,1/346.5,1/693.0,0
ミスタージャグラー,816,3935,12,18,1/131.2,1/327.9,1/218.6,0
戦国乙女4 戦乱に閃く炯眼の軍師,765,2651,12,5,1/155.9,1/220.9,1/530.2,0
戦国乙女4 戦乱に閃く炯眼の軍師,766,2123,15,8,1/92.3,1/141.5,1/265.4,0
戦国乙女4 戦乱に閃く炯眼の軍師,767,5026,15,7,1/228.5,1/335.1,1/718.0,0
戦国乙女4 戦乱に閃く炯眼の軍師,768,2665,9,5,1/190.4,1/296.1,1/533.0,0
戦国乙女4 戦乱に閃く炯眼の軍師,769,1739,6,7,1/133.8,1/289.8,1/248.4,0
戦国乙女4 戦乱に閃く炯眼の軍師,770,441,1,1,1/220.5,1/441.0,1/441.0,0
押忍！番長4,771,2428,10,3,1/186.8,1/242.8,1/809.3,0
押忍！番長4,772,65,0,0,1/0.0,1/0.0,1/0.0,0
押忍！番長4,773,786,8,1,1/87.3,1/98.2,1/786.0,0
押忍！番長4,774,1996,13,2,1/133.1,1/153.5,1/998.0,0
押忍！番長4,775,434,2,1,1/144.7,1/217.0,1/434.0,0
押忍！番長4,776,169,2,1,1/56.3,1/84.5,1/169.0,0
新鬼武者2,735,103,25,18,1/2.4,1/4.1,1/5.7,0
新鬼武者2,736,201,1,0,1/201.0,1/201.0,1/0.0,0
新鬼武者2,737,390,3,2,1/78.0,1/130.0,1/195.0,0
新鬼武者2,738,0,0,0,1/0.0,1/0.0,1/0.0,0
新鬼武者2,739,25,0,0,1/0.0,1/0.0,1/0.0,0
新鬼武者2,740,405,19,14,1/12.3,1/21.3,1/28.9,0
東京喰種,1000,1500,6,7,1/115.4,1/250.0,1/214.3,0
東京喰種,1001,3407,38,12,1/68.1,1/89.7,1/283.9,0
東京喰種,1002,2755,8,9,1/162.1,1/344.4,1/306.1,0
東京喰種,1003,3666,18,15,1/111.1,1/203.7,1/244.4,0
東京喰種,1004,2991,7,10,1/175.9,1/427.3,1/299.1,0
東京喰種,1005,4157,47,19,1/63.0,1/88.4,1/218.8,0
甲鉄城のカバネリ,750,535,8,3,1/48.6,1/66.9,1/178.3,0
甲鉄城のカバネリ,751,114,15,1,1/7.1,1/7.6,1/114.0,0
甲鉄城のカバネリ,752,504,4,1,1/100.8,1/126.0,1/504.0,0
甲鉄城のカバネリ,753,874,5,4,1/97.1,1/174.8,1/218.5,0
甲鉄城のカバネリ,754,256,3,1,1/64.0,1/85.3,1/256.0,0
甲鉄城のカバネリ,755,1016,20,4,1/42.3,1/50.8,1/254.0,0
ToLOVEるダークネス,1148,1403,22,8,1/46.8,1/63.8,1/175.4,0
ToLOVEるダークネス,1149,1203,8,4,1/100.2,1/150.4,1/300.8,0
ToLOVEるダークネス,1150,2506,11,4,1/167.1,1/227.8,1/626.5,0
ToLOVEるダークネス,1151,1873,24,7,1/60.4,1/78.0,1/267.6,0
ToLOVEるダークネス,1152,4345,20,10,1/144.8,1/217.2,1/434.5,0
ありふれた職業で世界最強,844,2679,8,8,1/167.4,1/334.9,1/334.9,0
ありふれた職業で世界最強,845,767,6,3,1/85.2,1/127.8,1/255.7,0
ありふれた職業で世界最強,846,266,2,2,1/66.5,1/133.0,1/133.0,0
ありふれた職業で世界最強,847,272,1,1,1/136.0,1/272.0,1/272.0,0
ありふれた職業で世界最強,848,287,3,1,1/71.8,1/95.7,1/287.0,0
ウルトラミラクルジャグラー,806,453,2,1,1/151.0,1/226.5,1/453.0,0
ウルトラミラクルジャグラー,807,4874,26,16,1/116.0,1/187.5,1/304.6,0
ウルトラミラクルジャグラー,808,816,0,3,1/272.0,1/0.0,1/272.0,0
ウルトラミラクルジャグラー,809,700,2,0,1/350.0,1/350.0,1/0.0,0
