model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,6,8193,1265,33,25,0,1/141.3,1/248.3,1/327.7,1/0.0
アイムジャグラーEX-TP,7,6837,-779,22,14,0,1/189.9,1/310.8,1/488.4,1/0.0
アイムジャグラーEX-TP,8,3318,-120,12,9,0,1/158.0,1/276.5,1/368.7,1/0.0
アイムジャグラーEX-TP,10,6278,582,23,23,0,1/136.5,1/273.0,1/273.0,1/0.0
アイムジャグラーEX-TP,107,5345,-1586,15,9,0,1/222.7,1/356.3,1/593.9,1/0.0
アイムジャグラーEX-TP,108,3637,-451,13,9,0,1/165.3,1/279.8,1/404.1,1/0.0
アイムジャグラーEX-TP,110,5308,-792,18,13,0,1/171.2,1/294.9,1/408.3,1/0.0
ゴーゴージャグラー3,11,4946,1739,27,12,0,1/126.8,1/183.2,1/412.2,1/0.0
ゴーゴージャグラー3,12,8481,2102,34,50,0,1/101.0,1/249.4,1/169.6,1/0.0
ゴーゴージャグラー3,13,7784,2452,44,21,0,1/119.8,1/176.9,1/370.7,1/0.0
ゴーゴージャグラー3,15,4874,-53,20,12,0,1/152.3,1/243.7,1/406.2,1/0.0
ゴーゴージャグラー3,16,6109,-1925,13,26,0,1/156.6,1/469.9,1/235.0,1/0.0
ゴーゴージャグラー3,17,4485,-1683,10,16,0,1/172.5,1/448.5,1/280.3,1/0.0
ゴーゴージャグラー3,18,4048,-1302,12,10,0,1/184.0,1/337.3,1/404.8,1/0.0
ゴーゴージャグラー3,20,7261,-186,28,23,0,1/142.4,1/259.3,1/315.7,1/0.0
ゴーゴージャグラー3,21,6077,120,26,17,0,1/141.3,1/233.7,1/357.5,1/0.0
ゴーゴージャグラー3,22,3651,-844,13,9,0,1/166.0,1/280.8,1/405.7,1/0.0
からくりサーカス,155,4335,1546,63,14,0,1/56.3,1/68.8,1/309.6,1/0.0
からくりサーカス,156,6220,-1477,72,27,0,1/62.8,1/86.4,1/230.4,1/0.0
からくりサーカス,157,2877,-1270,23,7,0,1/95.9,1/125.1,1/411.0,1/0.0
からくりサーカス,158,2355,1440,37,5,0,1/56.1,1/63.6,1/471.0,1/0.0
からくりサーカス,160,5335,-301,60,13,0,1/73.1,1/88.9,1/410.4,1/0.0
からくりサーカス,161,4751,4569,75,20,0,1/50.0,1/63.3,1/237.6,1/0.0
からくりサーカス,162,2664,-2723,11,6,0,1/156.7,1/242.2,1/444.0,1/0.0
からくりサーカス,163,6724,-4212,55,23,0,1/86.2,1/122.3,1/292.3,1/0.0
からくりサーカス,165,5720,4126,84,23,0,1/53.5,1/68.1,1/248.7,1/0.0
革命機ヴァルヴレイヴ,166,1890,-1558,14,3,0,1/111.2,1/135.0,1/630.0,1/0.0
革命機ヴァルヴレイヴ,167,5520,4736,89,3,0,1/60.0,1/62.0,1/1840.0,1/0.0
革命機ヴァルヴレイヴ,168,1123,-1519,3,2,0,1/224.6,1/374.3,1/561.5,1/0.0
革命機ヴァルヴレイヴ,170,4317,-1640,30,2,0,1/134.9,1/143.9,1/2158.5,1/0.0
革命機ヴァルヴレイヴ,171,4991,3182,88,4,0,1/54.2,1/56.7,1/1247.8,1/0.0
革命機ヴァルヴレイヴ,172,2277,-2423,13,3,0,1/142.3,1/175.2,1/759.0,1/0.0
革命機ヴァルヴレイヴ,173,2699,-2608,16,2,0,1/149.9,1/168.7,1/1349.5,1/0.0
革命機ヴァルヴレイヴ,175,1940,695,23,3,0,1/74.6,1/84.3,1/646.7,1/0.0
革命機ヴァルヴレイヴ,176,4033,1416,64,3,0,1/60.2,1/63.0,1/1344.3,1/0.0
モンキーターンV,253,5096,-2764,0,10,24,1/149.9,1/0.0,1/509.6,1/212.3
モンキーターンV,255,7442,436,0,13,43,1/132.9,1/0.0,1/572.5,1/173.1
モンキーターンV,256,6650,1610,0,13,51,1/103.9,1/0.0,1/511.5,1/130.4
モンキーターンV,257,4434,-2187,0,9,24,1/134.4,1/0.0,1/492.7,1/184.8
モンキーターンV,258,7572,-4114,0,11,33,1/172.1,1/0.0,1/688.4,1/229.5
押忍！番長4,320,2097,-97,0,2,11,1/161.3,1/0.0,1/1048.5,1/190.6
押忍！番長4,321,2024,1092,0,1,13,1/144.6,1/0.0,1/2024.0,1/155.7
押忍！番長4,322,1688,-1272,0,2,7,1/187.6,1/0.0,1/844.0,1/241.1
押忍！番長4,323,7139,-32,0,9,41,1/142.8,1/0.0,1/793.2,1/174.1
押忍！番長4,325,1610,-558,0,1,9,1/161.0,1/0.0,1/1610.0,1/178.9
スマスロ炎炎ノ消防隊,226,1719,570,0,3,13,1/107.4,1/0.0,1/573.0,1/132.2
スマスロ炎炎ノ消防隊,227,846,-1189,0,1,0,1/846.0,1/0.0,1/846.0,1/0.0
スマスロ炎炎ノ消防隊,228,1774,-1221,0,3,5,1/221.8,1/0.0,1/591.3,1/354.8
スマスロ炎炎ノ消防隊,230,424,-405,0,0,1,1/424.0,1/0.0,1/0.0,1/424.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,221,6078,-426,54,0,51,1/57.9,1/112.6,1/0.0,1/119.2
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,222,5952,448,46,0,50,1/62.0,1/129.4,1/0.0,1/119.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,223,1578,-1132,16,0,6,1/71.7,1/98.6,1/0.0,1/263.0
バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,225,219,-330,1,0,0,1/219.0,1/219.0,1/0.0,1/0.0
ハッピージャグラーVIII,128,1229,-345,3,4,0,1/175.6,1/409.7,1/307.2,1/0.0
ハッピージャグラーVIII,130,6951,797,28,26,0,1/128.7,1/248.2,1/267.3,1/0.0
ハッピージャグラーVIII,131,3628,-943,11,9,0,1/181.4,1/329.8,1/403.1,1/0.0
ハッピージャグラーVIII,132,7832,-851,26,23,0,1/159.8,1/301.2,1/340.5,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,300,1794,-2023,4,0,2,1/299.0,1/448.5,1/0.0,1/897.0
戦国乙女4 戦乱に閃く炯眼の軍師,301,684,-664,3,0,1,1/171.0,1/228.0,1/0.0,1/684.0
戦国乙女4 戦乱に閃く炯眼の軍師,302,1472,-1418,4,0,1,1/294.4,1/368.0,1/0.0,1/1472.0
戦国乙女4 戦乱に閃く炯眼の軍師,303,1514,138,7,0,4,1/137.6,1/216.3,1/0.0,1/378.5
沖ドキ!BLACK,73,3361,2531,31,13,0,1/76.4,1/108.4,1/258.5,1/0.0
沖ドキ!BLACK,75,6843,-5705,18,15,0,1/207.4,1/380.2,1/456.2,1/0.0
沖ドキ!BLACK,76,3470,799,24,13,0,1/93.8,1/144.6,1/266.9,1/0.0
沖ドキ!BLACK,77,3326,1473,30,6,0,1/92.4,1/110.9,1/554.3,1/0.0
ありふれた職業で世界最強,177,2526,-1257,0,9,8,1/148.6,1/0.0,1/280.7,1/315.8
ありふれた職業で世界最強,178,1333,-1153,0,5,4,1/148.1,1/0.0,1/266.6,1/333.2
ありふれた職業で世界最強,180,3022,3952,0,9,17,1/116.2,1/0.0,1/335.8,1/177.8
ウルトラミラクルジャグラー,125,5825,251,20,17,0,1/157.4,1/291.2,1/342.6,1/0.0
ウルトラミラクルジャグラー,126,2082,-1085,4,4,0,1/260.2,1/520.5,1/520.5,1/0.0
ウルトラミラクルジャグラー,127,2992,171,13,9,0,1/136.0,1/230.2,1/332.4,1/0.0
ガールズ&パンツァー 最終章,261,631,-1078,1,6,0,1/90.1,1/631.0,1/105.2,1/0.0
ガールズ&パンツァー 最終章,262,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
