model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
キングハナハナ-30,23,5474,-1638,16,11,0,1/202.7,1/342.1,1/497.6,1/0.0
キングハナハナ-30,25,8482,561,32,21,0,1/160.0,1/265.1,1/403.9,1/0.0
キングハナハナ-30,26,6156,225,25,12,0,1/166.4,1/246.2,1/513.0,1/0.0
キングハナハナ-30,27,7515,1087,31,21,0,1/144.5,1/242.4,1/357.9,1/0.0
キングハナハナ-30,28,8291,1493,33,23,0,1/148.1,1/251.2,1/360.5,1/0.0
キングハナハナ-30,30,1269,-1122,3,0,0,1/423.0,1/423.0,1/0.0,1/0.0
キングハナハナ-30,31,4506,-1921,13,5,0,1/250.3,1/346.6,1/901.2,1/0.0
キングハナハナ-30,32,4274,-1188,9,12,0,1/203.5,1/474.9,1/356.2,1/0.0
キングハナハナ-30,33,4114,-1309,11,7,0,1/228.6,1/374.0,1/587.7,1/0.0
キングハナハナ-30,35,7441,306,29,20,0,1/151.9,1/256.6,1/372.1,1/0.0
キングハナハナ-30,36,5635,245,23,8,0,1/181.8,1/245.0,1/704.4,1/0.0
キングハナハナ-30,37,2485,407,11,5,0,1/155.3,1/225.9,1/497.0,1/0.0
キングハナハナ-30,38,8326,938,32,25,0,1/146.1,1/260.2,1/333.0,1/0.0
キングハナハナ-30,50,1391,-770,3,1,0,1/347.8,1/463.7,1/1391.0,1/0.0
キングハナハナ-30,51,7345,500,31,10,0,1/179.1,1/236.9,1/734.5,1/0.0
キングハナハナ-30,52,1507,-599,5,0,0,1/301.4,1/301.4,1/0.0,1/0.0
キングハナハナ-30,53,7503,-51,27,13,0,1/187.6,1/277.9,1/577.2,1/0.0
キングハナハナ-30,55,6330,-1905,17,16,0,1/191.8,1/372.4,1/395.6,1/0.0
マイジャグラーV,78,5427,518,25,9,0,1/159.6,1/217.1,1/603.0,1/0.0
マイジャグラーV,80,6353,783,28,15,0,1/147.7,1/226.9,1/423.5,1/0.0
マイジャグラーV,81,3432,-569,11,7,0,1/190.7,1/312.0,1/490.3,1/0.0
マイジャグラーV,82,8634,3799,50,17,0,1/128.9,1/172.7,1/507.9,1/0.0
マイジャグラーV,83,1282,-649,4,2,0,1/213.7,1/320.5,1/641.0,1/0.0
マイジャグラーV,85,5497,-369,18,13,0,1/177.3,1/305.4,1/422.8,1/0.0
マイジャグラーV,86,3612,-1981,7,8,0,1/240.8,1/516.0,1/451.5,1/0.0
