model_name,unit_no,game,BB,RB,合成確率,BB確率,RB確率,medals
アイムジャグラーEX-TP,803,8099,25,35,1/135.0,1/324.0,1/231.4,0
アイムジャグラーEX-TP,804,4252,16,11,1/157.5,1/265.8,1/386.5,0
アイムジャグラーEX-TP,805,1972,6,3,1/219.1,1/328.7,1/657.3,0
アイムジャグラーEX-TP,881,4870,23,10,1/147.6,1/211.7,1/487.0,0
アイムジャグラーEX-TP,882,975,1,1,1/487.5,1/975.0,1/975.0,0
アイムジャグラーEX-TP,883,4259,18,8,1/163.8,1/236.6,1/532.4,0
アイムジャグラーEX-TP,884,5939,22,18,1/148.5,1/270.0,1/329.9,0
アイムジャグラーEX-TP,885,6299,27,13,1/157.5,1/233.3,1/484.5,0
アイムジャグラーEX-TP,886,1385,3,3,1/230.8,1/461.7,1/461.7,0
アイムジャグラーEX-TP,887,1984,1,6,1/283.4,1/1984.0,1/330.7,0
アイムジャグラーEX-TP,888,4335,16,10,1/166.7,1/270.9,1/433.5,0
アイムジャグラーEX-TP,889,4896,16,17,1/148.4,1/306.0,1/288.0,0
アイムジャグラーEX-TP,890,7554,42,22,1/118.0,1/179.9,1/343.4,0
アイムジャグラーEX-TP,891,3440,15,9,1/143.3,1/229.3,1/382.2,0
アイムジャグラーEX-TP,892,2203,11,2,1/169.5,1/200.3,1/1101.5,0
アイムジャグラーEX-TP,893,4313,18,6,1/179.7,1/239.6,1/718.8,0
アイムジャグラーEX-TP,958,5193,26,14,1/129.8,1/199.7,1/370.9,0
アイムジャグラーEX-TP,959,6710,32,15,1/142.8,1/209.7,1/447.3,0
アイムジャグラーEX-TP,960,742,0,1,1/742.0,1/0.0,1/742.0,0
アイムジャグラーEX-TP,961,3401,13,4,1/200.1,1/261.6,1/850.2,0
アイムジャグラーEX-TP,962,2341,7,6,1/180.1,1/334.4,1/390.2,0
アイムジャグラーEX-TP,963,2020,2,6,1/252.5,1/1010.0,1/336.7,0
アイムジャグラーEX-TP,964,4859,8,18,1/186.9,1/607.4,1/269.9,0
アイムジャグラーEX-TP,965,6337,20,14,1/186.4,1/316.9,1/452.6,0
アイムジャグラーEX-TP,966,3497,10,7,1/205.7,1/349.7,1/499.6,0
スマスロ北斗の拳,905,6229,81,24,1/59.3,1/76.9,1/259.5,0
スマスロ北斗の拳,906,2423,33,8,1/59.1,1/73.4,1/302.9,0
スマスロ北斗の拳,907,3872,36,12,1/80.7,1/107.6,1/322.7,0
スマスロ北斗の拳,908,395,3,1,1/98.8,1/131.7,1/395.0,0
スマスロ北斗の拳,909,6059,51,21,1/84.2,1/118.8,1/288.5,0
スマスロ北斗の拳,910,2244,12,4,1/140.2,1/187.0,1/561.0,0
スマスロ北斗の拳,911,1943,25,4,1/67.0,1/77.7,1/485.8,0
スマスロ北斗の拳,912,2680,28,8,1/74.4,1/95.7,1/335.0,0
スマスロ北斗の拳,913,321,1,1,1/160.5,1/321.0,1/321.0,0
スマスロ北斗の拳,914,3660,34,8,1/87.1,1/107.6,1/457.5,0
スマスロ北斗の拳,915,732,6,1,1/104.6,1/122.0,1/732.0,0
スマスロ北斗の拳,916,2056,16,5,1/97.9,1/128.5,1/411.2,0
スマスロ北斗の拳,935,2254,26,3,1/77.7,1/86.7,1/751.3,0
スマスロ北斗の拳,936,2054,17,6,1/89.3,1/120.8,1/342.3,0
スマスロ北斗の拳,937,5965,65,20,1/70.2,1/91.8,1/298.2,0
スマスロ北斗の拳,938,1709,15,5,1/85.5,1/113.9,1/341.8,0
スマスロ北斗の拳,939,0,0,0,1/0.0,1/0.0,1/0.0,0
スマスロ北斗の拳,940,4061,41,12,1/76.6,1/99.0,1/338.4,0
