model_name,unit_no,game,BB,RB,合成確率,BB確率,RB確率,medals
アイムジャグラーEX-TP,803,2951,14,6,1/147.6,1/210.8,1/491.8,0
アイムジャグラーEX-TP,804,1313,7,2,1/145.9,1/187.6,1/656.5,0
アイムジャグラーEX-TP,805,3968,16,16,1/124.0,1/248.0,1/248.0,0
アイムジャグラーEX-TP,881,2501,9,5,1/178.6,1/277.9,1/500.2,0
アイムジャグラーEX-TP,882,1087,3,0,1/362.3,1/362.3,1/0.0,0
アイムジャグラーEX-TP,883,2102,10,4,1/150.1,1/210.2,1/525.5,0
アイムジャグラーEX-TP,884,2925,10,6,1/182.8,1/292.5,1/487.5,0
アイムジャグラーEX-TP,885,2683,10,6,1/167.7,1/268.3,1/447.2,0
アイムジャグラーEX-TP,886,4563,19,11,1/152.1,1/240.2,1/414.8,0
アイムジャグラーEX-TP,887,429,1,0,1/429.0,1/429.0,1/0.0,0
アイムジャグラーEX-TP,888,4894,12,17,1/168.8,1/407.8,1/287.9,0
アイムジャグラーEX-TP,889,1652,1,4,1/330.4,1/1652.0,1/413.0,0
アイムジャグラーEX-TP,890,1970,8,4,1/164.2,1/246.2,1/492.5,0
アイムジャグラーEX-TP,891,1451,5,2,1/207.3,1/290.2,1/725.5,0
アイムジャグラーEX-TP,892,6011,21,22,1/139.8,1/286.2,1/273.2,0
アイムジャグラーEX-TP,893,1177,6,2,1/147.1,1/196.2,1/588.5,0
アイムジャグラーEX-TP,958,1829,9,2,1/166.3,1/203.2,1/914.5,0
アイムジャグラーEX-TP,959,3275,10,8,1/181.9,1/327.5,1/409.4,0
アイムジャグラーEX-TP,960,784,3,2,1/156.8,1/261.3,1/392.0,0
アイムジャグラーEX-TP,961,2168,8,7,1/144.5,1/271.0,1/309.7,0
アイムジャグラーEX-TP,962,5899,19,30,1/120.4,1/310.5,1/196.6,0
アイムジャグラーEX-TP,963,3266,8,10,1/181.4,1/408.2,1/326.6,0
アイムジャグラーEX-TP,964,1032,2,0,1/516.0,1/516.0,1/0.0,0
アイムジャグラーEX-TP,965,2181,6,4,1/218.1,1/363.5,1/545.2,0
アイムジャグラーEX-TP,966,3118,11,5,1/194.9,1/283.5,1/623.6,0
スマスロ北斗の拳,905,1283,12,3,1/85.5,1/106.9,1/427.7,0
スマスロ北斗の拳,906,2771,26,8,1/81.5,1/106.6,1/346.4,0
スマスロ北斗の拳,907,447,4,1,1/89.4,1/111.8,1/447.0,0
スマスロ北斗の拳,908,2477,32,6,1/65.2,1/77.4,1/412.8,0
スマスロ北斗の拳,909,313,1,1,1/156.5,1/313.0,1/313.0,0
スマスロ北斗の拳,910,984,14,1,1/65.6,1/70.3,1/984.0,0
スマスロ北斗の拳,911,2588,43,7,1/51.8,1/60.2,1/369.7,0
スマスロ北斗の拳,912,1308,13,4,1/76.9,1/100.6,1/327.0,0
スマスロ北斗の拳,913,2598,20,5,1/103.9,1/129.9,1/519.6,0
