model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
キングハナハナ-30,23,7861,304,25,25,0,1/157.2,1/314.4,1/314.4,1/0.0
キングハナハナ-30,25,3210,-1600,7,6,0,1/246.9,1/458.6,1/535.0,1/0.0
キングハナハナ-30,26,7571,810,30,19,0,1/154.5,1/252.4,1/398.5,1/0.0
キングハナハナ-30,27,8139,1204,30,26,0,1/145.3,1/271.3,1/313.0,1/0.0
キングハナハナ-30,28,1684,-889,4,3,0,1/240.6,1/421.0,1/561.3,1/0.0
キングハナハナ-30,30,6760,1111,28,18,0,1/147.0,1/241.4,1/375.6,1/0.0
キングハナハナ-30,31,2342,-1039,5,4,0,1/260.2,1/468.4,1/585.5,1/0.0
キングハナハナ-30,32,5508,-1793,14,11,0,1/220.3,1/393.4,1/500.7,1/0.0
キングハナハナ-30,33,2025,-1359,2,5,0,1/289.3,1/1012.5,1/405.0,1/0.0
キングハナハナ-30,35,5927,-965,19,13,0,1/185.2,1/311.9,1/455.9,1/0.0
キングハナハナ-30,36,2319,-140,9,4,0,1/178.4,1/257.7,1/579.8,1/0.0
キングハナハナ-30,37,2233,-1424,3,4,0,1/319.0,1/744.3,1/558.2,1/0.0
キングハナハナ-30,38,2936,-789,10,3,0,1/225.8,1/293.6,1/978.7,1/0.0
キングハナハナ-30,50,1019,-956,1,1,0,1/509.5,1/1019.0,1/1019.0,1/0.0
キングハナハナ-30,51,8884,1646,33,28,0,1/145.6,1/269.2,1/317.3,1/0.0
キングハナハナ-30,52,5660,823,22,15,0,1/153.0,1/257.3,1/377.3,1/0.0
キングハナハナ-30,53,1903,-876,5,2,0,1/271.9,1/380.6,1/951.5,1/0.0
キングハナハナ-30,55,4523,-415,15,11,0,1/174.0,1/301.5,1/411.2,1/0.0
マイジャグラーV,78,4293,-2397,9,10,0,1/225.9,1/477.0,1/429.3,1/0.0
マイジャグラーV,80,8121,1589,30,39,0,1/117.7,1/270.7,1/208.2,1/0.0
マイジャグラーV,81,6413,359,25,25,0,1/128.3,1/256.5,1/256.5,1/0.0
マイジャグラーV,82,8938,3044,44,27,0,1/125.9,1/203.1,1/331.0,1/0.0
マイジャグラーV,83,4658,-40,22,8,0,1/155.3,1/211.7,1/582.2,1/0.0
マイジャグラーV,85,4372,-1088,13,10,0,1/190.1,1/336.3,1/437.2,1/0.0
マイジャグラーV,86,5655,-1730,14,17,0,1/182.4,1/403.9,1/332.6,1/0.0
マイジャグラーV,87,6476,473,25,20,0,1/143.9,1/259.0,1/323.8,1/0.0
マイジャグラーV,88,5439,-573,18,15,0,1/164.8,1/302.2,1/362.6,1/0.0
マイジャグラーV,100,3959,-1713,9,6,0,1/263.9,1/439.9,1/659.8,1/0.0
マイジャグラーV,101,7253,-397,26,20,0,1/157.7,1/279.0,1/362.6,1/0.0
マイジャグラーV,102,6454,232,25,19,0,1/146.7,1/258.2,1/339.7,1/0.0
マイジャグラーV,103,8955,2074,40,31,0,1/126.1,1/223.9,1/288.9,1/0.0
マイジャグラーV,105,6589,103,25,20,0,1/146.4,1/263.6,1/329.4,1/0.0
マイジャグラーV,106,4306,-569,14,13,0,1/159.5,1/307.6,1/331.2,1/0.0
沖ドキ!GOLD‐30,56,4152,-140,21,20,0,1/101.3,1/197.7,1/207.6,1/0.0
沖ドキ!GOLD‐30,57,879,852,9,3,0,1/73.2,1/97.7,1/293.0,1/0.0
沖ドキ!GOLD‐30,58,3669,-1263,20,4,0,1/152.9,1/183.4,1/917.2,1/0.0
沖ドキ!GOLD‐30,60,1447,2712,21,5,0,1/55.7,1/68.9,1/289.4,1/0.0
沖ドキ!GOLD‐30,61,2188,-216,12,8,0,1/109.4,1/182.3,1/273.5,1/0.0
沖ドキ!GOLD‐30,62,2625,-1244,9,10,0,1/138.2,1/291.7,1/262.5,1/0.0
沖ドキ!GOLD‐30,63,1140,1663,14,6,0,1/57.0,1/81.4,1/190.0,1/0.0
沖ドキ!GOLD‐30,65,2084,-1100,8,5,0,1/160.3,1/260.5,1/416.8,1/0.0
沖ドキ!GOLD‐30,66,4694,-61,29,12,0,1/114.5,1/161.9,1/391.2,1/0.0
沖ドキ!GOLD‐30,67,5047,-828,27,17,0,1/114.7,1/186.9,1/296.9,1/0.0
沖ドキ!GOLD‐30,68,3379,-1137,15,10,0,1/135.2,1/225.3,1/337.9,1/0.0
沖ドキ!GOLD‐30,70,2295,-1226,9,6,0,1/153.0,1/255.0,1/382.5,1/0.0
沖ドキ!GOLD‐30,71,6850,-6942,14,12,0,1/263.5,1/489.3,1/570.8,1/0.0
沖ドキ!GOLD‐30,72,1522,-445,8,4,0,1/126.8,1/190.2,1/380.5,1/0.0
スマスロ北斗の拳,236,2019,-1158,14,6,0,1/101.0,1/144.2,1/336.5,1/0.0
スマスロ北斗の拳,237,843,-985,2,2,0,1/210.8,1/421.5,1/421.5,1/0.0
スマスロ北斗の拳,238,5300,4565,88,23,0,1/47.7,1/60.2,1/230.4,1/0.0
スマスロ北斗の拳,250,592,37,6,2,0,1/74.0,1/98.7,1/296.0,1/0.0
スマスロ北斗の拳,251,900,519,15,2,0,1/52.9,1/60.0,1/450.0,1/0.0
スマスロ北斗の拳,252,6318,-1015,60,16,0,1/83.1,1/105.3,1/394.9,1/0.0
スマスロ北斗の拳,308,2468,-1593,14,4,0,1/137.1,1/176.3,1/617.0,1/0.0
スマスロ北斗の拳,310,240,767,8,1,0,1/26.7,1/30.0,1/240.0,1/0.0
スマスロ北斗の拳,311,2224,-428,22,5,0,1/82.4,1/101.1,1/444.8,1/0.0
スマスロ北斗の拳,312,56,-81,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,313,4812,1134,57,17,0,1/65.0,1/84.4,1/283.1,1/0.0
スマスロ北斗の拳,315,295,105,3,1,0,1/73.8,1/98.3,1/295.0,1/0.0
アイムジャグラーEX-TP,1,4630,-842,15,11,0,1/178.1,1/308.7,1/420.9,1/0.0
アイムジャグラーEX-TP,2,3149,-1119,9,6,0,1/209.9,1/349.9,1/524.8,1/0.0
アイムジャグラーEX-TP,3,2436,21,10,4,0,1/174.0,1/243.6,1/609.0,1/0.0
アイムジャグラーEX-TP,5,7404,464,22,35,0,1/129.9,1/336.5,1/211.5,1/0.0
アイムジャグラーEX-TP,6,2271,-1386,5,5,0,1/227.1,1/454.2,1/454.2,1/0.0
アイムジャグラーEX-TP,7,5304,-911,19,8,0,1/196.4,1/279.2,1/663.0,1/0.0
アイムジャグラーEX-TP,8,1627,-602,5,2,0,1/232.4,1/325.4,1/813.5,1/0.0
アイムジャグラーEX-TP,10,6959,-834,21,21,0,1/165.7,1/331.4,1/331.4,1/0.0
アイムジャグラーEX-TP,126,5846,-485,16,28,0,1/132.9,1/365.4,1/208.8,1/0.0
アイムジャグラーEX-TP,127,5160,-29,18,17,0,1/147.4,1/286.7,1/303.5,1/0.0
アイムジャグラーEX-TP,128,3179,-815,8,11,0,1/167.3,1/397.4,1/289.0,1/0.0
