model_name,unit_no,game,medals,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
キングハナハナ-30,23,3450,-152,14,5,0,1/181.6,1/246.4,1/690.0,1/0.0
キングハナハナ-30,25,3205,920,15,6,0,1/152.6,1/213.7,1/534.2,1/0.0
キングハナハナ-30,26,4311,-1048,14,6,0,1/215.6,1/307.9,1/718.5,1/0.0
キングハナハナ-30,27,3120,-429,10,8,0,1/173.3,1/312.0,1/390.0,1/0.0
キングハナハナ-30,28,2044,-1472,1,5,0,1/340.7,1/2044.0,1/408.8,1/0.0
キングハナハナ-30,30,6330,876,26,17,0,1/147.2,1/243.5,1/372.4,1/0.0
キングハナハナ-30,31,1071,-449,3,1,0,1/267.8,1/357.0,1/1071.0,1/0.0
キングハナハナ-30,32,4593,236,17,13,0,1/153.1,1/270.2,1/353.3,1/0.0
キングハナハナ-30,33,4891,1460,24,11,0,1/139.7,1/203.8,1/444.6,1/0.0
キングハナハナ-30,35,2668,93,9,9,0,1/148.2,1/296.4,1/296.4,1/0.0
キングハナハナ-30,36,1921,-983,3,3,0,1/320.2,1/640.3,1/640.3,1/0.0
キングハナハナ-30,37,5920,677,26,11,0,1/160.0,1/227.7,1/538.2,1/0.0
キングハナハナ-30,38,4600,-396,16,11,0,1/170.4,1/287.5,1/418.2,1/0.0
キングハナハナ-30,50,6188,861,22,22,0,1/140.6,1/281.3,1/281.3,1/0.0
キングハナハナ-30,51,6209,1806,27,19,0,1/135.0,1/230.0,1/326.8,1/0.0
キングハナハナ-30,52,1912,-676,5,5,0,1/191.2,1/382.4,1/382.4,1/0.0
キングハナハナ-30,53,3147,-231,10,9,0,1/165.6,1/314.7,1/349.7,1/0.0
キングハナハナ-30,55,5764,211,20,17,0,1/155.8,1/288.2,1/339.1,1/0.0
マイジャグラーV,78,7324,-54,25,27,0,1/140.8,1/293.0,1/271.3,1/0.0
マイジャグラーV,80,3392,-725,9,12,0,1/161.5,1/376.9,1/282.7,1/0.0
マイジャグラーV,81,1357,-539,3,2,0,1/271.4,1/452.3,1/678.5,1/0.0
マイジャグラーV,82,5144,-1009,15,17,0,1/160.8,1/342.9,1/302.6,1/0.0
マイジャグラーV,83,1957,476,10,5,0,1/130.5,1/195.7,1/391.4,1/0.0
マイジャグラーV,85,9154,1215,38,33,0,1/128.9,1/240.9,1/277.4,1/0.0
マイジャグラーV,86,2475,-771,6,8,0,1/176.8,1/412.5,1/309.4,1/0.0
マイジャグラーV,87,4935,117,20,10,0,1/164.5,1/246.8,1/493.5,1/0.0
マイジャグラーV,88,1832,-35,7,3,0,1/183.2,1/261.7,1/610.7,1/0.0
マイジャグラーV,100,6972,-72,26,17,0,1/162.1,1/268.2,1/410.1,1/0.0
マイジャグラーV,101,2058,-997,5,2,0,1/294.0,1/411.6,1/1029.0,1/0.0
マイジャグラーV,102,2726,-1121,8,5,0,1/209.7,1/340.8,1/545.2,1/0.0
マイジャグラーV,103,4829,-58,18,14,0,1/150.9,1/268.3,1/344.9,1/0.0
マイジャグラーV,105,2987,-1027,9,3,0,1/248.9,1/331.9,1/995.7,1/0.0
マイジャグラーV,106,7508,2533,40,17,0,1/131.7,1/187.7,1/441.6,1/0.0
沖ドキ!GOLD‐30,56,3515,-779,19,7,0,1/135.2,1/185.0,1/502.1,1/0.0
沖ドキ!GOLD‐30,57,3163,1361,26,10,0,1/87.9,1/121.7,1/316.3,1/0.0
沖ドキ!GOLD‐30,58,1391,716,12,4,0,1/86.9,1/115.9,1/347.8,1/0.0
沖ドキ!GOLD‐30,60,195,-313,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD‐30,61,343,304,3,3,0,1/57.2,1/114.3,1/114.3,1/0.0
沖ドキ!GOLD‐30,62,3921,-3695,7,11,0,1/217.8,1/560.1,1/356.5,1/0.0
沖ドキ!GOLD‐30,63,1473,2699,21,7,0,1/52.6,1/70.1,1/210.4,1/0.0
