,G数,G数,G数,G数,RB,RB,RB,RB,RB確率,RB確率,RB確率,RB確率
date,2024-11-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2024-11-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2024-11-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00
台番号,,,,,,,,,,,,
1073,6023.0,6655.0,6429.0,6512.0,12.0,34.0,14.0,13.0,501.0,195.0,459.0,500.0
1074,7207.0,8060.0,5556.0,6744.0,27.0,37.0,15.0,18.0,266.0,217.0,370.0,374.0
1075,2660.0,7589.0,6694.0,7496.0,4.0,32.0,18.0,20.0,665.0,237.0,371.0,374.0
1076,7170.0,7008.0,6442.0,8750.0,18.0,29.0,17.0,29.0,398.0,241.0,378.0,301.0
1077,7117.0,7449.0,7210.0,9093.0,23.0,34.0,16.0,46.0,309.0,219.0,450.0,197.0
1078,8640.0,6351.0,4569.0,8891.0,39.0,22.0,11.0,43.0,221.0,288.0,415.0,206.0
1079,7479.0,7131.0,7742.0,8441.0,25.0,26.0,21.0,31.0,299.0,274.0,368.0,272.0
1080,5537.0,7692.0,4765.0,6181.0,13.0,33.0,7.0,13.0,425.0,233.0,680.0,475.0
1081,8471.0,6644.0,6027.0,8765.0,30.0,19.0,15.0,41.0,282.0,349.0,401.0,213.0
1082,8237.0,7654.0,6531.0,9069.0,28.0,32.0,20.0,33.0,294.0,239.0,326.0,274.0
1083,4228.0,6671.0,5585.0,7495.0,11.0,24.0,15.0,17.0,384.0,278.0,372.0,440.0
1084,5499.0,7187.0,8975.0,8192.0,13.0,28.0,26.0,27.0,423.0,256.0,345.0,303.0
1085,7410.0,6665.0,5367.0,7410.0,27.0,31.0,15.0,19.0,274.0,215.0,357.0,390.0
1086,6108.0,6673.0,8033.0,7852.0,17.0,22.0,22.0,27.0,359.0,303.0,365.0,290.0
1087,3095.0,6231.0,4132.0,7674.0,6.0,15.0,9.0,20.0,515.0,415.0,459.0,383.0
1088,4286.0,7439.0,5080.0,5997.0,10.0,36.0,10.0,20.0,428.0,206.0,508.0,299.0
1089,7716.0,5928.0,5344.0,6737.0,23.0,23.0,9.0,14.0,335.0,257.0,593.0,481.0
1090,8440.0,6329.0,5188.0,7038.0,44.0,20.0,10.0,23.0,191.0,316.0,518.0,306.0
1091,1653.0,6147.0,5565.0,8230.0,2.0,19.0,18.0,25.0,826.0,323.0,309.0,329.0
1092,7327.0,6192.0,7741.0,6999.0,18.0,22.0,19.0,17.0,407.0,281.0,407.0,411.0
1093,8117.0,7601.0,5134.0,7649.0,27.0,38.0,21.0,24.0,300.0,200.0,244.0,318.0
1094,8516.0,6226.0,6582.0,7349.0,29.0,22.0,14.0,20.0,293.0,283.0,470.0,367.0
1095,6086.0,4026.0,5078.0,8653.0,20.0,9.0,14.0,45.0,304.0,447.0,362.0,192.0
1096,7313.0,6060.0,5073.0,6296.0,13.0,18.0,11.0,15.0,562.0,336.0,461.0,419.0
1097,5703.0,4557.0,7048.0,8710.0,9.0,15.0,22.0,36.0,633.0,303.0,320.0,241.0
1098,8496.0,6762.0,7100.0,8507.0,25.0,27.0,18.0,27.0,339.0,250.0,394.0,315.0
1099,3424.0,7108.0,5204.0,6507.0,4.0,22.0,7.0,15.0,856.0,323.0,743.0,433.0
