,,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE
date,,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1036,-221,5755,383.7,155.5,91,5335,333.4,144.2,5488,9268,193.1,97.6,3282,7136,237.9,108.1,-2197,4570,380.8,217.6,2497,8670,270.9,125.7,1229,8686,299.5,137.9,-156,5191,346.1,157.3,1735,6614,413.4,132.3,6444,8812,225.9,93.7
マイジャグラーV,1037,-1606,6361,318.0,171.9,2021,8463,228.7,115.9,3659,8502,242.9,107.6,-1041,2915,728.8,242.9,-288,5368,223.7,134.2,8444,8739,218.5,89.2,-844,3693,738.6,205.2,218,5771,384.7,156.0,3141,8085,218.5,113.9,-1924,4797,799.5,239.8
マイジャグラーV,1038,1862,9249,192.7,112.8,-115,7805,300.2,144.5,-721,3233,808.2,230.9,2885,9171,203.8,111.8,-897,4935,308.4,164.5,4691,7128,216.0,93.8,3847,9032,244.1,111.5,-926,1970,1970.0,328.3,476,7244,329.3,144.9,2479,8792,244.2,118.8
マイジャグラーV,1039,5735,8557,225.2,98.4,-521,4556,569.5,182.2,171,7272,234.6,139.8,5559,8674,180.7,93.3,-185,2866,716.5,159.2,-1288,6746,337.3,173.0,741,8842,276.3,136.0,3824,8260,229.4,110.1,-526,4927,410.6,169.9,1862,7331,305.5,126.4
マイジャグラーV,1040,1526,7456,392.4,138.1,-2268,8881,306.2,164.5,-1747,4271,328.5,203.4,3071,7694,320.6,116.6,1968,8882,246.7,123.4,-1371,6093,468.7,184.6,-126,5181,398.5,157.0,-912,5840,292.0,157.8,-1535,6899,345.0,176.9,2903,8387,299.5,121.6
マイジャグラーV,1041,3188,8778,250.8,115.5,1206,7052,440.8,146.9,779,8140,271.3,131.3,312,6828,284.5,139.3,-774,4405,1101.2,220.2,-676,7332,458.2,178.8,571,6783,242.2,128.0,-1703,7989,319.6,170.0,-959,5988,460.6,181.5,853,8285,318.7,142.8
マイジャグラーV,1042,379,6491,249.7,127.3,2674,8332,333.3,124.4,1347,7756,298.3,133.7,2497,7517,417.6,129.6,-556,4283,535.4,178.5,-391,5705,475.4,172.9,244,8636,319.9,143.9,2374,7348,386.7,126.7,-515,7778,370.4,158.7,-1897,7283,428.4,186.7
マイジャグラーV,1043,-1371,6729,305.9,164.1,782,8832,294.4,133.8,-912,6482,216.1,144.0,2303,7937,198.4,110.2,1774,7548,260.3,121.7,785,8126,338.6,147.7,-665,7666,511.1,170.4,747,7836,279.9,137.5,-56,5435,494.1,159.9,-1774,6665,555.4,196.0
マイジャグラーV,1044,-415,7694,248.2,137.4,4485,9574,222.7,108.8,221,6891,492.2,164.1,-574,4084,510.5,177.6,2638,9313,190.1,109.6,2709,8981,309.7,128.3,-250,7308,317.7,152.2,2444,6760,260.0,114.6,-1018,2950,590.0,226.9,838,7937,378.0,139.2
マイジャグラーV,1045,4279,7431,218.6,103.2,-2074,4116,588.0,257.2,-279,5496,343.5,157.0,4191,8421,205.4,102.7,5029,8897,234.1,107.2,-232,6149,323.6,153.7,-465,7137,446.1,166.0,-2038,5455,909.2,259.8,3047,9443,209.8,112.4,2812,8284,218.0,111.9
マイジャグラーV,1046,3753,8764,178.9,98.5,888,6787,484.8,147.5,982,6665,350.8,136.0,-712,6817,358.8,158.5,488,7367,409.3,147.3,-674,4670,467.0,179.6,-524,7481,299.2,149.6,156,7186,359.3,149.7,209,6484,498.8,154.4,879,6449,403.1,140.2
マイジャグラーV,1047,-429,6240,567.3,178.3,-971,4462,371.8,178.5,2285,9072,216.0,117.8,1985,8926,405.7,139.5,-926,1816,605.3,259.4,356,6613,348.1,150.3,-1606,3941,437.9,218.9,4959,7967,209.7,99.6,3188,9062,210.7,110.5,2638,8417,300.6,123.8
マイジャグラーV,1048,1809,6736,336.8,129.5,403,5534,425.7,158.1,-968,6095,406.3,174.1,1438,7264,279.4,129.7,535,6745,249.8,129.7,182,7179,377.8,149.6,582,8382,322.4,139.7,-888,3504,438.0,184.4,324,9107,276.0,140.1,4044,8566,231.5,107.1
マイジャグラーV,1049,-276,6265,522.1,169.3,1950,7543,377.2,132.3,1371,5483,421.8,133.7,1315,7050,371.1,138.2,-1876,5407,318.1,180.2,1041,7023,334.4,135.1,-1218,4574,508.2,207.9,1182,6359,454.2,147.9,-168,6401,376.5,160.0,971,7708,367.0,140.1
マイジャグラーV,1050,241,7310,365.5,146.2,818,7004,412.0,145.9,-456,5785,289.2,144.6,715,6935,301.5,138.7,-1265,5557,308.7,168.4,-935,5566,428.2,179.5,-115,7505,258.8,136.5,-550,7681,274.3,144.9,1615,7096,308.5,129.0,-2091,8063,424.4,187.5
マイジャグラーV,1069,3447,6466,281.1,113.4,-209,5965,458.8,170.4,132,6719,479.9,160.0,1382,7366,409.2,141.7,-91,7277,346.5,154.8,-1076,4000,800.0,210.5,-38,5430,339.4,155.1,-1088,5615,193.6,140.4,3094,8780,313.6,125.4,453,7252,362.6,151.1
マイジャグラーV,1070,1350,8463,313.4,138.7,-1382,8206,455.9,182.4,1053,7356,350.3,133.7,865,6133,511.1,142.6,2021,5343,356.2,121.4,1806,7615,224.0,113.7,-321,6085,405.7,164.5,-335,3942,985.5,187.7,-1888,5337,296.5,177.9,-1065,8194,273.1,151.7
マイジャグラーV,1071,-512,7505,326.3,156.4,-1350,4612,658.9,209.6,1941,8229,222.4,121.0,1862,8557,267.4,129.7,-724,8165,429.7,166.6,-826,3233,808.2,215.5,-947,5649,513.5,182.2,2497,9199,235.9,117.9,959,8508,303.9,137.2,-450,7343,367.2,163.2
マイジャグラーV,1072,-1950,6238,693.1,222.8,2056,7741,180.0,109.0,1029,8966,224.2,124.5,-1703,5305,279.2,160.8,2694,8092,252.9,115.6,2765,8582,286.1,120.9,-821,5600,700.0,193.1,1300,6560,385.9,139.6,-1876,5126,569.6,222.9,1582,7003,269.3,125.1
マイジャグラーV,1073,1512,8021,216.8,118.0,-879,6032,335.1,158.7,-3141,6103,290.6,196.9,1879,7782,194.6,111.2,-1124,5149,468.1,190.7,1265,8066,336.1,132.2,-1347,7216,360.8,167.8,-332,5804,414.6,156.9,-1276,7697,307.9,167.3,-1006,6519,501.5,176.2
マイジャグラーV,1074,3824,9103,252.9,115.2,-1841,3845,640.8,256.3,2232,8759,213.6,115.2,806,6123,408.2,142.4,-1029,4790,399.2,171.1,-1276,4294,429.4,204.5,3000,8278,229.9,115.0,2568,8200,341.7,128.1,-818,2926,365.8,182.9,-1171,6019,547.2,188.1
マイジャグラーV,1075,-1229,6627,389.8,179.1,-547,5970,314.2,153.1,-921,6445,358.1,165.3,2409,8758,178.7,108.1,-1359,7582,329.7,168.5,-1218,5633,804.7,208.6,1288,8941,319.3,137.6,-994,4055,405.5,184.3,2479,7539,221.7,110.9,1406,7997,319.9,133.3
マイジャグラーV,1076,1371,8713,242.0,128.1,1735,8335,297.7,124.4,-1594,6054,288.3,173.0,-1053,5237,581.9,187.0,1018,7510,341.4,147.3,3518,8898,254.2,115.6,468,5363,357.5,144.9,-485,5141,367.2,160.7,-1265,4333,722.2,216.6,4456,9382,268.1,113.0
マイジャグラーV,1077,2109,7493,325.8,127.0,-1794,6477,404.8,190.5,418,6604,347.6,146.8,-1135,6589,329.4,160.7,2391,7764,235.3,114.2,-806,6027,602.7,188.3,638,7286,404.8,145.7,-1476,4143,414.3,207.2,-382,7477,287.6,146.6,1018,8257,223.2,129.0
マイジャグラーV,1078,5347,8684,217.1,101.0,1759,5552,241.4,115.7,2056,6592,412.0,129.3,429,6603,440.2,150.1,-1100,5246,437.2,180.9,-2074,6487,405.4,190.8,338,7563,260.8,140.1,121,5245,437.1,158.9,-1218,4493,449.3,195.3,2691,8042,365.5,131.8
マイジャグラーV,1079,2868,9003,200.1,109.8,-844,4627,420.6,178.0,2929,8792,293.1,122.1,4994,8085,188.0,97.4,-297,3026,504.3,178.0,-1171,4145,318.8,180.2,1791,8137,301.4,135.6,2674,9238,225.3,115.5,279,5863,325.7,143.0,2232,7176,287.0,119.6
マイジャグラーV,1080,-1312,6583,548.6,188.1,-962,8514,354.8,163.7,2726,7287,251.3,115.7,-585,6729,292.6,149.5,347,7875,271.6,135.8,-1312,8937,343.7,175.2,-574,4852,693.1,186.6,2882,8895,296.5,123.5,1735,8909,228.4,120.4,-1571,8569,389.5,171.4
マイジャグラーV,1081,1618,7266,250.6,119.1,-1441,4533,2266.5,251.8,735,6195,387.2,140.8,-509,6417,305.6,149.2,-1100,6898,299.9,164.2,-700,8157,291.3,153.9,900,7753,352.4,138.4,-62,6097,358.6,148.7,-1135,3609,721.8,225.6,2268,6814,486.7,136.3
マイジャグラーV,1082,841,8042,277.3,141.1,979,8418,311.8,140.3,-759,4653,387.8,166.2,-150,7573,329.3,151.5,-62,5642,434.0,165.9,-709,6404,582.2,183.0,-1241,5882,326.8,178.2,3306,8682,241.2,112.8,-450,9009,310.7,152.7,-1618,6160,684.4,212.4
マイジャグラーV,1083,1826,8587,190.8,113.0,1088,7458,324.3,138.1,-209,6109,381.8,156.6,-991,5154,515.4,190.9,1488,9650,209.8,123.7,-971,5847,417.6,172.0,-1241,5678,298.8,157.7,162,4887,444.3,162.9,65,6537,311.3,145.3,-85,7525,278.7,147.5
マイジャグラーV,1084,-715,7925,396.2,165.1,-1300,4586,458.6,183.4,1500,8450,301.8,136.3,-591,6772,294.4,153.9,1606,6848,360.4,134.3,579,5902,983.7,168.6,-1579,5527,368.5,184.2,-1500,5083,317.7,175.3,394,6199,344.4,144.2,4162,8611,331.2,113.3
マイジャグラーV,1085,526,8211,256.6,139.2,4838,8305,173.0,94.4,-244,8290,243.8,138.2,356,7760,431.1,161.7,771,5995,374.7,142.7,-126,7065,471.0,160.6,-335,6042,302.1,147.4,-826,5773,339.6,160.4,335,7884,281.6,138.3,935,7251,315.3,139.4
マイジャグラーV,1086,285,7176,448.5,152.7,-876,4094,682.3,204.7,2056,8463,222.7,120.9,1865,8433,234.2,120.5,-1182,1824,912.0,304.0,1826,8257,275.2,125.1,2638,9071,232.6,114.8,421,5599,509.0,155.5,-1794,2293,458.6,286.6,4191,8799,231.6,110.0
マイジャグラーV,1087,1347,9192,296.5,133.2,1156,6301,331.6,131.3,1509,7494,374.7,133.8,-556,5472,390.9,165.8,3894,7400,352.4,115.6,3635,8626,233.1,110.6,-1171,7975,209.9,145.0,524,9384,218.2,130.3,347,6920,329.5,150.4,-526,8478,565.2,180.4
マイジャグラーV,1088,606,7797,236.3,130.0,-253,6546,385.1,155.9,2109,6849,175.6,107.0,2976,8255,250.2,119.6,-509,2298,574.5,176.8,-1547,3257,465.3,232.6,1315,8760,282.6,134.8,-1359,6642,332.1,174.8,1703,6107,436.2,135.7,-597,7384,369.2,160.5
マイジャグラーV,1089,4015,8779,250.8,112.6,5029,8749,203.5,98.3,3847,9392,234.8,111.8,-26,7572,291.2,142.9,-656,4266,853.2,193.9,3165,8126,427.7,125.0,-603,5449,272.4,143.4,456,5115,365.4,146.1,-629,8006,320.2,157.0,2038,7630,363.3,131.6
マイジャグラーV,1090,582,8118,386.6,153.2,-194,5190,471.8,167.4,-1862,4152,346.0,197.7,2709,8976,179.5,105.6,2197,9060,274.5,127.6,-971,4396,439.6,191.1,-262,7493,325.8,149.9,2176,7344,222.5,118.5,-1653,4785,478.5,217.5,3165,9244,231.1,114.1
マイジャグラーV,1091,1729,9376,267.9,130.2,1735,8015,267.2,125.2,-1053,5725,520.5,184.7,-1088,4804,436.7,192.2,1706,8663,228.0,122.0,594,7830,261.0,135.0,-609,4451,556.4,171.2,-912,7323,406.8,178.6,-1688,3371,0.0,421.4,1735,8703,272.0,131.9
マイジャグラーV,1092,356,7859,314.4,145.5,2091,7672,295.1,123.7,-735,6831,426.9,170.8,-1571,6014,400.9,182.2,3165,8516,212.9,112.1,1182,7955,198.9,115.3,512,7950,345.7,147.2,-1500,4001,571.6,222.3,1041,6809,324.2,139.0,6,7971,362.3,153.3
マイジャグラーV,1093,2074,7365,306.9,122.8,-653,7472,287.4,152.5,-1429,7033,413.7,185.1,1041,7010,412.4,146.0,-2426,4052,506.5,270.1,1429,8577,268.0,126.1,-1065,4803,400.2,177.9,3918,8245,206.1,100.5,-1418,4758,317.2,183.0,-21,6047,431.9,159.1
マイジャグラーV,1094,629,8346,252.9,136.8,821,7920,396.0,144.0,241,6004,353.2,146.4,-665,6942,365.4,157.8,-1206,7267,346.0,161.5,115,8631,375.3,146.3,150,6734,396.1,149.6,-768,3865,644.2,193.2,4015,9326,266.5,115.1,3447,8188,233.9,110.6
マイジャグラーV,1095,335,7964,295.0,139.7,276,7240,249.7,134.1,-1041,6079,276.3,155.9,1394,6962,267.8,120.0,-85,5524,424.9,157.8,-1335,4961,413.4,190.8,-1194,5747,383.1,179.6,5029,8718,229.4,106.3,3541,9320,258.9,116.5,-100,7236,233.4,136.5
マイジャグラーV,1096,-453,6770,376.1,161.2,-644,4868,374.5,162.3,1794,8225,257.0,122.8,3871,7865,245.8,109.2,779,3815,272.5,123.1,206,7905,376.4,149.2,2550,7005,233.5,116.8,-909,3310,827.5,220.7,712,8051,298.2,143.8,-756,7723,286.0,151.4
マイジャグラーV,1097,-803,9605,213.4,139.2,-2179,7549,279.6,164.1,1100,6154,362.0,136.8,2303,7937,330.7,124.0,-450,2909,363.6,171.1,3400,6574,243.5,107.8,547,6427,401.7,146.1,3047,7436,371.8,121.9,-1347,4420,401.8,192.2,-1653,4658,517.6,221.8
マイジャグラーV,1098,-1088,7017,438.6,171.1,2691,7342,229.4,109.6,-1582,5109,340.6,182.5,-332,5596,430.5,174.9,3235,7040,227.1,108.3,2091,7252,278.9,122.9,1018,7063,415.5,141.3,-838,3845,320.4,167.2,-97,5502,366.8,152.8,-53,8415,311.7,147.6
マイジャグラーV,1099,-685,6360,276.5,151.4,-1747,5851,487.6,201.8,853,7351,306.3,133.7,3141,8219,241.7,109.6,582,7263,403.5,151.3,-6,5249,524.9,169.3,-1782,6156,559.6,205.2,226,5512,367.5,149.0,-1335,3832,766.4,225.4,-441,9035,244.2,139.0
