,,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE,MEDALS,GAME,RB_RATE,TOTAL_RATE
date,,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-26 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-27 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-28 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-01 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-02 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-03 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-04 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,2024-05-05 00:00:00,TOTAL,TOTAL,TOTAL,TOTAL
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1100,2200,6763,250.5,112.7,-559,5277,439.8,164.9,-526,4123,824.6,196.3,1594,6839,297.3,126.6,1429,7647,347.6,139.0,-29,5248,276.2,141.8,-900,5578,309.9,154.9,-1324,7374,320.6,163.9,-876,3378,563.0,198.7,818,8476,256.8,128.4,1827,60703,322.9,143.5
アイムジャグラーEX-TP,1101,-853,6998,466.5,179.4,665,6763,338.2,138.0,124,5700,570.0,167.6,-491,4175,835.0,189.8,26,4302,307.3,138.8,-876,6199,295.2,155.0,2462,7232,190.3,106.4,-876,5341,410.8,172.3,538,6302,420.1,143.2,2444,7568,236.5,116.4,3163,60580,331.0,143.2
アイムジャグラーEX-TP,1102,603,7455,257.1,133.1,-3918,5519,394.2,276.0,112,5816,323.1,149.1,-959,7204,313.2,160.1,544,6373,579.4,159.3,-771,4534,503.8,174.4,-559,5059,202.4,136.7,-1088,7021,305.3,156.0,1512,6464,323.2,131.9,-50,6977,303.3,142.4,-4574,62422,320.1,153.7
アイムジャグラーEX-TP,1103,-1826,5568,556.8,206.2,-1915,8049,223.6,146.3,2929,6915,216.1,108.0,-265,5081,461.9,163.9,-821,5502,393.0,166.7,-562,8067,268.9,144.1,-2003,8028,297.3,163.8,-1721,7400,435.3,180.5,-415,6467,359.3,161.7,-121,4842,484.2,161.4,-6720,65919,321.6,154.7
アイムジャグラーEX-TP,1104,2835,6475,223.3,106.1,-509,3937,328.1,179.0,-1041,2454,490.8,223.1,-1288,5052,360.9,168.4,2885,8520,250.6,120.0,-262,7685,274.5,147.8,-1597,3392,424.0,226.1,-1159,4138,517.2,197.0,-603,5131,256.6,142.5,771,6791,295.3,141.5,32,53575,296.0,146.0
アイムジャグラーEX-TP,1105,2162,7604,237.6,120.7,2974,8469,211.7,112.9,1865,6786,678.6,150.8,-626,3937,357.9,164.0,2021,7316,187.6,109.2,-488,6232,311.6,152.0,297,4410,551.2,163.3,2882,6509,406.8,125.2,100,6095,290.2,145.1,-1324,3632,518.9,213.6,9863,60990,299.0,134.6
アイムジャグラーEX-TP,1106,-2338,7939,397.0,189.0,1418,7235,314.6,134.0,-2144,5581,293.7,180.0,-2109,5592,508.4,223.7,1147,5979,351.7,142.4,-697,7009,350.4,159.3,-1571,6665,392.1,180.1,-1100,6835,273.4,159.0,-229,5331,355.4,152.3,5241,8908,207.2,99.0,-2382,67074,319.4,151.4
アイムジャグラーEX-TP,1123,-121,6392,355.1,148.7,747,6337,452.6,147.4,-2391,5241,403.2,201.6,-326,7376,273.2,141.8,1241,6661,256.2,128.1,-971,5716,336.2,163.3,-2074,6690,278.8,163.2,888,7191,299.6,138.3,818,8009,242.7,125.1,-512,6853,456.9,175.7,-2701,66466,315.0,148.7
アイムジャグラーEX-TP,1124,1791,6608,300.4,127.1,-26,6438,402.4,161.0,-474,3661,305.1,152.5,-2409,4513,410.3,237.5,-1806,4459,371.6,223.0,2741,8419,210.5,110.8,-885,6246,297.4,164.4,324,8058,237.0,127.9,-1347,3801,475.1,211.2,512,6819,272.8,136.4,-1579,59022,293.6,147.6
アイムジャグラーEX-TP,1125,2929,7195,299.8,114.2,-250,5683,355.2,153.6,-679,4727,472.7,181.8,582,7414,296.6,139.9,994,5713,476.1,139.3,1347,7812,312.5,132.4,-344,6596,388.0,160.9,2462,8336,245.2,115.8,-1100,4255,472.8,193.4,-3518,7339,319.1,203.9,2423,65070,333.7,144.6
アイムジャグラーEX-TP,1126,-532,6132,438.0,165.7,1241,6421,401.3,142.7,300,7793,288.6,141.7,-1041,5704,285.2,154.2,-115,5087,282.6,145.3,1159,7651,306.0,134.2,-124,6274,348.6,156.8,1406,6068,289.0,126.4,-126,3719,413.2,161.7,1629,8116,324.6,133.0,3797,62965,326.2,143.8
アイムジャグラーEX-TP,1127,4926,6957,239.9,100.8,-206,7417,322.5,151.4,-603,5428,319.3,159.6,-1229,3654,730.8,228.4,1041,6084,405.6,144.9,-3329,6399,399.9,228.5,56,7156,325.3,149.1,-2250,6067,551.5,224.7,1562,7364,272.7,124.8,-485,6439,322.0,157.0,-517,62965,340.4,152.5
アイムジャグラーEX-TP,1128,1324,7345,244.8,128.9,585,4816,602.0,166.1,-688,4268,711.3,203.2,1935,7867,231.4,117.4,265,7613,230.7,133.6,-2268,5163,430.2,206.5,2638,7539,342.7,125.6,79,6225,296.4,144.8,-1018,4150,691.7,207.5,-38,5547,462.2,168.1,2814,60533,329.0,146.9
アイムジャグラーEX-TP,1129,441,8181,233.7,127.8,-2126,6606,330.3,183.5,-1112,5509,306.1,162.0,2126,8795,314.1,131.3,-74,4039,504.9,168.3,-1359,7205,277.1,153.3,-1006,5599,933.2,207.4,512,5540,503.6,158.3,-888,5481,498.3,182.7,-1262,8012,276.3,154.1,-4748,64967,338.4,156.2
TOTAL,,13541,97612,292.3,133.2,-1879,88967,329.5,151.8,-4328,74002,366.3,159.1,-4506,83203,335.5,153.5,8777,85295,310.2,139.8,-6365,93339,303.0,149.8,-5610,86464,319.1,153.3,-965,92103,327.8,149.0,-2072,75947,348.4,152.2,4105,96319,301.0,142.3,698,873251,320.2,147.6
