model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1028,4,-3423.0,1065.0,7609.0,237.8,124.7,5.82,2,-4803.0,-679.0,3704.0,336.7,161.0,6.13,4,-4898.0,-756.0,2578.0,322.2,171.9,6.11,6,-4066.0,-735.0,3974.0,305.7,159.0,6.03,6,-3946.0,-909.0,2565.0,320.6,197.3,5.6,9,-3396.0,-712.0,7707.0,275.2,148.2,5.87,9,-2681.0,-697.0,2267.0,283.4,174.4,5.82,7,-2587.0,-315.0,5529.0,325.2,153.6,5.82,16,-2257.0,-774.0,1027.0,513.5,342.3,5.82,16,-2133.0,76.0,7691.0,334.4,150.8,5.71,7,-2688.0,-615.0,1674.0,558.0,209.2,6.18,63,1656.0,-359.0,7146.0,274.8,145.8,5.8,73,2571.0,3.0,730.0,365.0,146.0,6.12,80,3353.0,-603.0,1070.0,1070.0,356.7,5.53,80,3553.0,15.0,3390.0,308.2,141.2,6.04,59,2085.0,-650.0,755.0,377.5,377.5,5.58,71,3520.0,-479.0,1281.0,640.5,213.5,6.26,67,2734.0,3729.0,8546.0,284.9,115.5,5.65
マイジャグラーV,1029,44,974.0,-321.0,259.0,0.0,0.0,6.12,28,-346.0,971.0,3497.0,499.6,145.7,5.44,11,-2629.0,-679.0,2933.0,488.8,183.3,6.13,7,-3497.0,1465.0,7045.0,352.2,132.9,5.87,2,-5886.0,309.0,4587.0,305.8,134.9,6.1,1,-7566.0,-274.0,2800.0,933.3,200.0,5.69,1,-6086.0,-497.0,5607.0,431.3,175.2,5.61,1,-4442.0,-1641.0,7865.0,302.5,163.9,5.91,14,-2680.0,-1312.0,1781.0,0.0,445.2,6.29,21,-1653.0,-1547.0,2400.0,600.0,300.0,5.95,29,-662.0,-924.0,3278.0,364.2,182.1,5.94,59,1386.0,-1371.0,3646.0,364.6,182.3,6.38,74,2666.0,1206.0,4052.0,337.7,135.1,5.34,74,2489.0,1147.0,5189.0,288.3,129.7,5.62,41,-76.0,121.0,3706.0,308.8,142.5,5.85,38,-94.0,-285.0,1570.0,523.3,196.2,5.63,47,1220.0,-556.0,874.0,0.0,437.0,5.87,60,1585.0,1124.0,6971.0,366.9,142.3,5.64
マイジャグラーV,1030,27,-752.0,597.0,3258.0,325.8,135.8,5.68,9,-2755.0,-1829.0,8357.0,298.5,160.7,6.05,18,-1900.0,562.0,4147.0,414.7,148.1,5.66,14,-1915.0,538.0,6664.0,277.7,141.8,5.48,26,-1271.0,-344.0,921.0,307.0,184.2,5.96,17,-2074.0,103.0,6604.0,300.2,143.6,5.82,15,-2456.0,-379.0,1498.0,749.0,214.0,5.85,15,-1956.0,-1406.0,4813.0,401.1,185.1,6.06,44,-182.0,-974.0,6787.0,452.5,183.4,5.65,54,1236.0,547.0,5650.0,353.1,141.2,5.89,34,-470.0,1182.0,7486.0,287.9,136.1,5.53,15,-1455.0,-1147.0,3506.0,584.3,219.1,5.82,38,-317.0,-279.0,951.0,317.0,190.2,5.52,27,-729.0,121.0,752.0,752.0,150.4,6.11,17,-1800.0,368.0,3440.0,382.2,143.3,5.88,3,-3950.0,444.0,3561.0,356.1,137.0,6.02,3,-5085.0,-1159.0,3967.0,305.2,188.9,5.48,2,-4967.0,197.0,6712.0,372.9,152.5,5.74
マイジャグラーV,1031,26,-785.0,-279.0,520.0,520.0,260.0,5.85,30,-232.0,2550.0,6708.0,248.4,111.8,5.85,6,-3811.0,-1147.0,3354.0,1118.0,258.0,5.69,11,-2690.0,-1653.0,2902.0,580.4,290.2,5.71,16,-2028.0,-279.0,8558.0,267.4,147.6,5.59,34,-567.0,-703.0,2097.0,699.0,233.0,5.75,22,-1293.0,726.0,4582.0,416.5,143.2,5.8,17,-1766.0,274.0,7078.0,372.5,147.5,5.93,15,-2502.0,-1029.0,1199.0,599.5,399.7,6.01,35,-829.0,-26.0,1409.0,704.5,176.1,5.82,10,-2197.0,-991.0,1162.0,581.0,387.3,6.04,3,-3421.0,1182.0,8473.0,223.0,119.3,6.03,1,-6150.0,-1429.0,4146.0,243.9,165.8,5.93,2,-4042.0,253.0,5030.0,279.4,139.7,5.71,1,-4539.0,-462.0,986.0,328.7,197.2,6.14,6,-3224.0,644.0,8975.0,230.1,130.1,5.69,9,-3189.0,-1394.0,7010.0,318.6,166.9,5.86,27,-1786.0,-2215.0,6337.0,372.8,204.4,5.66
マイジャグラーV,1032,61,4688.0,2929.0,6230.0,445.0,122.2,5.79,38,283.0,-1724.0,5387.0,316.9,179.6,5.93,60,4875.0,-1324.0,5535.0,461.2,190.9,5.86,81,6173.0,-688.0,5809.0,341.7,166.0,5.68,81,7655.0,2462.0,5199.0,192.6,100.0,5.82,81,6869.0,712.0,3445.0,313.2,123.0,6.31,80,6245.0,2321.0,7861.0,462.4,133.2,5.89,76,4156.0,-1476.0,5350.0,334.4,172.6,6.08,80,5564.0,2868.0,7110.0,395.0,122.6,5.87,75,3008.0,-26.0,2556.0,319.5,150.4,5.73,76,3722.0,794.0,7443.0,286.3,137.8,5.63,80,4816.0,1676.0,7819.0,244.3,124.1,5.62,77,2814.0,88.0,4167.0,463.0,148.8,6.29,77,2932.0,232.0,3198.0,533.0,152.3,6.07,68,1832.0,-68.0,5256.0,292.0,142.1,5.96,70,3035.0,312.0,5140.0,257.0,135.3,5.72,65,2929.0,688.0,5396.0,490.5,149.9,5.83,61,1691.0,1888.0,6085.0,357.9,126.8,5.83
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1033,22,-1010.0,465.0,3778.0,343.5,139.9,5.8,24,-657.0,-1076.0,7305.0,384.5,173.9,5.72,46,1484.0,924.0,4222.0,527.8,140.7,5.98,63,966.0,606.0,4467.0,343.6,139.6,5.77,34,-869.0,-879.0,2568.0,428.0,214.0,5.62,46,392.0,53.0,7220.0,300.8,147.3,5.68,56,1265.0,-1103.0,4681.0,360.1,173.4,6.01,65,1997.0,818.0,6390.0,456.4,148.6,5.8,59,1264.0,1065.0,8462.0,423.1,148.5,5.71,37,-645.0,406.0,5808.0,387.2,148.9,5.79,33,-472.0,-1229.0,3047.0,435.3,203.1,6.17,77,3307.0,382.0,6406.0,457.6,152.5,5.92,65,1743.0,926.0,2474.0,412.3,123.7,5.99,36,96.0,-371.0,3837.0,383.7,166.8,5.75,67,1802.0,85.0,3193.0,638.6,159.6,6.15,54,1708.0,-844.0,2274.0,2274.0,284.2,5.73,55,1831.0,579.0,5267.0,438.9,150.5,5.74,64,1811.0,2550.0,9067.0,245.1,119.3,5.67
マイジャグラーV,1034,28,-476.0,-147.0,4589.0,327.8,153.0,5.76,26,-591.0,-21.0,3306.0,413.2,150.3,6.17,27,-979.0,68.0,2578.0,515.6,161.1,5.85,30,-656.0,959.0,6858.0,428.6,145.9,5.79,12,-2447.0,-335.0,6398.0,581.6,182.8,5.58,12,-2962.0,-1618.0,4214.0,301.0,191.5,5.75,20,-1618.0,618.0,7840.0,313.6,137.5,5.95,9,-2415.0,-262.0,9123.0,276.5,147.1,5.66,7,-3382.0,-409.0,4436.0,492.9,164.3,6.2,5,-3558.0,391.0,7136.0,254.9,134.6,5.76,2,-3881.0,-832.0,6600.0,412.5,173.7,5.75,21,-940.0,-850.0,5526.0,368.4,178.3,5.55,52,766.0,-274.0,4623.0,330.2,159.4,5.62,65,1658.0,-179.0,775.0,775.0,193.8,6.32,60,1205.0,-1229.0,1722.0,344.4,287.0,5.64,79,4634.0,-585.0,4066.0,338.8,169.4,5.65,78,5837.0,68.0,3586.0,448.2,155.9,5.92,77,4972.0,2109.0,8414.0,221.4,113.7,5.95
マイジャグラーV,1035,60,4147.0,703.0,1299.0,433.0,118.1,5.74,53,2847.0,1879.0,8693.0,217.3,119.1,5.65,36,136.0,335.0,4794.0,368.8,137.0,6.35,28,-696.0,574.0,4798.0,399.8,141.1,6.01,18,-1708.0,1421.0,6209.0,326.8,135.0,5.54,20,-1876.0,-774.0,3080.0,616.0,205.3,5.87,30,-711.0,9.0,2884.0,412.0,160.2,5.69,31,-1123.0,-597.0,6547.0,385.1,172.3,5.55,29,-1352.0,-832.0,2635.0,376.4,188.2,5.96,25,-1405.0,-497.0,2653.0,379.0,165.8,6.17,40,-34.0,-438.0,1311.0,1311.0,262.2,5.67,75,2548.0,1253.0,7038.0,351.9,135.3,5.86,68,1886.0,391.0,2183.0,272.9,128.4,5.75,63,1545.0,-403.0,4643.0,290.2,154.8,5.67,63,1392.0,-826.0,1890.0,945.0,270.0,5.81,60,2094.0,-885.0,1568.0,522.7,261.3,5.96,68,3029.0,874.0,3706.0,370.6,132.4,5.87,66,2411.0,2144.0,7926.0,264.2,121.9,5.71
マイジャグラーV,1036,55,2717.0,-244.0,475.0,0.0,475.0,5.23,61,4414.0,947.0,6245.0,446.1,148.7,5.67,59,4435.0,-609.0,6702.0,304.6,155.9,5.74,79,4300.0,-994.0,3363.0,1121.0,258.7,5.5,80,5538.0,-168.0,713.0,0.0,237.7,6.13,79,5465.0,2038.0,6164.0,560.4,140.1,5.61,72,2953.0,1747.0,4421.0,315.8,119.5,5.73,47,380.0,1453.0,8636.0,287.9,128.9,5.89,18,-2029.0,968.0,2621.0,262.1,114.0,5.86,4,-3647.0,-744.0,1245.0,1245.0,311.2,6.17,15,-1729.0,244.0,4241.0,385.5,141.4,6.22,36,206.0,-241.0,6797.0,399.8,161.8,5.74,47,591.0,-474.0,1475.0,1475.0,245.8,5.93,54,844.0,-826.0,1085.0,0.0,542.5,5.95,64,1641.0,-956.0,2717.0,339.6,169.8,6.61,61,2121.0,-650.0,1820.0,364.0,202.2,5.71,63,2550.0,1174.0,6916.0,406.8,147.1,5.54,57,1405.0,2179.0,9079.0,336.3,135.5,5.52
