model_name,unit_no,2025-04-18,25-04-11_7d_sum,2025-04-17 00:00:00,25-04-10_7d_sum,2025-04-16 00:00:00,25-04-09_7d_sum,2025-04-15 00:00:00,25-04-08_7d_sum,2025-04-14 00:00:00,25-04-07_7d_sum,2025-04-13 00:00:00,25-04-06_7d_sum,2025-04-12 00:00:00,25-04-05_7d_sum,2025-04-11 00:00:00,25-04-04_7d_sum,2025-04-10 00:00:00,25-04-03_7d_sum,2025-04-09 00:00:00,25-04-02_7d_sum,2025-04-08 00:00:00,25-04-01_7d_sum,2025-04-07 00:00:00,25-03-31_7d_sum,2025-04-06 00:00:00,25-03-30_7d_sum,2025-04-05 00:00:00,25-03-29_7d_sum,2025-04-04 00:00:00,25-03-28_7d_sum,2025-04-03 00:00:00,25-03-27_7d_sum,2025-04-02 00:00:00,25-03-26_7d_sum,2025-04-01 00:00:00,25-03-25_7d_sum,2025-03-31 00:00:00,25-03-24_7d_sum,2025-03-30 00:00:00,25-03-23_7d_sum,2025-03-29 00:00:00,25-03-22_7d_sum,2025-03-28 00:00:00,25-03-21_7d_sum,2025-03-27 00:00:00,25-03-20_7d_sum,2025-03-26 00:00:00,25-03-19_7d_sum,2025-03-25 00:00:00,25-03-18_7d_sum,2025-03-24 00:00:00,25-03-17_7d_sum,2025-03-23 00:00:00,25-03-16_7d_sum,2025-03-22 00:00:00,25-03-15_7d_sum,2025-03-21 00:00:00,25-03-14_7d_sum,2025-03-20 00:00:00,25-03-13_7d_sum,2025-03-19 00:00:00,25-03-12_7d_sum,2025-03-18 00:00:00,25-03-11_7d_sum,2025-03-17 00:00:00,25-03-10_7d_sum,2025-03-16 00:00:00,25-03-09_7d_sum,2025-03-15 00:00:00,25-03-08_7d_sum,2025-03-14 00:00:00,25-03-07_7d_sum,2025-03-13 00:00:00,25-03-06_7d_sum,2025-03-12 00:00:00,25-03-05_7d_sum,2025-03-11 00:00:00,25-03-04_7d_sum,2025-03-10 00:00:00,25-03-03_7d_sum,2025-03-09 00:00:00,25-03-02_7d_sum,2025-03-08 00:00:00,25-03-01_7d_sum,2025-03-07 00:00:00,25-02-26_7d_sum,2025-03-06 00:00:00,25-02-25_7d_sum,2025-03-05 00:00:00,25-02-24_7d_sum,2025-03-04 00:00:00,25-02-23_7d_sum,2025-03-03 00:00:00,25-02-22_7d_sum,2025-03-02 00:00:00,25-02-21_7d_sum,2025-03-01 00:00:00,25-02-20_7d_sum,2025-02-26 00:00:00,25-02-19_7d_sum,2025-02-25 00:00:00,25-02-18_7d_sum,2025-02-24 00:00:00,25-02-17_7d_sum,2025-02-23 00:00:00,25-02-16_7d_sum
マイジャグラーV,1029,,-7566.0,933.3,-6086.0,431.3,-4442.0,302.5,-2680.0,inf,-1653.0,600.0,-662.0,364.2,1386.0,364.6,2666.0,337.7,2489.0,288.3,-76.0,308.8,-94.0,523.3,1220.0,inf,1585.0,366.9,1890.0,1228.0,893.0,376.4,-357.0,324.4,349.0,501.0,3928.0,376.4,2378.0,inf,2190.0,268.0,61.0,353.8,211.0,374.7,217.0,544.7,1500.0,250.0,-2626.0,inf,-2167.0,383.9,-1759.0,413.2,-430.0,491.2,623.0,284.9,985.0,229.5,1490.0,563.5,2728.0,906.5,4619.0,352.1,3799.0,430.9,373.0,674.2,226.0,445.5,-206.0,325.2,-1261.0,426.7,-2611.0,412.9,-4716.0,454.0,-3428.0,376.6,-1116.0,367.6,1078.0,301.0,1272.0,398.8,22.0,716.0,263.0,451.2,-193.0,215.2,834.0,346.6,2266.0,208.5,-52.0,381.6,-235.0,232.5,720.0,486.7,3232.0
マイジャグラーV,1030,,-2074.0,300.2,-2456.0,749.0,-1956.0,401.1,-182.0,452.5,1236.0,353.1,-470.0,287.9,-1455.0,584.3,-317.0,317.0,-729.0,752.0,-1800.0,382.2,-3950.0,356.1,-5085.0,305.2,-4967.0,372.9,-3876.0,657.5,-3446.0,340.0,-2952.0,989.0,-2911.0,359.6,-1053.0,340.0,2191.0,1521.0,3323.0,265.7,653.0,221.3,-24.0,345.7,-148.0,449.9,123.0,247.8,-415.0,302.7,-1597.0,524.8,2297.0,473.3,2167.0,987.0,2244.0,379.9,2609.0,1387.0,3250.0,481.2,3038.0,236.9,1676.0,418.6,-1256.0,370.6,2156.0,inf,4356.0,inf,4450.0,933.0,4041.0,1469.0,4271.0,641.8,3653.0,385.5,1594.0,565.8,-230.0,243.2,-3351.0,inf,-568.0,302.3,-406.0,393.7,1514.0,337.8,999.0,701.2,1331.0,308.8,120.0,259.7,805.0,265.8,-1369.0,577.0,-1540.0,476.1,-4001.0
マイジャグラーV,1031,,-567.0,699.0,-1293.0,416.5,-1766.0,372.5,-2502.0,599.5,-829.0,704.5,-2197.0,581.0,-3421.0,223.0,-6150.0,243.9,-4042.0,279.4,-4539.0,328.7,-3224.0,230.1,-3189.0,318.6,-1786.0,372.8,-97.0,274.1,1188.0,396.3,-685.0,344.4,-1435.0,299.6,-1623.0,396.3,-1864.0,483.4,-1952.0,inf,-1605.0,685.8,1207.0,405.8,1089.0,624.3,1362.0,371.9,423.0,200.1,-165.0,451.5,-507.0,348.2,937.0,239.6,-1310.0,533.5,-348.0,868.0,-65.0,inf,-644.0,446.7,-844.0,322.2,395.0,271.0,901.0,369.8,707.0,274.4,39.0,425.0,1106.0,474.4,294.0,inf,12.0,270.4,-1627.0,304.8,2.0,inf,-851.0,281.0,88.0,217.0,-1262.0,690.3,2229.0,452.0,2558.0,435.6,2126.0,185.8,-2165.0,360.4,-1847.0,271.9,-233.0,578.7,626.0,331.6,-594.0
マイジャグラーV,1032,,6869.0,313.2,6245.0,462.4,4156.0,334.4,5564.0,395.0,3008.0,319.5,3722.0,286.3,4816.0,244.3,2814.0,463.0,2932.0,533.0,1832.0,292.0,3035.0,257.0,2929.0,490.5,1691.0,357.9,-82.0,536.6,1026.0,410.4,-304.0,339.0,1770.0,234.9,-44.0,410.4,329.0,676.5,1308.0,376.9,1281.0,254.2,-192.0,217.7,20.0,662.9,-2274.0,605.8,-566.0,285.8,2.0,435.6,-1786.0,401.4,-3930.0,379.0,-3830.0,450.7,-3127.0,530.6,-492.0,376.2,608.0,415.1,-665.0,522.6,-912.0,379.1,1129.0,566.0,1258.0,422.4,917.0,282.9,2079.0,297.9,-235.0,597.8,815.0,420.5,4133.0,418.8,2166.0,973.0,3610.0,558.0,4625.0,316.2,1557.0,446.0,442.0,245.6,842.0,303.5,-449.0,674.2,1657.0,361.5,3437.0,302.4,2798.0,506.6,2195.0,570.5,4395.0
マイジャグラーV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1033,,392.0,300.8,1265.0,360.1,1997.0,456.4,1264.0,423.1,-645.0,387.2,-472.0,435.3,3307.0,457.6,1743.0,412.3,96.0,383.7,1802.0,638.6,1708.0,2274.0,1831.0,438.9,1811.0,245.1,-389.0,937.3,2269.0,526.2,4572.0,441.5,1631.0,356.0,743.0,526.2,1673.0,388.8,240.0,420.0,-960.0,366.1,-2974.0,304.4,-4444.0,435.7,-3600.0,385.5,-2935.0,336.7,-3276.0,318.6,-3176.0,309.6,-1438.0,378.0,-1209.0,406.3,-56.0,513.8,3847.0,307.7,4367.0,325.0,4731.0,378.2,3643.0,430.7,1537.0,470.3,2040.0,658.4,484.0,236.1,-3319.0,412.6,-4010.0,749.3,-3516.0,297.2,-2730.0,693.8,-1486.0,386.6,-2192.0,371.7,84.0,275.0,2661.0,516.0,1329.0,403.4,1527.0,442.4,2306.0,396.9,1074.0,440.2,1601.0,236.9,2592.0,364.3,706.0,292.4,1082.0
マイジャグラーV,1034,,-2962.0,301.0,-1618.0,313.6,-2415.0,276.5,-3382.0,492.9,-3558.0,254.9,-3881.0,412.5,-940.0,368.4,766.0,330.2,1658.0,775.0,1205.0,344.4,4634.0,338.8,5837.0,448.2,4972.0,221.4,2989.0,277.2,2218.0,445.5,1050.0,589.0,1014.0,402.5,-345.0,445.5,-889.0,678.0,1055.0,267.8,1503.0,794.0,786.0,inf,12.0,334.1,-561.0,318.0,-1958.0,871.0,-2082.0,253.9,-4097.0,283.1,1773.0,440.5,1623.0,280.1,3003.0,686.6,3629.0,311.1,4250.0,1171.0,4397.0,325.6,2124.0,183.4,-4758.0,250.6,-4061.0,666.0,-3902.0,916.0,-3355.0,445.4,-3626.0,327.6,-4432.0,588.9,1277.0,362.7,3415.0,259.8,2985.0,423.8,4896.0,399.0,4726.0,331.2,5067.0,344.0,4100.0,262.6,1350.0,268.7,-1276.0,359.8,-1358.0,304.7,-4093.0,246.2,-4481.0,383.2,-4542.0
マイジャグラーV,1035,,-1876.0,616.0,-711.0,412.0,-1123.0,385.1,-1352.0,376.4,-1405.0,379.0,-34.0,1311.0,2548.0,351.9,1886.0,272.9,1545.0,290.2,1392.0,945.0,2094.0,522.7,3029.0,370.6,2411.0,264.2,-436.0,409.6,-1159.0,363.3,-159.0,400.8,694.0,375.5,-364.0,363.3,-617.0,297.6,-841.0,329.2,-588.0,741.0,-935.0,385.0,-3826.0,318.5,-3444.0,1627.0,-1230.0,438.0,-539.0,462.8,-1450.0,403.0,406.0,313.5,117.0,338.8,2434.0,572.0,1529.0,267.0,-897.0,314.2,-1488.0,383.7,-977.0,465.9,-1330.0,269.2,123.0,463.1,-615.0,390.5,908.0,1490.5,2393.0,851.5,3714.0,626.8,3276.0,700.1,699.0,551.7,1205.0,308.0,2685.0,389.1,2464.0,612.7,1758.0,631.8,4290.0,500.2,4470.0,389.5,5309.0,309.7,4794.0,288.1,3461.0,302.9,2394.0,1158.0,2447.0
マイジャグラーV,1036,,5465.0,560.4,2953.0,315.8,380.0,287.9,-2029.0,262.1,-3647.0,1245.0,-1729.0,385.5,206.0,399.8,591.0,1475.0,844.0,inf,1641.0,339.6,2121.0,364.0,2550.0,406.8,1405.0,336.3,-1600.0,256.2,-950.0,318.7,1380.0,328.1,-700.0,288.2,-1465.0,318.7,-1382.0,608.3,-1126.0,603.5,635.0,342.6,-462.0,287.4,-683.0,450.0,3008.0,549.4,4375.0,inf,4234.0,296.6,996.0,370.6,1785.0,423.6,3012.0,301.7,3180.0,507.2,1448.0,824.2,269.0,352.5,639.0,498.5,3460.0,382.2,2601.0,461.0,2068.0,284.1,-162.0,439.5,-65.0,442.1,-6.0,2317.0,-859.0,322.9,-1780.0,290.0,-3236.0,388.9,-4230.0,412.7,-5227.0,226.4,-2395.0,439.0,2046.0,296.6,2252.0,681.8,2490.0,259.5,2490.0,622.5,2867.0,282.4,3635.0,283.0,2238.0,407.8,-1721.0
マイジャグラーV,1037,,1248.0,328.2,-602.0,614.3,771.0,263.7,1556.0,inf,294.0,331.4,-201.0,352.3,-1804.0,440.0,-2392.0,672.3,-1645.0,465.3,-3130.0,1396.0,-2633.0,368.1,-536.0,246.7,703.0,329.0,-391.0,291.5,491.0,579.0,-85.0,1195.0,1000.0,288.1,753.0,579.0,-461.0,355.4,-3088.0,1181.0,-3053.0,326.7,-2606.0,692.0,-1339.0,249.5,-1995.0,620.5,-2139.0,581.5,-1648.0,326.9,82.0,968.5,1582.0,301.7,1185.0,512.8,59.0,1119.0,1339.0,328.1,1239.0,606.0,1103.0,316.2,-624.0,372.3,126.0,452.0,2218.0,inf,2500.0,277.8,956.0,423.3,368.0,309.3,2601.0,291.4,5242.0,382.3,6416.0,388.0,5274.0,372.8,5074.0,698.2,5044.0,353.7,5167.0,250.9,3911.0,307.0,1905.0,275.4,-890.0,390.0,-1834.0,532.0,-1040.0,1335.0,675.0,445.7,1310.0
