model_name,unit_no,2024-05-05,2024-05-04,2024-05-03,2024-05-02,2024-05-01,2024-04-30,2024-04-29,2024-04-28,2024-04-27,2024-04-26,2024-04-25
マイジャグラーV,1088,7384,6107,6642,8760,3257,2298,8255,6849,6546,7797,6010
マイジャグラーV,1089,7630,8006,5115,5449,8126,4266,7572,9392,8749,8779,4732
マイジャグラーV,1090,9244,4785,7344,7493,4396,9060,8976,4152,5190,8118,7919
マイジャグラーV,1091,8703,3371,7323,4451,7830,8663,4804,5725,8015,9376,7037
マイジャグラーV,1092,7971,6809,4001,7950,7955,8516,6014,6831,7672,7859,6964
マイジャグラーV,1093,6047,4758,8245,4803,8577,4052,7010,7033,7472,7365,6679
マイジャグラーV,1094,8188,9326,3865,6734,8631,7267,6942,6004,7920,8346,7054
マイジャグラーV,1095,7236,9320,8718,5747,4961,5524,6962,6079,7240,7964,6323
マイジャグラーV,1096,7723,8051,3310,7005,7905,3815,7865,8225,4868,6770,5542
マイジャグラーV,1097,4658,4420,7436,6427,6574,2909,7937,6154,7549,9605,7209
マイジャグラーV,1098,8415,5502,3845,7063,7252,7040,5596,5109,7342,7017,6071
マイジャグラーV,1099,9035,3832,5512,6156,5249,7263,8219,7351,5851,6360,8022
,,,,,,,,,,,,
マイジャグラーV,1001,526.5,366.8,305.8,360.0,242.1,275.5,275.4,442.0,452.9,258.4,265.2
マイジャグラーV,1002,327.2,337.8,314.7,362.2,586.0,391.5,296.0,240.1,492.2,314.0,340.3
マイジャグラーV,1003,408.7,307.8,342.2,240.0,206.9,343.3,321.1,447.9,369.9,215.2,234.6
マイジャグラーV,1004,298.3,318.2,224.2,501.8,358.2,271.4,312.5,261.8,299.3,266.6,514.0
マイジャグラーV,1005,720.6,407.5,240.7,397.6,317.1,374.8,255.8,194.0,416.4,387.5,294.2
マイジャグラーV,1006,268.0,319.5,375.3,429.1,317.9,197.2,337.7,425.8,312.3,316.5,250.4
マイジャグラーV,1007,334.6,408.0,488.0,351.6,425.7,219.0,415.2,387.6,259.7,238.9,611.2
マイジャグラーV,1008,262.3,747.7,434.8,241.8,220.6,366.9,720.7,317.2,389.4,297.3,315.3
マイジャグラーV,1009,280.0,400.9,470.7,755.0,466.8,348.7,263.0,314.9,572.4,334.2,393.7
マイジャグラーV,1010,361.9,408.8,550.1,282.6,327.4,281.1,304.7,738.0,454.0,429.4,308.2
マイジャグラーV,1011,280.9,312.0,513.0,446.4,419.1,520.8,242.3,349.9,357.2,325.9,431.3
マイジャグラーV,1012,334.4,350.7,309.8,299.7,424.7,330.5,305.4,271.9,496.9,964.5,258.1
マイジャグラーV,1013,281.4,802.5,618.7,299.6,319.7,280.3,421.7,247.3,248.5,284.4,616.1
マイジャグラーV,1014,405.3,478.8,231.4,277.8,806.8,230.2,269.1,598.8,382.3,333.0,418.2
マイジャグラーV,1015,195.6,435.4,302.4,296.1,398.8,241.5,404.3,229.4,688.4,232.8,248.9
マイジャグラーV,1016,262.0,332.5,376.9,275.2,204.6,855.0,363.6,539.4,257.5,272.6,209.1
マイジャグラーV,1017,460.2,424.7,321.3,353.7,729.2,273.0,269.5,401.4,271.5,189.5,728.1
マイジャグラーV,1018,318.3,335.0,223.2,250.7,563.1,434.0,229.9,224.7,303.2,502.2,342.3
マイジャグラーV,1019,295.3,374.1,296.6,455.3,342.1,335.9,247.3,313.7,309.4,442.1,381.3
マイジャグラーV,1020,277.0,565.2,710.8,455.4,493.5,465.5,601.5,332.9,333.8,345.0,364.7
マイジャグラーV,1021,441.6,334.3,342.3,394.1,389.0,375.3,526.5,385.8,232.5,320.5,280.0
マイジャグラーV,1022,307.2,344.5,302.8,318.9,236.1,488.0,261.4,278.5,384.1,411.4,345.5
マイジャグラーV,1023,263.9,694.4,360.9,294.2,312.7,368.4,323.6,213.0,204.5,285.7,579.6
マイジャグラーV,1024,437.4,295.1,319.4,334.4,377.9,204.2,319.9,341.6,409.4,415.2,436.9
マイジャグラーV,1025,232.8,464.6,393.8,316.2,365.5,1159.5,338.7,287.0,409.6,307.5,377.9
マイジャグラーV,1026,459.8,283.8,363.9,414.1,236.9,282.2,353.8,354.5,285.3,461.1,319.0
マイジャグラーV,1027,256.0,720.9,345.3,247.9,881.0,316.2,293.7,333.5,324.2,343.4,359.0
マイジャグラーV,1028,435.5,268.8,660.2,371.9,394.9,447.5,322.0,201.0,395.7,251.6,221.4
マイジャグラーV,1029,308.7,339.5,334.3,439.5,194.6,185.4,935.6,364.6,389.2,202.4,196.4
マイジャグラーV,1030,359.3,315.0,569.0,375.0,290.6,469.1,312.9,207.5,253.4,279.5,259.8
マイジャグラーV,1031,300.7,561.9,332.3,365.9,211.8,285.3,258.0,474.6,306.5,297.1,305.8
マイジャグラーV,1032,419.1,290.9,475.9,494.4,370.6,541.5,387.7,233.1,286.6,253.4,232.9
マイジャグラーV,1033,238.2,336.8,550.1,350.7,350.7,346.7,343.1,537.0,281.7,261.9,270.3
マイジャグラーV,1034,613.7,335.0,310.7,487.0,355.1,242.8,346.3,548.6,317.4,275.9,334.6
マイジャグラーV,1035,255.3,681.7,328.8,232.9,350.7,291.3,260.8,248.4,302.2,264.2,332.5
マイジャグラーV,1036,225.9,413.4,346.1,299.5,270.9,380.8,237.9,193.1,333.4,383.7,430.6
