model_name,unit_no,2025-04-24,2025-04-22,2025-04-21,2025-04-20,2025-04-19,2025-04-18,2025-04-17,2025-04-15,2025-04-14,2025-04-13,2025-04-12,2025-04-11,2025-04-10,2025-04-09,2025-04-08,2025-04-07,2025-04-06,2025-04-05,2025-04-04,2025-04-03,2025-04-02,2025-04-01,2025-03-31,2025-03-30,2025-03-29,2025-03-28,2025-03-27,2025-03-26,2025-03-25,2025-03-24,2025-03-23,2025-03-22,2025-03-21,2025-03-20,2025-03-19,2025-03-17,2025-03-16,2025-03-15,2025-03-14,2025-03-13,2025-03-12,2025-03-11,2025-03-10,2025-03-09,2025-03-08,2025-03-07,2025-03-06,2025-03-05,2025-03-04,2025-03-03,2025-03-02,2025-03-01,2025-02-28,2025-02-27,2025-02-26,2025-02-25,2025-02-24,2025-02-23,2025-02-22,2025-02-21,2025-02-20,2025-02-19,2025-02-18,2025-02-17,2025-02-16,2025-02-15,2025-02-14,2025-02-13,2025-02-12,2025-02-11,2025-02-10,2025-02-09,2025-02-08,2025-02-07,2025-02-06,2025-02-05,2025-02-04,2025-02-03,2025-02-02,2025-02-01,2025-01-31,2025-01-30,2025-01-29,2025-01-28,2025-01-27,2025-01-26,2025-01-25,2025-01-24,2025-01-23,2025-01-21,2025-01-20,2025-01-19,2025-01-18,2025-01-17,2025-01-16,2025-01-15,2025-01-14,2025-01-13,2025-01-12,2025-01-11,2025-01-10,2025-01-09,2025-01-08,2025-01-07,2025-01-06,2025-01-05,2025-01-04,2025-01-03,2025-01-02,2025-01-01
マイジャグラーV,316,488.9,377.6,213.8,767.0,359.5,1361.0,600.2,433.6,344.9,359.2,886.0,740.3,381.9,0.0,426.7,680.0,2723.0,293.3,573.8,517.5,0.0,401.0,272.1,462.9,324.6,314.0,349.0,495.7,319.5,339.7,410.0,301.8,684.0,710.0,696.5,406.3,1024.0,351.3,473.6,1279.0,402.7,491.6,985.0,269.1,308.8,411.2,342.6,499.2,470.5,607.5,334.0,526.0,1710.0,582.1,405.5,718.8,347.2,315.6,0.0,600.3,387.7,0.0,235.4,509.3,654.4,373.4,377.1,1109.3,358.3,416.1,363.5,440.8,321.6,374.4,527.3,296.4,534.1,590.2,453.5,665.8,570.7,602.6,378.2,268.2,286.1,803.3,540.5,1042.7,0.0,715.0,556.9,407.8,263.6,276.6,767.0,440.4,338.3,360.5,737.6,214.3,401.2,406.8,210.7,504.7,1028.0,528.3,244.0,517.9,331.7,396.2
マイジャグラーV,317,428.5,491.0,506.6,664.0,581.0,427.0,613.8,379.8,377.0,461.1,2630.0,697.7,503.5,448.5,334.0,566.0,307.0,445.9,568.0,602.0,334.6,281.4,350.8,0.0,434.5,422.6,791.5,797.0,362.1,250.2,248.7,557.1,309.0,438.2,578.3,1356.0,618.3,310.5,325.0,209.5,533.2,705.5,299.2,392.7,1916.0,320.1,340.6,880.0,641.3,492.5,482.8,288.4,669.2,401.0,398.8,310.9,280.2,431.7,382.4,423.0,507.0,209.8,629.0,469.4,319.1,345.0,528.7,263.2,621.6,518.5,354.2,524.0,412.5,362.2,290.1,0.0,310.0,531.2,405.7,499.0,369.0,333.0,419.7,0.0,714.3,533.3,240.8,532.3,859.0,436.2,478.0,322.4,676.2,217.0,384.3,380.8,297.5,318.6,0.0,334.4,564.6,266.6,304.2,610.7,537.2,403.0,550.8,506.3,292.3,803.2
マイジャグラーV,318,711.5,417.5,232.9,413.5,284.6,489.4,391.0,549.5,474.1,354.5,686.8,998.5,316.7,368.3,1272.0,0.0,563.5,444.4,324.5,496.7,772.0,714.2,346.6,400.5,312.7,707.5,592.0,546.4,1307.0,375.0,546.2,396.3,482.0,0.0,316.2,323.1,382.8,842.3,440.2,315.2,356.4,343.7,523.4,386.7,423.5,362.8,264.2,402.2,680.8,901.0,488.6,280.7,476.3,319.6,1040.0,526.6,393.3,444.5,279.2,365.8,480.9,259.4,1415.0,596.2,401.0,395.2,335.9,520.3,892.0,371.7,361.9,340.1,455.2,448.6,330.0,491.8,528.9,350.3,481.6,390.9,415.5,327.9,438.1,252.7,505.1,661.5,545.0,314.9,962.5,261.1,484.4,325.2,420.6,432.5,345.1,345.9,604.0,319.5,437.8,298.4,377.7,646.0,297.4,241.2,795.0,339.7,426.0,506.3,411.4,311.2
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,313,177.9,206.7,229.6,150.2,177.6,186.1,143.3,154.5,153.7,154.7,231.3,159.0,143.9,176.2,251.0,172.5,205.1,221.7,230.2,201.8,115.6,226.8,225.7,208.6,180.7,307.5,133.8,178.8,214.9,130.6,408.2,157.5,146.0,208.0,209.7,166.5,278.7,180.5,198.6,171.4,210.7,176.3,289.5,153.4,186.5,339.4,295.8,152.5,164.4,151.7,129.9,156.1,185.3,152.9,173.7,147.8,153.6,153.5,148.0,218.0,156.7,297.5,182.2,197.6,171.8,167.1,166.7,197.0,138.5,201.1,224.8,147.9,236.0,958.0,159.2,170.7,141.0,330.0,154.7,136.2,185.0,169.6,155.2,330.3,146.6,138.1,218.7,128.8,171.7,208.7,155.8,150.8,210.5,132.2,186.8,166.1,216.1,145.9,159.3,192.1,122.9,225.2,139.4,141.3,146.4,157.2,166.2,138.0,233.6,177.0
マイジャグラーV,314,170.8,218.8,156.8,161.2,113.2,233.7,166.0,165.2,0.0,496.0,217.9,171.7,156.6,177.2,193.9,185.3,210.3,288.1,151.5,154.0,249.8,187.6,168.9,189.2,151.4,163.1,243.6,156.2,240.0,232.0,199.8,176.6,242.2,193.6,403.7,178.7,242.8,149.6,278.2,153.0,452.0,169.4,171.3,308.8,212.5,154.5,160.3,0.0,139.8,170.6,170.5,168.6,196.5,182.7,273.0,209.6,266.4,156.0,438.5,205.0,205.0,232.3,149.6,209.4,178.4,152.8,161.4,212.7,202.6,164.6,199.1,171.7,209.7,134.8,212.8,144.6,202.6,138.6,225.2,171.0,271.7,141.8,132.5,152.1,162.5,175.0,139.5,135.8,319.4,471.7,183.9,158.6,118.0,243.0,157.2,146.4,161.6,186.9,185.8,137.7,135.5,264.2,350.0,172.9,287.2,185.9,217.2,434.3,148.0,131.9
マイジャグラーV,315,159.1,202.5,184.3,286.6,175.4,148.5,155.6,279.3,202.2,151.5,149.8,156.4,154.9,187.6,0.0,157.0,165.3,190.6,221.5,500.0,158.1,167.7,140.2,237.8,177.7,424.5,286.2,122.1,145.9,272.5,172.9,248.2,149.1,381.4,191.6,280.0,151.4,156.8,337.9,182.4,139.4,150.7,183.6,164.3,162.6,178.0,237.7,161.4,174.0,443.7,168.5,152.4,183.8,205.9,144.1,215.0,172.2,261.3,156.8,179.2,134.6,151.1,234.8,187.2,167.2,196.4,159.8,239.6,167.1,225.8,164.7,175.6,153.2,190.8,155.7,146.1,264.5,302.0,118.4,148.0,159.1,125.4,250.8,231.6,147.9,224.9,301.0,200.4,162.7,229.7,238.4,128.3,170.3,108.1,228.8,170.0,217.5,150.3,212.2,306.6,190.9,141.9,167.8,180.2,189.1,217.1,169.2,149.4,247.2,378.3
マイジャグラーV,316,148.8,141.6,120.4,153.4,171.9,453.7,154.9,202.3,181.5,179.6,379.7,370.2,150.0,287.0,213.3,340.0,247.5,220.0,229.5,183.6,379.5,175.4,173.2,150.1,123.9,125.6,174.5,165.2,178.9,169.8,273.3,154.0,273.6,710.0,174.1,243.8,204.8,148.6,197.3,255.8,201.3,159.1,246.2,131.4,185.3,145.1,139.6,153.6,313.7,202.5,204.1,249.2,213.8,145.5,170.7,221.2,141.0,137.2,358.8,233.4,176.2,483.0,129.9,180.7,192.5,233.4,159.5,195.8,209.0,198.1,161.6,162.9,160.8,208.0,226.0,139.5,197.8,262.3,209.3,295.9,190.2,162.2,145.5,178.8,143.0,185.4,149.1,240.6,662.0,286.0,165.0,159.6,113.0,135.1,180.5,171.3,126.9,149.5,189.7,105.4,185.2,128.5,143.7,178.1,205.6,171.7,183.0,165.7,127.6,167.6
マイジャグラーV,317,169.2,196.4,253.3,332.0,207.5,174.7,251.1,189.9,161.6,159.6,328.8,261.6,183.1,448.5,125.2,166.5,153.5,132.6,319.5,602.0,146.8,121.9,198.3,344.0,144.8,187.8,158.3,227.7,187.8,250.2,133.0,159.2,124.8,166.2,216.9,150.7,142.7,145.5,125.0,106.9,164.1,188.1,145.7,134.3,319.3,144.5,128.9,251.4,240.5,218.9,174.4,144.2,223.1,200.5,151.9,176.2,117.5,159.9,158.5,211.5,184.4,93.2,251.6,213.4,164.7,159.2,217.7,135.2,171.5,188.5,164.4,262.0,137.5,155.2,170.6,409.0,136.4,156.2,146.7,190.1,198.7,146.9,179.9,476.0,214.3,160.0,110.4,219.2,234.3,183.7,159.3,161.2,150.3,120.5,153.7,160.3,148.7,182.1,273.4,123.7,188.2,149.0,173.9,261.7,166.7,201.5,275.4,189.9,154.8,247.2
マイジャグラーV,318,177.9,139.2,114.1,137.8,237.2,200.2,195.5,173.5,174.7,236.3,183.1,221.9,139.7,161.1,212.0,333.0,161.0,160.0,157.3,184.0,386.0,210.1,203.9,183.5,129.4,176.9,182.2,182.1,435.7,150.0,172.5,163.2,144.6,241.0,135.5,149.1,200.5,194.4,172.3,119.6,140.4,159.6,186.9,154.7,188.2,217.7,127.0,201.1,140.9,321.8,157.6,143.2,178.6,166.7,208.0,239.4,178.8,202.0,148.9,172.1,153.0,145.3,235.8,167.7,167.1,164.7,204.0,164.3,223.0,154.9,144.7,127.6,160.6,224.3,156.3,163.9,176.3,151.5,160.5,163.9,150.1,134.1,129.8,130.7,191.6,264.6,167.7,137.8,213.9,120.5,226.1,143.3,197.9,123.6,151.8,132.5,226.5,142.0,185.2,134.3,160.2,646.0,148.7,140.2,198.8,181.2,189.3,168.8,143.1,168.9
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,319,3643,1659,1442,1059,4025,3368,6954,2718,3561,1442,1996,3854,2881,2458,2538,3366,874,2917,5188,2117,2741,1013,3510,3606,3300,691,6725,4199,3407,1844,2663,5145,6517,1801,2751,760,1007,4412,3520,3615,2581,3706,1291,6393,7952,7540,4335,1660,6962,669,3445,8023,3436,2042,1253,7109,4867,3428,5641,3952,3107,1257,2164,4464,5432,5559,3457,2934,4941,4819,4303,2860,860,3489,4709,1348,1559,5540,4120,2304,3223,5029,2222,3384,1407,3541,2708,4488,7239,2079,7364,2480,924,3990,1629,1056,1289,3257,3328,1356,1410,4875,5345,3730,1280,2654,2721,2544,4844,2795
アイムジャグラーEX-TP,320,4116,3006,5229,4165,4733,4184,6010,2028,2298,1666,1537,5737,2008,3120,1670,3357,3231,3177,1602,2387,2346,7372,2642,1609,2849,5506,1445,2534,2265,1018,5056,6357,3987,2179,4855,1456,3018,922,6998,5692,2566,6012,4498,1501,1123,3778,3431,1154,2306,2619,6564,8143,5916,1415,1966,1449,497,2281,2963,5173,4825,1952,4106,3366,3071,3781,6940,5704,1291,3888,1624,3676,7479,4921,5872,2299,1460,1539,5453,7190,1733,1856,4093,881,5881,2713,3831,4002,801,2667,3359,740,3881,4377,1262,3096,735,848,5749,1287,6836,4204,597,2336,2277,1778,8518,2017,1582,4338
アイムジャグラーEX-TP,321,2755,1744,2540,810,876,6991,4486,3647,2786,4027,1550,1928,6454,399,1839,2720,3419,5746,4765,285,1934,3583,1724,2472,2390,1776,5472,5039,5227,544,473,3740,2696,1518,2497,3723,3300,3546,2580,3437,1582,2268,1793,1924,1851,2161,2042,3161,2038,1631,1262,7634,1966,1625,3464,6806,7474,8209,795,5263,4768,392,364,2921,4114,5310,4459,1140,3502,1359,5974,1816,446,2068,2992,1604,2118,1060,416,8533,4293,3822,1594,2855,3356,3540,2945,2388,4110,5960,2093,6338,2370,2235,5480,1287,1423,6618,1600,8121,3513,1138,1010,853,2858,3111,4961,3580,3354,2250
アイムジャグラーEX-TP,322,5168,1819,6812,5880,3210,858,4769,1629,1406,1383,2029,2670,9110,1586,3006,4823,4178,2328,3136,4973,2146,1666,2776,6889,3554,1874,1325,1001,1099,1018,6531,5221,5960,1887,647,2327,3027,3137,8229,2186,5793,3666,5765,1007,361,4106,1479,872,5794,1846,7659,6508,4511,6984,4074,3037,3591,2004,6941,5192,898,2609,6396,4857,2950,4817,4322,2474,3041,3559,1470,2434,2672,5055,2390,795,4083,1789,872,4444,5712,2282,5082,1053,1411,1015,3620,4952,2864,474,6175,1423,4851,4149,2049,6921,3016,4163,1502,552,2626,2254,562,1528,702,3381,2174,4356,1631,6093
アイムジャグラーEX-TP,323,2416,1610,4569,998,3060,3278,3309,5516,1731,1339,1071,4140,3203,4692,427,2566,432,5770,1994,1472,2719,6908,1864,704,850,3677,1217,5426,6000,2102,824,1293,1062,5079,3271,303,2252,1966,3329,2606,1009,5995,1431,3274,4728,4959,4659,1254,237,6135,3395,7874,1879,1313,2480,3768,6623,2994,2648,7132,7102,207,1070,7655,3532,1517,4642,6070,4174,4323,4546,5316,1004,2068,2043,3889,892,2555,7289,5260,2570,394,981,4881,2297,2409,851,5712,2712,6693,4820,4059,2009,4163,833,3286,534,2991,2431,1935,3404,1723,2742,4685,3937,1556,1136,783,8028,1097
