,,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,ndays_ago,GAME,BB,RB,TOTAL_RATE,RB_RATE
date,,2025-04-11 00:00:00,2025-04-12 00:00:00,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,total5,total4,total3,total2,total1,rank5,rank4,rank3,rank2,rank1,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,1037,-512.0,1912.0,924.0,-650.0,-1182.0,492.0,1004.0,-908.0,-1832.0,-1182.0,48,59,23,8,15,4300.0,16.0,7.0,187.0,614.3
マイジャグラーV,1038,279.0,1206.0,-303.0,-724.0,285.0,743.0,464.0,-742.0,-439.0,285.0,50,47,26,27,58,5403.0,27.0,14.0,131.8,385.9
マイジャグラーV,1039,1112.0,1897.0,274.0,-285.0,-1100.0,1898.0,786.0,-1111.0,-1385.0,-1100.0,66,56,19,13,16,963.0,4.0,1.0,192.6,963.0
マイジャグラーV,1040,-121.0,-450.0,2038.0,-1147.0,909.0,1229.0,1350.0,1800.0,-238.0,909.0,60,64,71,30,64,6137.0,29.0,12.0,149.7,511.4
マイジャグラーV,1041,1641.0,-1950.0,-1347.0,-791.0,-132.0,-2579.0,-4220.0,-2270.0,-923.0,-132.0,8,3,7,20,30,6596.0,24.0,28.0,126.8,235.6
マイジャグラーV,1042,-1844.0,-1579.0,-291.0,-62.0,-3.0,-3779.0,-1935.0,-356.0,-65.0,-3.0,3,14,42,33,32,2634.0,11.0,4.0,175.6,658.5
マイジャグラーV,1043,1524.0,2321.0,-885.0,-1629.0,-971.0,360.0,-1164.0,-3485.0,-2600.0,-971.0,47,23,4,5,18,2640.0,11.0,5.0,165.0,528.0
マイジャグラーV,1044,-1747.0,2250.0,2338.0,-832.0,-347.0,1662.0,3409.0,1159.0,-1179.0,-347.0,63,78,63,15,26,6326.0,28.0,13.0,154.3,486.6
マイジャグラーV,1045,544.0,-456.0,218.0,-1500.0,2247.0,1053.0,509.0,965.0,747.0,2247.0,56,50,59,61,76,3413.0,14.0,9.0,148.4,379.2
マイジャグラーV,1046,-568.0,-668.0,-679.0,-579.0,-921.0,-3415.0,-2847.0,-2179.0,-1500.0,-921.0,5,6,8,9,19,2827.0,9.0,6.0,188.5,471.2
マイジャグラーV,1047,1350.0,-526.0,-915.0,429.0,-879.0,-541.0,-1891.0,-1365.0,-450.0,-879.0,35,15,17,26,20,7170.0,29.0,24.0,135.3,298.8
