機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,17,-35,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,343,846,-948,1,1,0,1/423.0,1/846.0,1/846.0,1/0.0
スマスロ北斗の拳,344,"1,013",-645,6,4,0,1/101.3,1/168.8,1/253.2,1/0.0
スマスロ北斗の拳,345,562,-401,2,2,0,1/140.5,1/281.0,1/281.0,1/0.0
スマスロ北斗の拳,346,"1,496",-52,15,5,0,1/74.8,1/99.7,1/299.2,1/0.0
スマスロ北斗の拳,347,239,-99,2,1,0,1/79.7,1/119.5,1/239.0,1/0.0
スマスロ北斗の拳,348,563,+936,14,2,0,1/35.2,1/40.2,1/281.5,1/0.0
スマスロ北斗の拳,349,770,+727,14,2,0,1/48.1,1/55.0,1/385.0,1/0.0
アイムジャグラーEX-TP,319,"2,042",-436,5,5,0,1/204.2,1/408.4,1/408.4,1/0.0
アイムジャグラーEX-TP,320,"1,415",+99,7,0,0,1/202.1,1/202.1,1/0.0,1/0.0
アイムジャグラーEX-TP,321,"1,625",-122,5,6,0,1/147.7,1/325.0,1/270.8,1/0.0
アイムジャグラーEX-TP,322,"6,984",-831,18,30,0,1/145.5,1/388.0,1/232.8,1/0.0
アイムジャグラーEX-TP,323,"1,313",-494,3,4,0,1/187.6,1/437.7,1/328.2,1/0.0
アイムジャグラーEX-TP,324,"6,249",+727,26,20,0,1/135.8,1/240.3,1/312.4,1/0.0
アイムジャグラーEX-TP,325,"2,089","+1,012",13,3,0,1/130.6,1/160.7,1/696.3,1/0.0
マイジャグラーV,313,"5,503",+337,21,15,0,1/152.9,1/262.0,1/366.9,1/0.0
マイジャグラーV,314,"3,106",-971,7,10,0,1/182.7,1/443.7,1/310.6,1/0.0
マイジャグラーV,315,"1,853",-703,4,5,0,1/205.9,1/463.2,1/370.6,1/0.0
マイジャグラーV,316,"4,075",+593,21,7,0,1/145.5,1/194.0,1/582.1,1/0.0
マイジャグラーV,317,"2,406",-762,6,6,0,1/200.5,1/401.0,1/401.0,1/0.0
マイジャグラーV,318,"3,835",-552,11,12,0,1/166.7,1/348.6,1/319.6,1/0.0
ハッピージャグラーVIII,326,"1,335",+52,5,5,0,1/133.5,1/267.0,1/267.0,1/0.0
ハッピージャグラーVIII,327,"1,470",-76,5,4,0,1/163.3,1/294.0,1/367.5,1/0.0
ハッピージャグラーVIII,328,"6,528",+826,29,17,0,1/141.9,1/225.1,1/384.0,1/0.0
ハッピージャグラーVIII,329,"1,235",+76,5,5,0,1/123.5,1/247.0,1/247.0,1/0.0
ハッピージャグラーVIII,330,"2,392",-203,8,9,0,1/140.7,1/299.0,1/265.8,1/0.0
ゴーゴージャグラー3,335,"4,276","-1,198",11,15,0,1/164.5,1/388.7,1/285.1,1/0.0
ゴーゴージャグラー3,336,"5,720","+1,895",29,19,0,1/119.2,1/197.2,1/301.1,1/0.0
ゴーゴージャグラー3,337,653,-924,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,338,"1,566",-180,6,5,0,1/142.4,1/261.0,1/313.2,1/0.0
ハナハナホウオウ～天翔～,424,170,-250,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,"2,267","+1,384",11,10,0,1/108.0,1/206.1,1/226.7,1/0.0
ハナハナホウオウ～天翔～,426,466,-355,1,0,0,1/466.0,1/466.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,"1,116",+99,4,3,0,1/159.4,1/279.0,1/372.0,1/0.0
ゴッドイーター リザレクション,371,"2,266","-2,209",0,3,8,1/206.0,1/0.0,1/755.3,1/283.2
ゴッドイーター リザレクション,372,"5,316","+5,407",0,7,61,1/78.2,1/0.0,1/759.4,1/87.1
ゴッドイーター リザレクション,373,"1,961","-1,709",0,3,7,1/196.1,1/0.0,1/653.7,1/280.1
ファンキージャグラー2,339,"6,798",-29,25,20,0,1/151.1,1/271.9,1/339.9,1/0.0
ファンキージャグラー2,340,"1,486",+203,7,2,0,1/165.1,1/212.3,1/743.0,1/0.0
ファンキージャグラー2,341,"3,169",+797,17,6,0,1/137.8,1/186.4,1/528.2,1/0.0
押忍！番長4,374,"3,144","+1,977",0,6,16,1/142.9,1/0.0,1/524.0,1/196.5
押忍！番長4,375,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍！番長4,376,"3,446","+4,570",0,4,22,1/132.5,1/0.0,1/861.5,1/156.6
炎炎ノ消防隊,398,226,-250,0,1,0,1/226.0,1/0.0,1/226.0,1/0.0
炎炎ノ消防隊,399,"2,319",-99,0,5,13,1/128.8,1/0.0,1/463.8,1/178.4
炎炎ノ消防隊,400,593,-343,0,3,2,1/118.6,1/0.0,1/197.7,1/296.5
D4DJ Pachi‐Slot Mix,356,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
D4DJ Pachi‐Slot Mix,357,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
L南国育ち,358,"1,940",+35,10,10,0,1/97.0,1/194.0,1/194.0,1/0.0
L南国育ち,359,"2,789",+29,17,7,0,1/116.2,1/164.1,1/398.4,1/0.0
Re:ゼロから始める異世界生活 season2,362,"1,539","+2,860",0,2,41,1/35.8,1/0.0,1/769.5,1/37.5
Re:ゼロから始める異世界生活 season2,363,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ありふれた職業で世界最強,366,629,-459,0,2,2,1/157.2,1/0.0,1/314.5,1/314.5
ありふれた職業で世界最強,367,"2,114",+52,0,4,9,1/162.6,1/0.0,1/528.5,1/234.9
サンダーVライトニング,422,"2,914",-41,9,10,0,1/153.4,1/323.8,1/291.4,1/0.0
サンダーVライトニング,423,"1,421",+750,8,4,0,1/118.4,1/177.6,1/355.2,1/0.0
ジャグラーガールズ,333,"4,571",-587,14,16,0,1/152.4,1/326.5,1/285.7,1/0.0
ジャグラーガールズ,334,"1,125",-657,1,5,0,1/187.5,1/1125.0,1/225.0,1/0.0
ダンベル何キロ持てる？,403,"1,953",-552,0,9,23,1/61.0,1/0.0,1/217.0,1/84.9
ダンベル何キロ持てる？,404,"4,321",+593,0,13,71,1/51.4,1/0.0,1/332.4,1/60.9
バンドリ！,401,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
バンドリ！,402,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ミスタージャグラー,331,"6,075",+628,27,19,0,1/132.1,1/225.0,1/319.7,1/0.0
ミスタージャグラー,332,703,+320,4,2,0,1/117.2,1/175.8,1/351.5,1/0.0
モンキーターンV,369,"3,606",+145,0,10,28,1/94.9,1/0.0,1/360.6,1/128.8
モンキーターンV,370,903,-262,0,2,6,1/112.9,1/0.0,1/451.5,1/150.5
戦国乙女4 戦乱に閃く炯眼の軍師,364,990,-948,2,0,2,1/247.5,1/495.0,1/0.0,1/495.0
戦国乙女4 戦乱に閃く炯眼の軍師,365,237,+52,1,0,1,1/118.5,1/237.0,1/0.0,1/237.0
戦姫絶唱シンフォギア 正義の歌,360,"1,754","-1,291",0,4,12,1/109.6,1/0.0,1/438.5,1/146.2
戦姫絶唱シンフォギア 正義の歌,361,284,-320,0,1,1,1/142.0,1/0.0,1/284.0,1/284.0
押忍!番長ZERO,390,584,-657,0,0,2,1/292.0,1/0.0,1/0.0,1/292.0
押忍!番長ZERO,391,"1,211",-436,0,2,8,1/121.1,1/0.0,1/605.5,1/151.4
沖ドキ!GOLD,428,375,+401,4,3,0,1/53.6,1/93.8,1/125.0,1/0.0
沖ドキ!GOLD,429,"2,087","+6,558",38,17,0,1/37.9,1/54.9,1/122.8,1/0.0
甲鉄城のカバネリ,396,147,-215,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
