台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"4,023",-591,15,6,1/191.6,1/268.2,1/670.5
1002,"1,581",-926,3,1,1/395.2,1/527.0,1/1581.0
1003,"2,508",-368,9,4,1/192.9,1/278.7,1/627.0
1004,"4,394",+229,20,8,1/156.9,1/219.7,1/549.2
1005,"3,240",-994,8,9,1/190.6,1/405.0,1/360.0
1006,"6,442",+582,27,19,1/140.0,1/238.6,1/339.1
1007,"1,584",-409,4,3,1/226.3,1/396.0,1/528.0
1008,"7,276","-1,206",19,28,1/154.8,1/382.9,1/259.9
1009,"8,989",-638,26,32,1/155.0,1/345.7,1/280.9
1010,"1,582",-662,5,1,1/263.7,1/316.4,1/1582.0
1011,"5,209","-1,324",14,15,1/179.6,1/372.1,1/347.3
1012,"2,531",-726,8,5,1/194.7,1/316.4,1/506.2
1013,"3,543","+1,547",20,11,1/114.3,1/177.2,1/322.1
1014,"3,606","+1,476",20,9,1/124.3,1/180.3,1/400.7
1015,"6,014",-262,21,17,1/158.3,1/286.4,1/353.8
1016,"7,084",+947,26,26,1/136.2,1/272.5,1/272.5
1017,"8,725","+2,271",35,37,1/121.2,1/249.3,1/235.8
1018,"8,589","+3,565",43,31,1/116.1,1/199.7,1/277.1
1019,"5,474",-785,19,11,1/182.5,1/288.1,1/497.6
1020,"2,252","-1,382",6,1,1/321.7,1/375.3,1/2252.0
1021,"7,429","+2,268",36,24,1/123.8,1/206.4,1/309.5
1022,"7,036","+1,641",31,25,1/125.6,1/227.0,1/281.4
1023,"5,774","+1,076",27,14,1/140.8,1/213.9,1/412.4
1024,"1,341",-597,3,3,1/223.5,1/447.0,1/447.0
1025,"6,618","+3,635",36,30,1/100.3,1/183.8,1/220.6
1026,"4,389","-1,653",8,16,1/182.9,1/548.6,1/274.3
1027,"4,045",-944,11,11,1/183.9,1/367.7,1/367.7
1028,"2,678",-332,8,11,1/140.9,1/334.8,1/243.5
1029,"2,963",+253,14,4,1/164.6,1/211.6,1/740.8
1030,"7,372","+2,215",34,26,1/122.9,1/216.8,1/283.5
1031,"8,092","+2,109",38,27,1/124.5,1/212.9,1/299.7
1032,"2,327",-226,10,3,1/179.0,1/232.7,1/775.7
1033,"5,615",-274,21,17,1/147.8,1/267.4,1/330.3
1034,"2,749","-1,065",8,6,1/196.4,1/343.6,1/458.2
1035,"1,718",-715,4,3,1/245.4,1/429.5,1/572.7
1036,"6,911",+559,27,21,1/144.0,1/256.0,1/329.1
1037,"8,600","+3,024",35,46,1/106.2,1/245.7,1/187.0
1038,"2,804","-1,241",5,9,1/200.3,1/560.8,1/311.6
1039,"6,392",-615,22,17,1/163.9,1/290.5,1/376.0
1040,"2,453",+103,11,3,1/175.2,1/223.0,1/817.7
1041,"7,094",+921,26,24,1/141.9,1/272.8,1/295.6
1042,"8,445","+1,524",32,34,1/128.0,1/263.9,1/248.4
1043,"1,101","-1,018",1,1,1/550.5,1/1101.0,1/1101.0
1044,"6,508","+1,100",28,19,1/138.5,1/232.4,1/342.5
1045,"3,065",-324,10,8,1/170.3,1/306.5,1/383.1
1046,"6,552",-403,25,13,1/172.4,1/262.1,1/504.0
1047,"2,595",-832,6,7,1/199.6,1/432.5,1/370.7
1048,"2,471",-959,6,5,1/224.6,1/411.8,1/494.2
1049,"5,632",+74,20,17,1/152.2,1/281.6,1/331.3
1050,"8,426",+924,33,27,1/140.4,1/255.3,1/312.1
1069,"4,416",+126,17,14,1/142.5,1/259.8,1/315.4
1070,"2,234","-1,394",4,1,1/446.8,1/558.5,1/2234.0
1071,"7,079","+1,453",33,19,1/136.1,1/214.5,1/372.6
1072,"4,849",-924,17,12,1/167.2,1/285.2,1/404.1
1073,"3,644",-562,13,7,1/182.2,1/280.3,1/520.6
1074,"5,995","-1,041",17,20,1/162.0,1/352.6,1/299.8
1075,"2,661",-703,9,2,1/241.9,1/295.7,1/1330.5
1076,"3,832",-450,13,9,1/174.2,1/294.8,1/425.8
1077,"7,177","+2,515",38,16,1/132.9,1/188.9,1/448.6
1078,"4,961",+109,20,13,1/150.3,1/248.1,1/381.6
1079,"5,411",+174,19,15,1/159.1,1/284.8,1/360.7
1080,"8,546","+3,894",47,27,1/115.5,1/181.8,1/316.5
1081,"2,002","-1,359",3,4,1/286.0,1/667.3,1/500.5
1082,"7,269",-653,26,19,1/161.5,1/279.6,1/382.6
1083,"7,237",-994,23,20,1/168.3,1/314.7,1/361.9
1084,"4,968",-594,18,10,1/177.4,1/276.0,1/496.8
1085,"5,638","-1,229",14,17,1/181.9,1/402.7,1/331.6
1086,"4,355","-1,076",14,9,1/189.3,1/311.1,1/483.9
1087,"6,473",+691,28,17,1/143.8,1/231.2,1/380.8
1088,"1,939",-344,6,4,1/193.9,1/323.2,1/484.8
1089,"8,568","+6,321",48,42,1/95.2,1/178.5,1/204.0
1090,"1,058",-556,3,0,1/352.7,1/352.7,1/0.0
1091,"8,361","+1,826",38,24,1/134.9,1/220.0,1/348.4
1092,"1,299",-132,6,1,1/185.6,1/216.5,1/1299.0
1093,"2,615",-379,9,3,1/217.9,1/290.6,1/871.7
1094,"6,971",+121,25,24,1/142.3,1/278.8,1/290.5
1095,"6,532",+712,29,14,1/151.9,1/225.2,1/466.6
1096,"2,569",-409,9,6,1/171.3,1/285.4,1/428.2
1097,"4,835",-594,18,12,1/161.2,1/268.6,1/402.9
1098,"8,105",+132,32,21,1/152.9,1/253.3,1/386.0
1099,"5,550",-944,17,16,1/168.2,1/326.5,1/346.9
