台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"6,411",+653,27,18,1/142.5,1/237.4,1/356.2
1101,"2,728",-65,12,6,1/151.6,1/227.3,1/454.7
1102,"2,693",+785,13,9,1/122.4,1/207.2,1/299.2
1103,"1,913",+238,9,3,1/159.4,1/212.6,1/637.7
1104,"1,439",-821,3,3,1/239.8,1/479.7,1/479.7
1105,"1,172",-579,3,3,1/195.3,1/390.7,1/390.7
1106,"4,673","-1,653",13,14,1/173.1,1/359.5,1/333.8
1107,"6,040",+288,27,16,1/140.5,1/223.7,1/377.5
1108,"1,626",-815,4,5,1/180.7,1/406.5,1/325.2
1109,"3,165",+332,14,10,1/131.9,1/226.1,1/316.5
1110,"3,191",-732,10,11,1/152.0,1/319.1,1/290.1
1111,"6,281",+700,28,20,1/130.9,1/224.3,1/314.1
1112,861,-562,2,1,1/287.0,1/430.5,1/861.0
1113,"5,299",-665,23,6,1/182.7,1/230.4,1/883.2
1123,"6,362",+806,30,23,1/120.0,1/212.1,1/276.6
1124,"2,538",-221,10,5,1/169.2,1/253.8,1/507.6
1125,"5,686",+935,26,19,1/126.4,1/218.7,1/299.3
1126,813,-638,1,1,1/406.5,1/813.0,1/813.0
1127,"2,144",-274,7,8,1/142.9,1/306.3,1/268.0
1128,"4,898",-41,20,14,1/144.1,1/244.9,1/349.9
1129,"2,123","-1,065",6,2,1/265.4,1/353.8,1/1061.5
