機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1001,"4,046",-221,16,9,1/161.8,1/252.9,1/449.6
マイジャグラーV,1002,"7,151",+244,28,21,1/145.9,1/255.4,1/340.5
マイジャグラーV,1003,"2,548",-326,9,6,1/169.9,1/283.1,1/424.7
マイジャグラーV,1004,"5,927",-621,20,18,1/156.0,1/296.4,1/329.3
マイジャグラーV,1005,"2,393","-1,394",2,7,1/265.9,1/1196.5,1/341.9
マイジャグラーV,1006,"5,959",-568,19,17,1/165.5,1/313.6,1/350.5
マイジャグラーV,1007,"6,764",+897,28,24,1/130.1,1/241.6,1/281.8
マイジャグラーV,1008,"3,285","-1,453",6,8,1/234.6,1/547.5,1/410.6
マイジャグラーV,1009,"6,705","+2,462",36,14,1/134.1,1/186.2,1/478.9
マイジャグラーV,1010,"3,978",-888,14,8,1/180.8,1/284.1,1/497.2
マイジャグラーV,1011,"9,460","+4,750",48,37,1/111.3,1/197.1,1/255.7
マイジャグラーV,1012,"1,200",-656,2,1,1/400.0,1/600.0,1/1200.0
マイジャグラーV,1013,"4,918",-550,18,11,1/169.6,1/273.2,1/447.1
マイジャグラーV,1014,"6,789","+1,571",32,21,1/128.1,1/212.2,1/323.3
マイジャグラーV,1015,"3,563","-1,006",7,12,1/187.5,1/509.0,1/296.9
マイジャグラーV,1016,"6,229","+1,065",29,15,1/141.6,1/214.8,1/415.3
マイジャグラーV,1017,"6,701",-135,28,12,1/167.5,1/239.3,1/558.4
マイジャグラーV,1018,"4,365",-656,14,11,1/174.6,1/311.8,1/396.8
マイジャグラーV,1019,"3,783",-982,11,8,1/199.1,1/343.9,1/472.9
マイジャグラーV,1020,"4,180","-1,394",11,12,1/181.7,1/380.0,1/348.3
マイジャグラーV,1021,"4,761",-950,15,12,1/176.3,1/317.4,1/396.8
マイジャグラーV,1022,"9,528","+1,053",35,34,1/138.1,1/272.2,1/280.2
マイジャグラーV,1023,"4,885",-524,16,13,1/168.4,1/305.3,1/375.8
マイジャグラーV,1024,"8,276",+250,32,25,1/145.2,1/258.6,1/331.0
マイジャグラーV,1025,"1,990",-668,6,2,1/248.8,1/331.7,1/995.0
マイジャグラーV,1026,"6,149",-771,19,23,1/146.4,1/323.6,1/267.3
マイジャグラーV,1027,"7,763",+774,36,16,1/149.3,1/215.6,1/485.2
マイジャグラーV,1028,"5,257",-809,18,13,1/169.6,1/292.1,1/404.4
マイジャグラーV,1029,"5,445",+512,22,12,1/160.1,1/247.5,1/453.8
マイジャグラーV,1030,"6,297",+697,24,26,1/125.9,1/262.4,1/242.2
マイジャグラーV,1031,"4,496",-609,15,9,1/187.3,1/299.7,1/499.6
マイジャグラーV,1032,"7,725",-218,27,20,1/164.4,1/286.1,1/386.2
マイジャグラーV,1033,"8,609",+76,35,21,1/153.7,1/246.0,1/410.0
マイジャグラーV,1034,"8,060",+465,29,32,1/132.1,1/277.9,1/251.9
マイジャグラーV,1035,"1,642",-656,5,2,1/234.6,1/328.4,1/821.0
