台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,8494,31,26,0,1496,1/274.0,1/326.7,0.0,149.0,247
1002,2725,10,11,0,853,1/272.5,1/247.7,0.0,129.8,164
1003,2424,11,5,0,698,1/220.4,1/484.8,0.0,151.5,523
1004,8309,33,29,0,2925,1/251.8,1/286.5,0.0,134.0,511
1005,2122,5,7,0,463,1/424.4,1/303.1,0.0,176.8,290
1006,4076,17,6,0,889,1/239.8,1/679.3,0.0,177.2,135
1007,1612,4,3,0,341,1/403.0,1/537.3,0.0,230.3,13
1008,6396,28,15,0,1911,1/228.4,1/426.4,0.0,148.7,138
1009,845,2,0,0,244,1/422.5,1/0.0,0.0,422.5,243
1010,4186,13,9,0,1114,1/322.0,1/465.1,0.0,190.3,134
1011,7461,24,30,0,1290,1/310.9,1/248.7,0.0,138.2,301
1012,885,3,2,0,681,1/295.0,1/442.5,0.0,177.0,350
1013,2812,10,5,0,921,1/281.2,1/562.4,0.0,187.5,489
1014,1467,4,2,0,473,1/366.8,1/733.5,0.0,244.5,303
1015,5721,26,24,0,2187,1/220.0,1/238.4,0.0,114.4,145
1016,1428,4,2,0,573,1/357.0,1/714.0,0.0,238.0,239
1017,4080,13,14,0,836,1/313.8,1/291.4,0.0,151.1,169
1018,4802,18,16,0,837,1/266.8,1/300.1,0.0,141.2,217
1019,7719,33,29,0,2594,1/233.9,1/266.2,0.0,124.5,170
1020,2071,7,4,0,965,1/295.9,1/517.8,0.0,188.3,234
1021,6491,18,22,0,900,1/360.6,1/295.0,0.0,162.3,212
1022,1975,5,4,0,412,1/395.0,1/493.8,0.0,219.4,52
1023,4022,18,7,0,1148,1/223.4,1/574.6,0.0,160.9,445
1024,7198,36,19,0,2300,1/199.9,1/378.8,0.0,130.9,573
1025,6471,22,24,0,1465,1/294.1,1/269.6,0.0,140.7,397
1026,2878,7,10,0,663,1/411.1,1/287.8,0.0,169.3,120
1027,5519,16,13,0,870,1/344.9,1/424.5,0.0,190.3,187
1028,4688,18,10,0,1213,1/260.4,1/468.8,0.0,167.4,55
1029,2687,9,7,0,699,1/298.6,1/383.9,0.0,167.9,138
1030,5773,23,11,0,1185,1/251.0,1/524.8,0.0,169.8,257
1031,1806,7,4,0,711,1/258.0,1/451.5,0.0,164.2,608
1032,6970,31,16,0,2009,1/224.8,1/435.6,0.0,148.3,230
1033,3186,8,10,0,674,1/398.3,1/318.6,0.0,177.0,267
1034,7110,28,28,0,2185,1/253.9,1/253.9,0.0,127.0,133
1035,2777,13,6,0,1018,1/213.6,1/462.8,0.0,146.2,132
1036,5933,22,20,0,1344,1/269.7,1/296.7,0.0,141.3,219
1037,4250,14,13,0,850,1/303.6,1/326.9,0.0,157.4,204
1038,5363,18,12,0,972,1/297.9,1/446.9,0.0,178.8,160
1039,1423,5,2,0,730,1/284.6,1/711.5,0.0,203.3,188
1040,5401,19,12,0,1315,1/284.3,1/450.1,0.0,174.2,156
1041,2866,6,8,0,601,1/477.7,1/358.3,0.0,204.7,198
1042,4308,20,10,0,1451,1/215.4,1/430.8,0.0,143.6,304
1043,5802,18,20,0,1475,1/322.3,1/290.1,0.0,152.7,185
1044,2416,9,2,0,1148,1/268.4,1/1208.0,0.0,219.6,250
1045,4137,13,14,0,1120,1/318.2,1/295.5,0.0,153.2,276
1046,9392,40,41,0,3266,1/234.8,1/229.1,0.0,116.0,73
1047,2089,2,8,0,344,1/1044.5,1/261.1,0.0,208.9,723
1048,2120,6,3,0,365,1/353.3,1/706.7,0.0,235.6,475
1049,6086,25,23,0,1888,1/243.4,1/264.6,0.0,126.8,640
1050,6374,26,17,0,1454,1/245.2,1/374.9,0.0,148.2,653
1069,7151,26,27,0,1754,1/275.0,1/264.9,0.0,134.9,71
1070,5511,18,11,0,1191,1/306.2,1/501.0,0.0,190.0,123
1071,5408,25,17,0,2372,1/216.3,1/318.1,0.0,128.8,189
1072,9072,39,44,0,3994,1/232.6,1/206.2,0.0,109.3,83
1073,4692,20,12,0,1471,1/234.6,1/391.0,0.0,146.6,273
1074,3308,8,11,0,436,1/413.5,1/300.7,0.0,174.1,111
1075,1953,4,6,0,345,1/488.3,1/325.5,0.0,195.3,38
1076,3790,8,9,0,460,1/473.8,1/421.1,0.0,222.9,133
1077,6218,22,19,0,1616,1/282.6,1/327.3,0.0,151.7,587
1078,6137,23,12,0,1321,1/266.8,1/511.4,0.0,175.3,146
1079,1636,4,4,0,523,1/409.0,1/409.0,0.0,204.5,368
1080,6892,22,26,0,835,1/313.3,1/265.1,0.0,143.6,103
1081,6422,34,13,0,3058,1/188.9,1/494.0,0.0,136.6,140
1082,814,3,3,0,843,1/271.3,1/271.3,0.0,135.7,325
1083,6468,27,18,0,1627,1/239.6,1/359.3,0.0,143.7,95
1084,2489,10,3,0,579,1/248.9,1/829.7,0.0,191.5,308
1085,6479,32,19,0,2688,1/202.5,1/341.0,0.0,127.0,398
1086,2791,10,6,0,965,1/279.1,1/465.2,0.0,174.4,389
1087,3996,13,10,0,1266,1/307.4,1/399.6,0.0,173.7,205
1088,3506,12,9,0,1122,1/292.2,1/389.6,0.0,167.0,5
1089,6120,27,15,0,1826,1/226.7,1/408.0,0.0,145.7,233
1090,6225,29,13,0,1020,1/214.7,1/478.8,0.0,148.2,381
1091,2039,5,6,0,451,1/407.8,1/339.8,0.0,185.4,277
1092,4140,17,8,0,1919,1/243.5,1/517.5,0.0,165.6,105
1093,1688,6,0,0,755,1/281.3,1/0.0,0.0,281.3,336
1094,6692,28,21,0,1315,1/239.0,1/318.7,0.0,136.6,174
1095,822,1,0,0,242,1/822.0,1/0.0,0.0,822.0,369
1096,2031,4,5,0,650,1/507.8,1/406.2,0.0,225.7,90
1097,5509,23,16,0,1182,1/239.5,1/344.3,0.0,141.3,300
1098,2960,9,9,0,1062,1/328.9,1/328.9,0.0,164.4,387
1099,5346,13,19,0,643,1/411.2,1/281.4,0.0,167.1,128
