機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,269",11,4,0,1/84.6,1/115.4,1/317.2,1/0.0
スマスロ北斗の拳,343,629,7,2,0,1/69.9,1/89.9,1/314.5,1/0.0
スマスロ北斗の拳,344,544,3,3,0,1/90.7,1/181.3,1/181.3,1/0.0
スマスロ北斗の拳,345,269,1,1,0,1/134.5,1/269.0,1/269.0,1/0.0
スマスロ北斗の拳,346,"1,860",22,5,0,1/68.9,1/84.5,1/372.0,1/0.0
スマスロ北斗の拳,347,518,10,2,0,1/43.2,1/51.8,1/259.0,1/0.0
スマスロ北斗の拳,348,425,3,1,0,1/106.2,1/141.7,1/425.0,1/0.0
スマスロ北斗の拳,349,"1,035",22,1,0,1/45.0,1/47.0,1/1035.0,1/0.0
アイムジャグラーEX-TP,319,"2,741",5,9,0,1/195.8,1/548.2,1/304.6,1/0.0
アイムジャグラーEX-TP,320,"2,346",14,4,0,1/130.3,1/167.6,1/586.5,1/0.0
アイムジャグラーEX-TP,321,"1,934",6,3,0,1/214.9,1/322.3,1/644.7,1/0.0
アイムジャグラーEX-TP,322,"2,146",4,6,0,1/214.6,1/536.5,1/357.7,1/0.0
アイムジャグラーEX-TP,323,"2,719",8,7,0,1/181.3,1/339.9,1/388.4,1/0.0
アイムジャグラーEX-TP,324,"4,028",23,7,0,1/134.3,1/175.1,1/575.4,1/0.0
アイムジャグラーEX-TP,325,"1,946",7,3,0,1/194.6,1/278.0,1/648.7,1/0.0
マイジャグラーV,313,"5,200",27,18,0,1/115.6,1/192.6,1/288.9,1/0.0
マイジャグラーV,314,"1,249",0,5,0,1/249.8,1/0.0,1/249.8,1/0.0
マイジャグラーV,315,"3,953",17,8,0,1/158.1,1/232.5,1/494.1,1/0.0
マイジャグラーV,316,759,2,0,0,1/379.5,1/379.5,1/0.0,1/0.0
マイジャグラーV,317,"8,366",32,25,0,1/146.8,1/261.4,1/334.6,1/0.0
マイジャグラーV,318,"1,544",2,2,0,1/386.0,1/772.0,1/772.0,1/0.0
ハッピージャグラーVIII,326,"3,319",16,4,0,1/165.9,1/207.4,1/829.8,1/0.0
ハッピージャグラーVIII,327,"1,630",4,5,0,1/181.1,1/407.5,1/326.0,1/0.0
ハッピージャグラーVIII,328,"1,887",7,4,0,1/171.5,1/269.6,1/471.8,1/0.0
ハッピージャグラーVIII,329,563,1,0,0,1/563.0,1/563.0,1/0.0,1/0.0
ハッピージャグラーVIII,330,"1,586",5,3,0,1/198.2,1/317.2,1/528.7,1/0.0
ゴーゴージャグラー3,335,"3,784",14,13,0,1/140.1,1/270.3,1/291.1,1/0.0
ゴーゴージャグラー3,336,"1,968",6,5,0,1/178.9,1/328.0,1/393.6,1/0.0
ゴーゴージャグラー3,337,"2,007",5,3,0,1/250.9,1/401.4,1/669.0,1/0.0
ゴーゴージャグラー3,338,"3,694",17,12,0,1/127.4,1/217.3,1/307.8,1/0.0
ハナハナホウオウ～天翔～,424,372,0,2,0,1/186.0,1/0.0,1/186.0,1/0.0
ハナハナホウオウ～天翔～,425,268,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,"1,122",5,3,0,1/140.2,1/224.4,1/374.0,1/0.0
ハナハナホウオウ～天翔～,427,753,5,1,0,1/125.5,1/150.6,1/753.0,1/0.0
ゴッドイーター リザレクション,371,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,372,877,0,4,7,1/79.7,1/0.0,1/219.2,1/125.3
ゴッドイーター リザレクション,373,"1,623",0,4,11,1/108.2,1/0.0,1/405.8,1/147.5
ファンキージャグラー2,339,828,3,2,0,1/165.6,1/276.0,1/414.0,1/0.0
ファンキージャグラー2,340,"3,203",10,9,0,1/168.6,1/320.3,1/355.9,1/0.0
ファンキージャグラー2,341,"1,816",7,2,0,1/201.8,1/259.4,1/908.0,1/0.0
押忍！番長4,374,489,0,2,5,1/69.9,1/0.0,1/244.5,1/97.8
押忍！番長4,375,402,0,0,1,1/402.0,1/0.0,1/0.0,1/402.0
押忍！番長4,376,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,398,"1,108",0,2,8,1/110.8,1/0.0,1/554.0,1/138.5
炎炎ノ消防隊,399,795,0,1,6,1/113.6,1/0.0,1/795.0,1/132.5
炎炎ノ消防隊,400,"1,210",0,5,0,1/242.0,1/0.0,1/242.0,1/0.0
D4DJ Pachi‐Slot Mix,356,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
D4DJ Pachi‐Slot Mix,357,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
Re:ゼロから始める異世界生活 season2,362,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
Re:ゼロから始める異世界生活 season2,363,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ありふれた職業で世界最強,366,"1,126",0,2,3,1/225.2,1/0.0,1/563.0,1/375.3
ありふれた職業で世界最強,367,510,0,1,3,1/127.5,1/0.0,1/510.0,1/170.0
サンダーVライトニング,422,"2,633",10,8,0,1/146.3,1/263.3,1/329.1,1/0.0
サンダーVライトニング,423,"2,811",9,13,0,1/127.8,1/312.3,1/216.2,1/0.0
ジャグラーガールズ,333,"1,166",3,2,0,1/233.2,1/388.7,1/583.0,1/0.0
ジャグラーガールズ,334,447,1,0,0,1/447.0,1/447.0,1/0.0,1/0.0
スマスロ炎炎ノ消防隊,350,909,0,1,9,1/90.9,1/0.0,1/909.0,1/101.0
スマスロ炎炎ノ消防隊,351,122,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ダンベル何キロ持てる？,403,"4,030",0,10,185,1/20.7,1/0.0,1/403.0,1/21.8
ダンベル何キロ持てる？,404,"2,233",0,9,58,1/33.3,1/0.0,1/248.1,1/38.5
バンドリ！,401,822,0,1,3,1/205.5,1/0.0,1/822.0,1/274.0
バンドリ！,402,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ミスタージャグラー,331,"1,807",5,4,0,1/200.8,1/361.4,1/451.8,1/0.0
ミスタージャグラー,332,"1,244",2,2,0,1/311.0,1/622.0,1/622.0,1/0.0
モンキーターンV,369,204,0,1,2,1/68.0,1/0.0,1/204.0,1/102.0
モンキーターンV,370,"6,745",0,16,48,1/105.4,1/0.0,1/421.6,1/140.5
戦国乙女4 戦乱に閃く炯眼の軍師,364,"5,585",21,0,17,1/147.0,1/266.0,1/0.0,1/328.5
戦国乙女4 戦乱に閃く炯眼の軍師,365,437,4,0,4,1/54.6,1/109.2,1/0.0,1/109.2
戦姫絶唱シンフォギア 正義の歌,352,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
戦姫絶唱シンフォギア 正義の歌,353,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍!番長ZERO,390,758,0,1,11,1/63.2,1/0.0,1/758.0,1/68.9
押忍!番長ZERO,391,48,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD,428,671,9,2,0,1/61.0,1/74.6,1/335.5,1/0.0
沖ドキ!GOLD,429,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,396,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,397,"3,463",0,9,16,1/138.5,1/0.0,1/384.8,1/216.4
革命機ヴァルヴレイヴ,354,544,3,0,2,1/108.8,1/181.3,1/0.0,1/272.0
革命機ヴァルヴレイヴ,355,"2,555",10,3,10,1/111.1,1/255.5,1/851.7,1/255.5
とある魔術の禁書目録,358,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ真・北斗無双,359,793,9,0,4,1/61.0,1/88.1,1/0.0,1/198.2
ゲゲゲの鬼太郎 覚醒,360,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
頭文字D 2nd,361,"4,445",0,5,49,1/82.3,1/0.0,1/889.0,1/90.7
モンスターハンターライズ,368,"1,941",0,5,17,1/88.2,1/0.0,1/388.2,1/114.2
バイオハザード5,377,"3,875",0,7,17,1/161.5,1/0.0,1/553.6,1/227.9
東京喰種,378,"6,115",0,10,35,1/135.9,1/0.0,1/611.5,1/174.7
スーパーブラックジャック,379,968,0,0,6,1/161.3,1/0.0,1/0.0,1/161.3
からくりサーカス,380,957,0,3,8,1/87.0,1/0.0,1/319.0,1/119.6
L サラリーマン金太郎,381,263,0,0,3,1/87.7,1/0.0,1/0.0,1/87.7
コードギアス 反逆のルルーシュ/復活のルルーシュ,382,"1,162",0,3,8,1/105.6,1/0.0,1/387.3,1/145.2
うる星やつら,383,"1,197",0,7,4,1/108.8,1/0.0,1/171.0,1/299.2
シン・エヴァンゲリオン,384,646,0,2,1,1/215.3,1/0.0,1/323.0,1/646.0
聖戦士ダンバイン,385,706,0,1,8,1/78.4,1/0.0,1/706.0,1/88.2
ゴジラ対エヴァンゲリオン,386,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
マジカルハロウィン8,387,"2,108",12,0,7,1/110.9,1/175.7,1/0.0,1/301.1
麻雀格闘倶楽部 覚醒,388,542,0,1,4,1/108.4,1/0.0,1/542.0,1/135.5
L南国育ち,389,746,2,0,0,1/373.0,1/373.0,1/0.0,1/0.0
アオハル♪操 A‐LIVE,392,"2,593",7,2,0,1/288.1,1/370.4,1/1296.5,1/0.0
ダンジョンに出会いを求めるのは間違っているだろうか2,393,"1,816",5,3,0,1/227.0,1/363.2,1/605.3,1/0.0
バイオハザード7 レジデント イービル,394,738,0,1,14,1/49.2,1/0.0,1/738.0,1/52.7
新鬼武者2,395,"2,685",0,0,32,1/83.9,1/0.0,1/0.0,1/83.9
ToLOVEるダークネス,405,"3,343",14,0,8,1/152.0,1/238.8,1/0.0,1/417.9
ニューパルサーSPⅢ,414,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ケロット4,415,648,2,1,0,1/216.0,1/324.0,1/648.0,1/0.0
ニューパルサーSP4 with 太鼓の達人,416,178,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ニューゲッターマウス,417,907,8,7,0,1/60.5,1/113.4,1/129.6,1/0.0
ファミスタ回胴版!!,418,901,2,2,0,1/225.2,1/450.5,1/450.5,1/0.0
クランキークレスト,419,"1,477",9,2,0,1/134.3,1/164.1,1/738.5,1/0.0
新ハナビ,420,"3,349",15,12,0,1/124.0,1/223.3,1/279.1,1/0.0
ハイハイシオサイ,421,404,2,1,0,1/134.7,1/202.0,1/404.0,1/0.0
