台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"2,073",+491,12,3,1/138.2,1/172.8,1/691.0
1101,"1,674",+97,9,2,1/152.2,1/186.0,1/837.0
1102,"1,778",-815,4,3,1/254.0,1/444.5,1/592.7
1103,297,-174,1,0,1/297.0,1/297.0,1/0.0
1104,"1,690",+574,10,3,1/130.0,1/169.0,1/563.3
1105,"2,596",-350,9,8,1/152.7,1/288.4,1/324.5
1106,"4,198",+476,20,10,1/139.9,1/209.9,1/419.8
1107,"1,202","-1,053",2,1,1/400.7,1/601.0,1/1202.0
1108,"5,865",+638,26,20,1/127.5,1/225.6,1/293.2
1109,212,-274,0,0,1/0.0,1/0.0,1/0.0
1110,"1,661","-1,006",3,6,1/184.6,1/553.7,1/276.8
1111,617,+179,3,2,1/123.4,1/205.7,1/308.5
1112,"4,323",+665,18,15,1/131.0,1/240.2,1/288.2
1113,"4,954",+238,19,21,1/123.8,1/260.7,1/235.9
1123,"5,921",-238,22,18,1/148.0,1/269.1,1/328.9
1124,308,-9,2,0,1/154.0,1/154.0,1/0.0
1125,"2,626",-138,10,9,1/138.2,1/262.6,1/291.8
1126,"1,287",-285,6,1,1/183.9,1/214.5,1/1287.0
1127,"1,822",+185,8,4,1/151.8,1/227.8,1/455.5
1128,845,-68,3,1,1/211.2,1/281.7,1/845.0
1129,"6,931",-3,24,28,1/133.3,1/288.8,1/247.5
