台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,796,+44,4,1,1/159.2,1/199.0,1/796.0
1101,"6,925","+2,744",39,25,1/108.2,1/177.6,1/277.0
1102,370,-179,1,0,1/370.0,1/370.0,1/0.0
1103,365,-74,2,0,1/182.5,1/182.5,1/0.0
1104,"2,637",-397,8,8,1/164.8,1/329.6,1/329.6
1105,"1,693",-262,5,6,1/153.9,1/338.6,1/282.2
1106,"2,926",-74,12,7,1/154.0,1/243.8,1/418.0
1107,"6,552","+1,597",31,21,1/126.0,1/211.4,1/312.0
1108,"1,425",-568,3,6,1/158.3,1/475.0,1/237.5
1109,943,-279,3,3,1/157.2,1/314.3,1/314.3
1110,"1,449",-674,3,5,1/181.1,1/483.0,1/289.8
1111,"1,449","-1,100",2,4,1/241.5,1/724.5,1/362.2
1112,"4,294",-391,17,12,1/148.1,1/252.6,1/357.8
1113,"1,088",-397,3,3,1/181.3,1/362.7,1/362.7
1123,"1,138",-368,3,1,1/284.5,1/379.3,1/1138.0
1124,"5,607",+697,24,21,1/124.6,1/233.6,1/267.0
1125,184,-197,0,0,1/0.0,1/0.0,1/0.0
1126,"3,207",+532,16,10,1/123.3,1/200.4,1/320.7
1127,"1,340",-503,3,4,1/191.4,1/446.7,1/335.0
1128,510,-462,1,0,1/510.0,1/510.0,1/0.0
1129,"3,235",-215,13,6,1/170.3,1/248.8,1/539.2
