台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,7084,30,17,0,1305,1/236.1,1/416.7,0.0,150.7,169
1002,1371,6,1,0,645,1/228.5,1/1371.0,0.0,195.9,324
1003,5424,16,9,0,1348,1/339.0,1/602.7,0.0,217.0,160
1004,6392,26,16,0,1305,1/245.8,1/399.5,0.0,152.2,396
1005,3310,10,4,0,1047,1/331.0,1/827.5,0.0,236.4,279
1006,4427,16,11,0,1022,1/276.7,1/402.5,0.0,164.0,202
1007,8979,32,31,0,1566,1/280.6,1/289.6,0.0,142.5,519
1008,1489,4,2,0,344,1/372.3,1/744.5,0.0,248.2,133
1009,6252,27,15,0,1893,1/231.6,1/416.8,0.0,148.9,256
1010,7172,29,21,0,1069,1/247.3,1/341.5,0.0,143.4,100
1011,3558,8,7,0,446,1/444.8,1/508.3,0.0,237.2,342
1012,7311,31,30,0,2912,1/235.8,1/243.7,0.0,119.9,212
1013,6459,23,18,0,1456,1/280.8,1/358.8,0.0,157.5,341
1014,1901,7,3,0,417,1/271.6,1/633.7,0.0,190.1,186
1015,2838,10,6,0,722,1/283.8,1/473.0,0.0,177.4,313
1016,3703,13,9,0,1073,1/284.8,1/411.4,0.0,168.3,225
1017,2147,6,4,0,453,1/357.8,1/536.8,0.0,214.7,282
1018,6653,29,7,0,1065,1/229.4,1/950.4,0.0,184.8,592
1019,1502,3,2,0,319,1/500.7,1/751.0,0.0,300.4,1032
1020,7925,45,30,0,4835,1/176.1,1/264.2,0.0,105.7,329
1021,6600,21,23,0,688,1/314.3,1/287.0,0.0,150.0,82
1022,6704,36,17,0,3264,1/186.2,1/394.4,0.0,126.5,116
1023,4316,17,9,0,1017,1/253.9,1/479.6,0.0,166.0,145
1024,2478,8,4,0,804,1/309.8,1/619.5,0.0,206.5,32
1025,6881,26,20,0,1671,1/264.7,1/344.1,0.0,149.6,665
1026,4426,13,10,0,694,1/340.5,1/442.6,0.0,192.4,279
1027,4315,14,11,0,541,1/308.2,1/392.3,0.0,172.6,180
1028,2512,10,3,0,531,1/251.2,1/837.3,0.0,193.2,879
1029,8749,45,35,0,3714,1/194.4,1/250.0,0.0,109.4,392
1030,8177,28,33,0,1221,1/292.0,1/247.8,0.0,134.0,150
1031,6694,28,18,0,1687,1/239.1,1/371.9,0.0,145.5,271
1032,3029,10,5,0,724,1/302.9,1/605.8,0.0,201.9,64
1033,5012,16,13,0,1272,1/313.3,1/385.5,0.0,172.8,116
1034,6997,30,22,0,2026,1/233.2,1/318.0,0.0,134.6,83
1035,3254,10,2,0,685,1/325.4,1/1627.0,0.0,271.2,329
1036,5494,17,10,0,777,1/323.2,1/549.4,0.0,203.5,500
