機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,396",-768,9,3,0,1/116.3,1/155.1,1/465.3,1/0.0
スマスロ北斗の拳,343,"1,247","+2,956",41,2,0,1/29.0,1/30.4,1/623.5,1/0.0
スマスロ北斗の拳,344,"1,477",-202,16,5,0,1/70.3,1/92.3,1/295.4,1/0.0
スマスロ北斗の拳,345,"1,167",+91,11,4,0,1/77.8,1/106.1,1/291.8,1/0.0
スマスロ北斗の拳,346,"1,061","+1,001",21,4,0,1/42.4,1/50.5,1/265.2,1/0.0
スマスロ北斗の拳,347,742,"+1,963",20,2,0,1/33.7,1/37.1,1/371.0,1/0.0
スマスロ北斗の拳,348,598,+537,11,3,0,1/42.7,1/54.4,1/199.3,1/0.0
スマスロ北斗の拳,349,665,+304,10,2,0,1/55.4,1/66.5,1/332.5,1/0.0
アイムジャグラーEX-TP,319,"5,202","+2,387",28,16,0,1/118.2,1/185.8,1/325.1,1/0.0
アイムジャグラーEX-TP,320,"5,828","+2,794",32,17,0,1/118.9,1/182.1,1/342.8,1/0.0
アイムジャグラーEX-TP,321,"2,531",-541,8,6,0,1/180.8,1/316.4,1/421.8,1/0.0
アイムジャグラーEX-TP,322,"3,171",-75,12,9,0,1/151.0,1/264.2,1/352.3,1/0.0
アイムジャグラーEX-TP,323,"1,034",-491,2,3,0,1/206.8,1/517.0,1/344.7,1/0.0
アイムジャグラーEX-TP,324,"6,105",+437,26,12,0,1/160.7,1/234.8,1/508.8,1/0.0
アイムジャグラーEX-TP,325,"4,182","-1,278",12,7,0,1/220.1,1/348.5,1/597.4,1/0.0
マイジャグラーV,313,"5,935",+320,26,12,0,1/156.2,1/228.3,1/494.6,1/0.0
マイジャグラーV,314,"3,211",-877,8,9,0,1/188.9,1/401.4,1/356.8,1/0.0
マイジャグラーV,315,"2,503",-539,9,5,0,1/178.8,1/278.1,1/500.6,1/0.0
マイジャグラーV,316,"5,882",-297,22,13,0,1/168.1,1/267.4,1/452.5,1/0.0
マイジャグラーV,317,"2,476",-356,8,6,0,1/176.9,1/309.5,1/412.7,1/0.0
マイジャグラーV,318,"7,690",+783,32,25,0,1/134.9,1/240.3,1/307.6,1/0.0
ハッピージャグラーVIII,330,"3,663",+627,16,10,0,1/140.9,1/228.9,1/366.3,1/0.0
ハッピージャグラーVIII,331,"1,070",-332,4,0,0,1/267.5,1/267.5,1/0.0,1/0.0
ハッピージャグラーVIII,332,"2,971",+279,11,11,0,1/135.0,1/270.1,1/270.1,1/0.0
ハッピージャグラーVIII,333,"1,451",-416,5,0,0,1/290.2,1/290.2,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,425,342,+495,3,2,0,1/68.4,1/114.0,1/171.0,1/0.0
ハナハナホウオウ～天翔～-30,426,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,427,"2,689","+1,052",16,6,0,1/122.2,1/168.1,1/448.2,1/0.0
ハナハナホウオウ～天翔～-30,428,171,+26,1,0,0,1/171.0,1/171.0,1/0.0,1/0.0
甲鉄城のカバネリ,397,"1,016","-1,003",4,0,3,1/145.1,1/254.0,1/0.0,1/338.7
甲鉄城のカバネリ,398,92,+471,4,0,1,1/18.4,1/23.0,1/0.0,1/92.0
甲鉄城のカバネリ,399,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,400,846,-513,0,2,4,1/141.0,1/0.0,1/423.0,1/211.5
Re:ゼロから始める異世界生活 season2,371,"4,924","-3,112",0,0,27,1/182.4,1/0.0,1/0.0,1/182.4
Re:ゼロから始める異世界生活 season2,372,"7,647","+1,476",0,5,90,1/80.5,1/0.0,1/1529.4,1/85.0
Re:ゼロから始める異世界生活 season2,373,"8,044","+5,858",0,9,136,1/55.5,1/0.0,1/893.8,1/59.1
ゴーゴージャグラー3,336,"5,955",-890,21,21,0,1/141.8,1/283.6,1/283.6,1/0.0
ゴーゴージャグラー3,337,"3,934",-213,15,11,0,1/151.3,1/262.3,1/357.6,1/0.0
ゴーゴージャグラー3,338,"6,100","+2,721",36,18,0,1/113.0,1/169.4,1/338.9,1/0.0
ゴールデンカムイ,352,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,353,863,"+1,330",0,1,17,1/47.9,1/0.0,1/863.0,1/50.8
ゴールデンカムイ,388,"1,264",-420,0,2,7,1/140.4,1/0.0,1/632.0,1/180.6
ゴッドイーター リザレクション,366,"5,868","-3,794",0,13,34,1/124.9,1/0.0,1/451.4,1/172.6
ゴッドイーター リザレクション,367,"7,444",-721,0,13,55,1/109.5,1/0.0,1/572.6,1/135.3
ゴッドイーター リザレクション,368,"6,920","+18,083",0,12,116,1/54.1,1/0.0,1/576.7,1/59.7
