台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,938,-174,3,2,1/187.6,1/312.7,1/469.0
1101,"6,705",+65,27,21,1/139.7,1/248.3,1/319.3
1102,"1,999",+115,8,6,1/142.8,1/249.9,1/333.2
1103,"2,767","-1,088",6,11,1/162.8,1/461.2,1/251.5
1104,759,-668,1,0,1/759.0,1/759.0,1/0.0
1105,268,-374,0,0,1/0.0,1/0.0,1/0.0
1106,"6,116","+1,085",24,32,1/109.2,1/254.8,1/191.1
1107,"3,182",-756,9,14,1/138.3,1/353.6,1/227.3
1108,713,-338,2,0,1/356.5,1/356.5,1/0.0
1109,"2,640",-900,8,7,1/176.0,1/330.0,1/377.1
1110,560,-409,1,0,1/560.0,1/560.0,1/0.0
1111,"1,564",-644,4,4,1/195.5,1/391.0,1/391.0
1112,"1,212",-982,1,4,1/242.4,1/1212.0,1/303.0
1113,"2,150","-1,088",4,6,1/215.0,1/537.5,1/358.3
1123,"1,641",-238,6,5,1/149.2,1/273.5,1/328.2
1124,"3,655",-109,14,12,1/140.6,1/261.1,1/304.6
1125,"2,732",-53,11,8,1/143.8,1/248.4,1/341.5
1126,"5,313",+309,22,19,1/129.6,1/241.5,1/279.6
1127,562,-426,1,0,1/562.0,1/562.0,1/0.0
1128,"3,002","+1,300",15,16,1/96.8,1/200.1,1/187.6
1129,"2,889",+79,13,6,1/152.1,1/222.2,1/481.5
