機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"5,507",66,12,0,1/70.6,1/83.4,1/458.9,1/0.0
スマスロ北斗の拳,343,638,1,1,0,1/319.0,1/638.0,1/638.0,1/0.0
スマスロ北斗の拳,344,900,26,2,0,1/32.1,1/34.6,1/450.0,1/0.0
スマスロ北斗の拳,345,"1,075",11,2,0,1/82.7,1/97.7,1/537.5,1/0.0
スマスロ北斗の拳,346,841,3,2,0,1/168.2,1/280.3,1/420.5,1/0.0
スマスロ北斗の拳,347,842,5,2,0,1/120.3,1/168.4,1/421.0,1/0.0
スマスロ北斗の拳,348,"1,141",15,4,0,1/60.1,1/76.1,1/285.2,1/0.0
スマスロ北斗の拳,349,946,16,5,0,1/45.0,1/59.1,1/189.2,1/0.0
アイムジャグラーEX-TP,319,"6,517",23,17,0,1/162.9,1/283.3,1/383.4,1/0.0
アイムジャグラーEX-TP,320,"3,987",13,9,0,1/181.2,1/306.7,1/443.0,1/0.0
アイムジャグラーEX-TP,321,"2,696",5,9,0,1/192.6,1/539.2,1/299.6,1/0.0
アイムジャグラーEX-TP,322,"5,960",23,21,0,1/135.5,1/259.1,1/283.8,1/0.0
アイムジャグラーEX-TP,323,"1,062",2,1,0,1/354.0,1/531.0,1/1062.0,1/0.0
アイムジャグラーEX-TP,324,"5,111",27,6,0,1/154.9,1/189.3,1/851.8,1/0.0
アイムジャグラーEX-TP,325,"3,341",9,5,0,1/238.6,1/371.2,1/668.2,1/0.0
マイジャグラーV,313,"7,738",32,21,0,1/146.0,1/241.8,1/368.5,1/0.0
マイジャグラーV,314,"3,149",7,6,0,1/242.2,1/449.9,1/524.8,1/0.0
マイジャグラーV,315,"6,262",26,16,0,1/149.1,1/240.8,1/391.4,1/0.0
マイジャグラーV,316,"1,368",3,2,0,1/273.6,1/456.0,1/684.0,1/0.0
マイジャグラーV,317,"6,489",31,21,0,1/124.8,1/209.3,1/309.0,1/0.0
マイジャグラーV,318,"2,892",14,6,0,1/144.6,1/206.6,1/482.0,1/0.0
ハッピージャグラーVIII,326,"2,932",11,7,0,1/162.9,1/266.5,1/418.9,1/0.0
ハッピージャグラーVIII,327,"1,044",4,1,0,1/208.8,1/261.0,1/1044.0,1/0.0
ハッピージャグラーVIII,328,"4,825",24,14,0,1/127.0,1/201.0,1/344.6,1/0.0
ハッピージャグラーVIII,329,504,2,2,0,1/126.0,1/252.0,1/252.0,1/0.0
ハッピージャグラーVIII,330,"5,610",25,18,0,1/130.5,1/224.4,1/311.7,1/0.0
ゴーゴージャグラー3,335,"7,429",35,17,0,1/142.9,1/212.3,1/437.0,1/0.0
