機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"4,394",-418,46,13,0,1/74.5,1/95.5,1/338.0,1/0.0
スマスロ北斗の拳,343,"2,983",-523,27,9,0,1/82.9,1/110.5,1/331.4,1/0.0
スマスロ北斗の拳,344,"1,806","-1,164",10,5,0,1/120.4,1/180.6,1/361.2,1/0.0
スマスロ北斗の拳,345,"2,942","+1,438",43,11,0,1/54.5,1/68.4,1/267.5,1/0.0
スマスロ北斗の拳,346,707,-524,4,2,0,1/117.8,1/176.8,1/353.5,1/0.0
スマスロ北斗の拳,347,"2,216","+1,447",42,6,0,1/46.2,1/52.8,1/369.3,1/0.0
スマスロ北斗の拳,348,"2,563",-779,19,4,0,1/111.4,1/134.9,1/640.8,1/0.0
スマスロ北斗の拳,349,"1,524",+277,17,5,0,1/69.3,1/89.6,1/304.8,1/0.0
アイムジャグラーEX-TP,319,"3,550","-1,190",9,6,0,1/236.7,1/394.4,1/591.7,1/0.0
アイムジャグラーEX-TP,320,"3,879","-1,530",9,10,0,1/204.2,1/431.0,1/387.9,1/0.0
アイムジャグラーEX-TP,321,"5,383",+97,24,10,0,1/158.3,1/224.3,1/538.3,1/0.0
アイムジャグラーEX-TP,322,"2,548",-590,8,4,0,1/212.3,1/318.5,1/637.0,1/0.0
アイムジャグラーEX-TP,323,"5,490",-470,19,12,0,1/177.1,1/288.9,1/457.5,1/0.0
アイムジャグラーEX-TP,324,"1,318","-1,148",2,1,0,1/439.3,1/659.0,1/1318.0,1/0.0
アイムジャグラーEX-TP,325,"6,104",+340,27,11,0,1/160.6,1/226.1,1/554.9,1/0.0
マイジャグラーV,313,"5,055",-915,15,13,0,1/180.5,1/337.0,1/388.8,1/0.0
マイジャグラーV,314,"2,083",-356,6,4,0,1/208.3,1/347.2,1/520.8,1/0.0
マイジャグラーV,315,"4,441",-775,16,9,0,1/177.6,1/277.6,1/493.4,1/0.0
マイジャグラーV,316,"6,613",+566,28,19,0,1/140.7,1/236.2,1/348.1,1/0.0
マイジャグラーV,317,"5,011",-163,18,16,0,1/147.4,1/278.4,1/313.2,1/0.0
マイジャグラーV,318,"3,623",-660,10,12,0,1/164.7,1/362.3,1/301.9,1/0.0
ハッピージャグラーVIII,330,"6,900","+2,513",35,28,0,1/109.5,1/197.1,1/246.4,1/0.0
ハッピージャグラーVIII,331,"1,208",-946,1,2,0,1/402.7,1/1208.0,1/604.0,1/0.0
ハッピージャグラーVIII,332,"5,794",+12,21,18,0,1/148.6,1/275.9,1/321.9,1/0.0
ハッピージャグラーVIII,333,"2,305",-395,9,5,0,1/164.6,1/256.1,1/461.0,1/0.0
ハナハナホウオウ～天翔～-30,425,"6,489","+2,022",29,16,0,1/144.2,1/223.8,1/405.6,1/0.0
ハナハナホウオウ～天翔～-30,426,"5,678",-217,17,19,0,1/157.7,1/334.0,1/298.8,1/0.0
ハナハナホウオウ～天翔～-30,427,"6,303",-715,19,14,0,1/191.0,1/331.7,1/450.2,1/0.0
ハナハナホウオウ～天翔～-30,428,"8,058","+2,649",35,27,0,1/130.0,1/230.2,1/298.4,1/0.0
甲鉄城のカバネリ,399,"1,067",+264,0,1,7,1/133.4,1/0.0,1/1067.0,1/152.4
甲鉄城のカバネリ,400,"6,978","+3,935",0,24,68,1/75.8,1/0.0,1/290.8,1/102.6
甲鉄城のカバネリ,401,"3,069","+1,538",0,11,29,1/76.7,1/0.0,1/279.0,1/105.8
甲鉄城のカバネリ,402,"1,148",-828,0,1,4,1/229.6,1/0.0,1/1148.0,1/287.0
ゴーゴージャグラー3,336,"5,549","-1,503",17,16,0,1/168.2,1/326.4,1/346.8,1/0.0
ゴーゴージャグラー3,337,"1,536",-539,4,5,0,1/170.7,1/384.0,1/307.2,1/0.0
ゴーゴージャグラー3,338,"6,470",+948,28,23,0,1/126.9,1/231.1,1/281.3,1/0.0
ゴッドイーター リザレクション,371,"5,949","-3,141",0,12,33,1/132.2,1/0.0,1/495.8,1/180.3
