台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"2,048",-121,8,5,1/157.5,1/256.0,1/409.6
1101,"6,547",+44,22,30,1/125.9,1/297.6,1/218.2
1102,"5,829",-138,20,26,1/126.7,1/291.4,1/224.2
1103,621,-291,2,1,1/207.0,1/310.5,1/621.0
1104,"3,636",-782,12,11,1/158.1,1/303.0,1/330.5
1105,252,-156,1,0,1/252.0,1/252.0,1/0.0
1106,"7,147",+206,30,21,1/140.1,1/238.2,1/340.3
1107,"1,229",-691,2,3,1/245.8,1/614.5,1/409.7
1108,"4,759","+1,088",19,22,1/116.1,1/250.5,1/216.3
1109,953,+191,6,1,1/136.1,1/158.8,1/953.0
1110,"1,836",-232,5,5,1/183.6,1/367.2,1/367.2
1111,383,-156,1,1,1/191.5,1/383.0,1/383.0
1112,"3,549",+197,15,9,1/147.9,1/236.6,1/394.3
1113,"2,034",-926,6,3,1/226.0,1/339.0,1/678.0
1123,"2,046",-103,8,6,1/146.1,1/255.8,1/341.0
1124,"1,350",-309,5,3,1/168.8,1/270.0,1/450.0
1125,"4,112",+368,18,11,1/141.8,1/228.4,1/373.8
1126,573,-550,1,0,1/573.0,1/573.0,1/0.0
1127,"3,844",-491,15,9,1/160.2,1/256.3,1/427.1
1128,738,-232,3,0,1/246.0,1/246.0,1/0.0
1129,"5,976","+1,641",28,24,1/114.9,1/213.4,1/249.0
