機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,61,-62,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,343,"6,393","+3,093",87,24,0,1/57.6,1/73.5,1/266.4,1/0.0
スマスロ北斗の拳,344,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,345,"3,488",+169,41,10,0,1/68.4,1/85.1,1/348.8,1/0.0
スマスロ北斗の拳,346,"1,422","+5,407",54,2,0,1/25.4,1/26.3,1/711.0,1/0.0
スマスロ北斗の拳,347,378,0,4,1,0,1/75.6,1/94.5,1/378.0,1/0.0
スマスロ北斗の拳,348,"2,282",-727,18,7,0,1/91.3,1/126.8,1/326.0,1/0.0
スマスロ北斗の拳,349,899,+401,14,5,0,1/47.3,1/64.2,1/179.8,1/0.0
アイムジャグラーEX-TP,319,398,-483,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,320,"3,319",+105,14,6,0,1/165.9,1/237.1,1/553.2,1/0.0
アイムジャグラーEX-TP,321,"1,369",+110,6,2,0,1/171.1,1/228.2,1/684.5,1/0.0
アイムジャグラーEX-TP,322,"2,989",-779,8,8,0,1/186.8,1/373.6,1/373.6,1/0.0
アイムジャグラーEX-TP,323,"2,998",+41,11,7,0,1/166.6,1/272.5,1/428.3,1/0.0
アイムジャグラーEX-TP,324,"2,018",-41,8,4,0,1/168.2,1/252.2,1/504.5,1/0.0
アイムジャグラーEX-TP,325,"4,966",+337,20,15,0,1/141.9,1/248.3,1/331.1,1/0.0
マイジャグラーV,313,"4,464",-727,14,13,0,1/165.3,1/318.9,1/343.4,1/0.0
マイジャグラーV,314,"1,625",-285,6,2,0,1/203.1,1/270.8,1/812.5,1/0.0
マイジャグラーV,315,"1,816",-808,4,4,0,1/227.0,1/454.0,1/454.0,1/0.0
マイジャグラーV,316,"3,776",-238,13,10,0,1/164.2,1/290.5,1/377.6,1/0.0
マイジャグラーV,317,"1,963","-1,244",2,5,0,1/280.4,1/981.5,1/392.6,1/0.0
マイジャグラーV,318,"4,703",-157,17,12,0,1/162.2,1/276.6,1/391.9,1/0.0
ハッピージャグラーVIII,330,"1,696",+564,10,4,0,1/121.1,1/169.6,1/424.0,1/0.0
ハッピージャグラーVIII,331,"1,323",-703,4,1,0,1/264.6,1/330.8,1/1323.0,1/0.0
ハッピージャグラーVIII,332,"1,305",-587,3,2,0,1/261.0,1/435.0,1/652.5,1/0.0
ハッピージャグラーVIII,333,"3,365",+471,16,10,0,1/129.4,1/210.3,1/336.5,1/0.0
ハナハナホウオウ～天翔～,425,233,-285,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,536,-355,1,0,0,1/536.0,1/536.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,372,-250,1,0,0,1/372.0,1/372.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,428,269,+145,2,0,0,1/134.5,1/134.5,1/0.0,1/0.0
甲鉄城のカバネリ,397,"3,744","-3,186",0,14,12,1/144.0,1/0.0,1/267.4,1/312.0
甲鉄城のカバネリ,398,"1,400",+17,0,4,12,1/87.5,1/0.0,1/350.0,1/116.7
甲鉄城のカバネリ,399,"1,647","-1,105",0,5,8,1/126.7,1/0.0,1/329.4,1/205.9
甲鉄城のカバネリ,400,"1,211","-1,081",0,4,4,1/151.4,1/0.0,1/302.8,1/302.8
Re:ゼロから始める異世界生活 season2,371,"1,745","-1,919",0,0,6,1/290.8,1/0.0,1/0.0,1/290.8
Re:ゼロから始める異世界生活 season2,372,"4,297","-1,279",0,2,34,1/119.4,1/0.0,1/2148.5,1/126.4
Re:ゼロから始める異世界生活 season2,373,"4,572","-4,360",0,0,17,1/268.9,1/0.0,1/0.0,1/268.9
ゴーゴージャグラー3,336,"1,209",-424,4,2,0,1/201.5,1/302.2,1/604.5,1/0.0
ゴーゴージャグラー3,337,423,-529,0,1,0,1/423.0,1/0.0,1/423.0,1/0.0
ゴーゴージャグラー3,338,"7,750","+2,628",39,29,0,1/114.0,1/198.7,1/267.2,1/0.0
ゴールデンカムイ,352,"1,801","-1,500",0,4,3,1/257.3,1/0.0,1/450.2,1/600.3
ゴールデンカムイ,353,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,388,900,"-1,128",0,1,0,1/900.0,1/0.0,1/900.0,1/0.0
ゴッドイーター リザレクション,366,"4,507","+2,116",0,6,39,1/100.2,1/0.0,1/751.2,1/115.6
ゴッドイーター リザレクション,367,"2,203","+1,081",0,2,21,1/95.8,1/0.0,1/1101.5,1/104.9
ゴッドイーター リザレクション,368,"9,787",+860,0,15,78,1/105.2,1/0.0,1/652.5,1/125.5
ファンキージャグラー2,339,875,-762,1,0,0,1/875.0,1/875.0,1/0.0,1/0.0
ファンキージャグラー2,340,"3,133",-157,12,9,0,1/149.2,1/261.1,1/348.1,1/0.0
ファンキージャグラー2,341,"3,172",-849,11,5,0,1/198.2,1/288.4,1/634.4,1/0.0
D4DJ Pachi‐Slot Mix,384,"1,027",-657,4,0,5,1/114.1,1/256.8,1/0.0,1/205.4
D4DJ Pachi‐Slot Mix,385,"2,038","-1,151",10,0,9,1/107.3,1/203.8,1/0.0,1/226.4
ToLOVEるダークネス,374,"3,882","-1,419",22,0,11,1/117.6,1/176.5,1/0.0,1/352.9
ToLOVEるダークネス,375,"2,912","-3,233",9,0,7,1/182.0,1/323.6,1/0.0,1/416.0
グランベルム,420,389,+238,9,0,6,1/25.9,1/43.2,1/0.0,1/64.8
