機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
アイムジャグラーEX-TP,461,620,1,1,1/310.0,1/620.0,1/620.0
アイムジャグラーEX-TP,462,"6,769",28,22,1/135.4,1/241.8,1/307.7
アイムジャグラーEX-TP,463,548,3,0,1/182.7,1/182.7,1/0.0
アイムジャグラーEX-TP,464,672,3,1,1/168.0,1/224.0,1/672.0
アイムジャグラーEX-TP,478,"2,083",8,2,1/208.3,1/260.4,1/1041.5
アイムジャグラーEX-TP,479,"2,280",5,6,1/207.3,1/456.0,1/380.0
アイムジャグラーEX-TP,480,937,2,2,1/234.2,1/468.5,1/468.5
アイムジャグラーEX-TP,481,"1,309",4,1,1/261.8,1/327.2,1/1309.0
アイムジャグラーEX-TP,482,"1,686",8,2,1/168.6,1/210.8,1/843.0
アイムジャグラーEX-TP,483,"6,000",20,17,1/162.2,1/300.0,1/352.9
アイムジャグラーEX-TP,484,"2,238",9,7,1/139.9,1/248.7,1/319.7
アイムジャグラーEX-TP,485,"1,591",4,4,1/198.9,1/397.8,1/397.8
アイムジャグラーEX-TP,486,"1,906",4,6,1/190.6,1/476.5,1/317.7
アイムジャグラーEX-TP,487,848,2,1,1/282.7,1/424.0,1/848.0
アイムジャグラーEX-TP,488,"2,848",9,5,1/203.4,1/316.4,1/569.6
アイムジャグラーEX-TP,489,714,3,0,1/238.0,1/238.0,1/0.0
アイムジャグラーEX-TP,500,"2,085",5,7,1/173.8,1/417.0,1/297.9
アイムジャグラーEX-TP,501,"3,169",14,11,1/126.8,1/226.4,1/288.1
アイムジャグラーEX-TP,502,"2,112",5,6,1/192.0,1/422.4,1/352.0
アイムジャグラーEX-TP,503,"1,148",3,3,1/191.3,1/382.7,1/382.7
アイムジャグラーEX-TP,504,"3,223",13,6,1/169.6,1/247.9,1/537.2
アイムジャグラーEX-TP,505,"2,219",6,7,1/170.7,1/369.8,1/317.0
アイムジャグラーEX-TP,506,"1,924",6,6,1/160.3,1/320.7,1/320.7
アイムジャグラーEX-TP,507,"1,642",9,2,1/149.3,1/182.4,1/821.0
アイムジャグラーEX-TP,508,"3,169",9,8,1/186.4,1/352.1,1/396.1
アイムジャグラーEX-TP,509,"1,397",2,3,1/279.4,1/698.5,1/465.7
アイムジャグラーEX-TP,510,353,1,0,1/353.0,1/353.0,1/0.0
アイムジャグラーEX-TP,511,"1,957",5,3,1/244.6,1/391.4,1/652.3
マイジャグラーV,444,"2,995",9,8,1/176.2,1/332.8,1/374.4
