機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"4,583","-2,535",32,9,0,1/111.8,1/143.2,1/509.2,1/0.0
スマスロ北斗の拳,343,"1,420",-690,9,3,0,1/118.3,1/157.8,1/473.3,1/0.0
スマスロ北斗の拳,344,"5,666","-3,457",33,14,0,1/120.6,1/171.7,1/404.7,1/0.0
スマスロ北斗の拳,345,"1,536",-655,12,3,0,1/102.4,1/128.0,1/512.0,1/0.0
スマスロ北斗の拳,346,"1,617",-422,14,4,0,1/89.8,1/115.5,1/404.2,1/0.0
スマスロ北斗の拳,347,"3,376",-485,31,9,0,1/84.4,1/108.9,1/375.1,1/0.0
スマスロ北斗の拳,348,727,"+1,758",22,1,0,1/31.6,1/33.0,1/727.0,1/0.0
スマスロ北斗の拳,349,"2,393","-2,571",7,4,0,1/217.5,1/341.9,1/598.2,1/0.0
アイムジャグラーEX-TP,319,"3,098",-739,7,11,0,1/172.1,1/442.6,1/281.6,1/0.0
アイムジャグラーEX-TP,320,722,-662,1,0,0,1/722.0,1/722.0,1/0.0,1/0.0
アイムジャグラーEX-TP,321,"2,187",-652,7,5,0,1/182.2,1/312.4,1/437.4,1/0.0
アイムジャグラーEX-TP,322,"3,311",-657,10,6,0,1/206.9,1/331.1,1/551.8,1/0.0
アイムジャグラーEX-TP,323,561,-686,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,324,"7,228","+1,380",34,17,0,1/141.7,1/212.6,1/425.2,1/0.0
アイムジャグラーEX-TP,325,"1,431",-810,2,5,0,1/204.4,1/715.5,1/286.2,1/0.0
マイジャグラーV,313,"5,351",+436,22,17,0,1/137.2,1/243.2,1/314.8,1/0.0
マイジャグラーV,314,"1,549",+98,7,1,0,1/193.6,1/221.3,1/1549.0,1/0.0
マイジャグラーV,315,916,-586,2,0,0,1/458.0,1/458.0,1/0.0,1/0.0
マイジャグラーV,316,"4,600",-679,11,16,0,1/170.4,1/418.2,1/287.5,1/0.0
マイジャグラーV,317,"1,206",-829,2,3,0,1/241.2,1/603.0,1/402.0,1/0.0
マイジャグラーV,318,"6,507",+29,24,19,0,1/151.3,1/271.1,1/342.5,1/0.0
ハッピージャグラーVIII,330,"3,209",+34,14,6,0,1/160.4,1/229.2,1/534.8,1/0.0
ハッピージャグラーVIII,331,"1,588","-1,182",2,3,0,1/317.6,1/794.0,1/529.3,1/0.0
ハッピージャグラーVIII,332,673,-311,1,2,0,1/224.3,1/673.0,1/336.5,1/0.0
ハッピージャグラーVIII,333,"3,872",+146,15,7,0,1/176.0,1/258.1,1/553.1,1/0.0
ハナハナホウオウ～天翔～-30,425,66,-92,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,426,671,+271,4,1,0,1/134.2,1/167.8,1/671.0,1/0.0
ハナハナホウオウ～天翔～-30,427,386,-308,1,0,0,1/386.0,1/386.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～-30,428,"1,048",-323,2,3,0,1/209.6,1/524.0,1/349.3,1/0.0
甲鉄城のカバネリ,399,"2,549","-1,066",0,4,12,1/159.3,1/0.0,1/637.2,1/212.4
甲鉄城のカバネリ,400,"1,939",-555,0,4,10,1/138.5,1/0.0,1/484.8,1/193.9
甲鉄城のカバネリ,401,"2,464",-611,0,7,13,1/123.2,1/0.0,1/352.0,1/189.5
甲鉄城のカバネリ,402,"2,254",+711,0,10,18,1/80.5,1/0.0,1/225.4,1/125.2
ゴーゴージャグラー3,336,"6,124",+339,27,12,0,1/157.0,1/226.8,1/510.3,1/0.0
ゴーゴージャグラー3,337,647,-253,2,0,0,1/323.5,1/323.5,1/0.0,1/0.0
ゴーゴージャグラー3,338,"8,067","+2,324",41,26,0,1/120.4,1/196.8,1/310.3,1/0.0
ゴールデンカムイ,352,"6,557",+941,0,12,54,1/99.3,1/0.0,1/546.4,1/121.4
ゴールデンカムイ,353,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,385,"2,580","+2,518",0,6,36,1/61.4,1/0.0,1/430.0,1/71.7
ゴッドイーター リザレクション,371,"9,114","+7,278",0,18,97,1/79.3,1/0.0,1/506.3,1/94.0
ゴッドイーター リザレクション,372,"3,094",+354,0,5,25,1/103.1,1/0.0,1/618.8,1/123.8
ゴッドイーター リザレクション,373,"3,248","+1,379",0,4,34,1/85.5,1/0.0,1/812.0,1/95.5
ファンキージャグラー2,339,"3,586",+662,15,10,0,1/143.4,1/239.1,1/358.6,1/0.0
ファンキージャグラー2,340,"6,547",-150,20,26,0,1/142.3,1/327.4,1/251.8,1/0.0
ファンキージャグラー2,341,"1,561",-935,3,2,0,1/312.2,1/520.3,1/780.5,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,368,"1,670","-1,569",4,0,1,1/334.0,1/417.5,1/0.0,1/1670.0
戦国乙女4 戦乱に閃く炯眼の軍師,369,"2,497",+656,11,0,6,1/146.9,1/227.0,1/0.0,1/416.2
戦国乙女4 戦乱に閃く炯眼の軍師,370,"1,352","-1,119",4,0,2,1/225.3,1/338.0,1/0.0,1/676.0
ToLOVEるダークネス,374,"2,890","-1,682",12,0,6,1/160.6,1/240.8,1/0.0,1/481.7
