台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"4,618",-135,17,14,1/149.0,1/271.6,1/329.9
1002,"5,428",-156,17,17,1/159.6,1/319.3,1/319.3
1003,"6,203","+4,888",34,39,1/85.0,1/182.4,1/159.1
1004,"4,050",-632,11,14,1/162.0,1/368.2,1/289.3
1005,613,-285,2,0,1/306.5,1/306.5,1/0.0
1006,"8,634",+997,34,26,1/143.9,1/253.9,1/332.1
1007,"1,386",-774,3,1,1/346.5,1/462.0,1/1386.0
1008,"2,493",-550,7,7,1/178.1,1/356.1,1/356.1
1009,"7,284",-512,24,23,1/155.0,1/303.5,1/316.7
1010,"3,095",-326,8,13,1/147.4,1/386.9,1/238.1
1011,"7,361",+688,24,32,1/131.4,1/306.7,1/230.0
1012,"3,511","-1,147",7,11,1/195.1,1/501.6,1/319.2
1013,"2,016",-809,4,6,1/201.6,1/504.0,1/336.0
1014,"7,842","-1,194",20,37,1/137.6,1/392.1,1/211.9
1015,774,-544,1,2,1/258.0,1/774.0,1/387.0
1016,"7,347","+2,129",36,21,1/128.9,1/204.1,1/349.9
1017,"4,772",+662,18,17,1/136.3,1/265.1,1/280.7
1018,"6,844","+1,206",30,24,1/126.7,1/228.1,1/285.2
1019,898,+185,5,1,1/149.7,1/179.6,1/898.0
1020,"7,220","-1,194",19,29,1/150.4,1/380.0,1/249.0
1021,"3,101",-626,10,9,1/163.2,1/310.1,1/344.6
1022,"1,955","-1,265",2,6,1/244.4,1/977.5,1/325.8
1023,"3,222",-426,10,8,1/179.0,1/322.2,1/402.8
1024,"7,608","-2,444",16,28,1/172.9,1/475.5,1/271.7
1025,"4,832",+994,23,11,1/142.1,1/210.1,1/439.3
1026,"8,389",+421,32,24,1/149.8,1/262.2,1/349.5
1027,"7,870",-65,24,29,1/148.5,1/327.9,1/271.4
1028,"7,649",+382,29,23,1/147.1,1/263.8,1/332.6
1029,"3,488",-685,10,10,1/174.4,1/348.8,1/348.8
1030,"7,264",+241,25,24,1/148.2,1/290.6,1/302.7
1031,"1,501",-9,7,1,1/187.6,1/214.4,1/1501.0
1032,"3,625",-421,14,9,1/157.6,1/258.9,1/402.8
1033,"8,120","+1,174",36,23,1/137.6,1/225.6,1/353.0
1034,"1,300",-603,2,4,1/216.7,1/650.0,1/325.0
1035,"8,089",+394,25,33,1/139.5,1/323.6,1/245.1
1036,"2,567",-691,9,2,1/233.4,1/285.2,1/1283.5
1037,"6,136","-1,947",16,18,1/180.5,1/383.5,1/340.9
1038,"4,938",+841,21,15,1/137.2,1/235.1,1/329.2
1039,"8,185","+2,412",35,29,1/127.9,1/233.9,1/282.2
1040,"1,465",-26,7,0,1/209.3,1/209.3,1/0.0
1041,"7,306","+2,718",37,25,1/117.8,1/197.5,1/292.2
1042,"3,261",+144,13,9,1/148.2,1/250.8,1/362.3
1043,"7,030",+865,28,20,1/146.5,1/251.1,1/351.5
1044,"4,162",-874,14,9,1/181.0,1/297.3,1/462.4
1045,"3,323",-303,14,3,1/195.5,1/237.4,1/1107.7
1046,"1,377",-991,2,2,1/344.2,1/688.5,1/688.5
1047,"3,033",+50,13,6,1/159.6,1/233.3,1/505.5
1048,"2,304","-1,053",6,3,1/256.0,1/384.0,1/768.0
1049,"7,039",+641,29,19,1/146.6,1/242.7,1/370.5
1050,"2,604",-935,6,7,1/200.3,1/434.0,1/372.0
1069,"3,968",-438,16,5,1/189.0,1/248.0,1/793.6
1070,"7,532",+218,29,21,1/150.6,1/259.7,1/358.7
1071,"6,341",+462,26,17,1/147.5,1/243.9,1/373.0
1072,"1,503",-515,5,2,1/214.7,1/300.6,1/751.5
1073,"6,962",+112,25,21,1/151.3,1/278.5,1/331.5
1074,"8,497","+1,841",32,39,1/119.7,1/265.5,1/217.9
1075,"6,410",-924,19,22,1/156.3,1/337.4,1/291.4
1076,"7,948","+5,735",49,30,1/100.6,1/162.2,1/264.9
1077,"4,218",+679,19,10,1/145.4,1/222.0,1/421.8
1078,"2,984",-115,12,5,1/175.5,1/248.7,1/596.8
1079,"8,048","+1,524",34,27,1/131.9,1/236.7,1/298.1
1080,"3,664","-1,065",10,11,1/174.5,1/366.4,1/333.1
1081,"6,252","+2,515",30,24,1/115.8,1/208.4,1/260.5
1082,"1,514",-291,4,4,1/189.2,1/378.5,1/378.5
1083,"8,497","+1,456",35,37,1/118.0,1/242.8,1/229.6
1084,"1,727",-485,5,1,1/287.8,1/345.4,1/1727.0
1085,"8,215",+76,26,33,1/139.2,1/316.0,1/248.9
1086,836,-662,2,1,1/278.7,1/418.0,1/836.0
1087,"5,708",+912,25,14,1/146.4,1/228.3,1/407.7
1088,"4,102",-641,11,13,1/170.9,1/372.9,1/315.5
1089,"2,634",+591,15,1,1/164.6,1/175.6,1/2634.0
1090,"5,274",+844,21,19,1/131.8,1/251.1,1/277.6
1091,"6,459",-532,21,19,1/161.5,1/307.6,1/339.9
1092,787,-679,0,2,1/393.5,1/0.0,1/393.5
1093,"5,424","+2,162",30,14,1/123.3,1/180.8,1/387.4
1094,"5,514","+1,088",25,15,1/137.8,1/220.6,1/367.6
1095,"7,348",+712,26,29,1/133.6,1/282.6,1/253.4
1096,"1,773",-744,4,4,1/221.6,1/443.2,1/443.2
1097,"8,893",+29,30,31,1/145.8,1/296.4,1/286.9
1098,"6,083","+1,006",30,9,1/156.0,1/202.8,1/675.9
1099,"8,404","+1,088",36,24,1/140.1,1/233.4,1/350.2
