機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1001,"5,036",-815,15,14,1/173.7,1/335.7,1/359.7
マイジャグラーV,1002,"1,761",-432,4,5,1/195.7,1/440.2,1/352.2
マイジャグラーV,1003,"7,313","+4,574",35,40,1/97.5,1/208.9,1/182.8
マイジャグラーV,1004,"4,556",+250,20,9,1/157.1,1/227.8,1/506.2
マイジャグラーV,1005,"2,036","-1,112",3,4,1/290.9,1/678.7,1/509.0
マイジャグラーV,1006,"1,796",-850,5,3,1/224.5,1/359.2,1/598.7
マイジャグラーV,1007,"1,724",-994,2,5,1/246.3,1/862.0,1/344.8
マイジャグラーV,1008,"2,365",-138,8,8,1/147.8,1/295.6,1/295.6
マイジャグラーV,1009,"6,703","+1,241",31,16,1/142.6,1/216.2,1/418.9
マイジャグラーV,1010,"4,252","+1,218",21,10,1/137.2,1/202.5,1/425.2
マイジャグラーV,1011,"1,210",-462,4,2,1/201.7,1/302.5,1/605.0
マイジャグラーV,1012,"8,269","+3,118",46,20,1/125.3,1/179.8,1/413.4
マイジャグラーV,1013,"2,765",-250,10,5,1/184.3,1/276.5,1/553.0
マイジャグラーV,1014,"7,350",+491,23,33,1/131.2,1/319.6,1/222.7
マイジャグラーV,1015,910,-450,2,1,1/303.3,1/455.0,1/910.0
マイジャグラーV,1016,"5,816",-500,20,18,1/153.1,1/290.8,1/323.1
マイジャグラーV,1017,"6,908",+515,27,21,1/143.9,1/255.9,1/329.0
マイジャグラーV,1018,"1,381",-691,3,3,1/230.2,1/460.3,1/460.3
マイジャグラーV,1019,"1,474",-397,4,3,1/210.6,1/368.5,1/491.3
マイジャグラーV,1020,"5,289",+532,25,11,1/146.9,1/211.6,1/480.8
マイジャグラーV,1021,"6,092",-206,20,22,1/145.0,1/304.6,1/276.9
マイジャグラーV,1022,"4,742",-932,16,10,1/182.4,1/296.4,1/474.2
マイジャグラーV,1023,"2,374",+309,10,7,1/139.6,1/237.4,1/339.1
マイジャグラーV,1024,"3,190",-979,8,10,1/177.2,1/398.8,1/319.0
マイジャグラーV,1025,"6,443",-150,24,17,1/157.1,1/268.5,1/379.0
マイジャグラーV,1026,"2,731",-785,7,5,1/227.6,1/390.1,1/546.2
マイジャグラーV,1027,"8,548","+3,141",43,33,1/112.5,1/198.8,1/259.0
マイジャグラーV,1028,818,-450,2,1,1/272.7,1/409.0,1/818.0
マイジャグラーV,1029,"3,688",+62,15,10,1/147.5,1/245.9,1/368.8
マイジャグラーV,1030,"3,609","+1,088",20,7,1/133.7,1/180.4,1/515.6
マイジャグラーV,1031,"8,668","+1,218",36,30,1/131.3,1/240.8,1/288.9
マイジャグラーV,1032,"2,672","-1,324",6,4,1/267.2,1/445.3,1/668.0
マイジャグラーV,1033,"5,942","-1,512",16,16,1/185.7,1/371.4,1/371.4
マイジャグラーV,1034,"1,745",-403,6,3,1/193.9,1/290.8,1/581.7
マイジャグラーV,1035,"7,533",+700,28,28,1/134.5,1/269.0,1/269.0
マイジャグラーV,1036,"2,784",-803,8,6,1/198.9,1/348.0,1/464.0
マイジャグラーV,1037,"9,278","+3,259",45,33,1/118.9,1/206.2,1/281.2
マイジャグラーV,1038,"7,551",+65,28,22,1/151.0,1/269.7,1/343.2
マイジャグラーV,1039,"8,387",+876,30,32,1/135.3,1/279.6,1/262.1
マイジャグラーV,1040,"3,468",-709,10,11,1/165.1,1/346.8,1/315.3
マイジャグラーV,1041,"7,084","+1,394",30,25,1/128.8,1/236.1,1/283.4
マイジャグラーV,1042,"3,653","-1,324",10,8,1/202.9,1/365.3,1/456.6
マイジャグラーV,1043,"2,767",-909,6,10,1/172.9,1/461.2,1/276.7
マイジャグラーV,1044,"6,847","+4,515",37,35,1/95.1,1/185.1,1/195.6
マイジャグラーV,1045,"5,482",+512,22,14,1/152.3,1/249.2,1/391.6
マイジャグラーV,1046,"6,922",-206,29,14,1/161.0,1/238.7,1/494.4
マイジャグラーV,1047,"2,940",+315,15,5,1/147.0,1/196.0,1/588.0
マイジャグラーV,1048,"5,831",-326,20,16,1/162.0,1/291.6,1/364.4
マイジャグラーV,1049,"5,264","+1,465",28,9,1/142.3,1/188.0,1/584.9
マイジャグラーV,1050,"5,944","+1,265",30,13,1/138.2,1/198.1,1/457.2
マイジャグラーV,1069,"6,583",+262,25,22,1/140.1,1/263.3,1/299.2
マイジャグラーV,1070,"2,820",-238,10,6,1/176.2,1/282.0,1/470.0
マイジャグラーV,1071,"5,713",-526,19,19,1/150.3,1/300.7,1/300.7
マイジャグラーV,1072,"3,828","-1,112",12,9,1/182.3,1/319.0,1/425.3
マイジャグラーV,1073,"7,221",-6,27,16,1/167.9,1/267.4,1/451.3
マイジャグラーV,1074,"1,410",-368,4,3,1/201.4,1/352.5,1/470.0
マイジャグラーV,1075,"5,491",+653,23,14,1/148.4,1/238.7,1/392.2
マイジャグラーV,1076,"4,028",+959,21,9,1/134.3,1/191.8,1/447.6
マイジャグラーV,1077,"7,446","+2,459",34,27,1/122.1,1/219.0,1/275.8
マイジャグラーV,1078,"1,987",+185,9,6,1/132.5,1/220.8,1/331.2
マイジャグラーV,1079,"2,438",-44,7,11,1/135.4,1/348.3,1/221.6
マイジャグラーV,1080,"8,022","+1,206",26,37,1/127.3,1/308.5,1/216.8
マイジャグラーV,1081,"7,517",-335,21,33,1/139.2,1/358.0,1/227.8
マイジャグラーV,1082,"2,905",-156,12,8,1/145.2,1/242.1,1/363.1
マイジャグラーV,1083,"6,055","-1,100",19,14,1/183.5,1/318.7,1/432.5
マイジャグラーV,1084,"4,310","+1,218",23,4,1/159.6,1/187.4,1/1077.5
マイジャグラーV,1085,"2,730","-1,512",7,3,1/273.0,1/390.0,1/910.0
マイジャグラーV,1086,"8,268",+797,29,33,1/133.4,1/285.1,1/250.5
マイジャグラーV,1087,"3,032",-362,12,6,1/168.4,1/252.7,1/505.3
マイジャグラーV,1088,"3,434",-732,10,11,1/163.5,1/343.4,1/312.2
マイジャグラーV,1089,"6,919",-315,24,22,1/150.4,1/288.3,1/314.5
マイジャグラーV,1090,"1,777",-250,6,5,1/161.5,1/296.2,1/355.4
マイジャグラーV,1091,"1,913",+303,9,2,1/173.9,1/212.6,1/956.5
マイジャグラーV,1092,"8,747","+1,629",35,36,1/123.2,1/249.9,1/243.0
マイジャグラーV,1093,"5,850","-1,791",17,15,1/182.8,1/344.1,1/390.0
マイジャグラーV,1094,"1,979",-368,6,4,1/197.9,1/329.8,1/494.8
マイジャグラーV,1095,"5,714","+2,038",27,23,1/114.3,1/211.6,1/248.4
マイジャグラーV,1096,927,-450,3,0,1/309.0,1/309.0,1/0.0
マイジャグラーV,1097,"8,270",+747,33,26,1/140.2,1/250.6,1/318.1
マイジャグラーV,1098,"1,105",-156,4,1,1/221.0,1/276.2,1/1105.0
マイジャグラーV,1099,"8,658","+1,382",35,31,1/131.2,1/247.4,1/279.3
モンキーターンV,2059,"3,250",-853,35,12,1/69.1,1/92.9,1/270.8
モンキーターンV,2060,"1,022","-1,088",4,3,1/146.0,1/255.5,1/340.7
モンキーターンV,2061,442,-391,3,1,1/110.5,1/147.3,1/442.0
モンキーターンV,2062,"1,531",-644,13,4,1/90.1,1/117.8,1/382.8
モンキーターンV,2063,"1,463","-1,147",9,3,1/121.9,1/162.6,1/487.7
モンキーターンV,2064,"1,078",+629,9,4,1/82.9,1/119.8,1/269.5
モンキーターンV,2065,755,-479,6,2,1/94.4,1/125.8,1/377.5
モンキーターンV,2066,"4,253","-2,409",32,17,1/86.8,1/132.9,1/250.2
モンキーターンV,2067,"1,793","-2,374",4,3,1/256.1,1/448.2,1/597.7
モンキーターンV,2068,"3,348",-371,36,10,1/72.8,1/93.0,1/334.8
モンキーターンV,2103,"1,502",-932,12,6,1/83.4,1/125.2,1/250.3
モンキーターンV,2104,"2,169",+391,26,6,1/67.8,1/83.4,1/361.5
モンキーターンV,2105,550,-568,1,1,1/275.0,1/550.0,1/550.0
モンキーターンV,2106,"3,608",-56,28,16,1/82.0,1/128.9,1/225.5
モンキーターンV,2107,"1,829",-229,18,7,1/73.2,1/101.6,1/261.3
モンキーターンV,2108,"2,917","-1,347",25,10,1/83.3,1/116.7,1/291.7
モンキーターンV,2109,"5,147","-2,109",38,20,1/88.7,1/135.4,1/257.4
モンキーターンV,2110,648,-903,1,1,1/324.0,1/648.0,1/648.0
モンキーターンV,2111,"4,599","+4,103",73,19,1/50.0,1/63.0,1/242.1
モンキーターンV,2112,"3,946",-26,43,15,1/68.0,1/91.8,1/263.1
モンキーターンV,2113,"4,211",-909,39,14,1/79.5,1/108.0,1/300.8
モンキーターンV,2114,"3,268","+3,824",54,15,1/47.4,1/60.5,1/217.9
モンキーターンV,2115,817,-138,9,3,1/68.1,1/90.8,1/272.3
モンキーターンV,2116,236,-291,1,1,1/118.0,1/236.0,1/236.0
モンキーターンV,2117,"2,683","-2,038",19,9,1/95.8,1/141.2,1/298.1
モンキーターンV,2118,474,+79,6,2,1/59.2,1/79.0,1/237.0
モンキーターンV,2119,"1,347",-526,11,4,1/89.8,1/122.5,1/336.8
モンキーターンV,2120,"1,777","-1,985",6,3,1/197.4,1/296.2,1/592.3
モンキーターンV,2121,"3,720",+185,41,15,1/66.4,1/90.7,1/248.0
モンキーターンV,2122,278,-91,3,1,1/69.5,1/92.7,1/278.0
モンキーターンV,2123,"4,124","+2,621",63,19,1/50.3,1/65.5,1/217.1
モンキーターンV,2124,672,-315,7,2,1/74.7,1/96.0,1/336.0
モンキーターンV,2135,"3,118",-947,31,10,1/76.0,1/100.6,1/311.8
モンキーターンV,2136,"3,270","-2,409",22,10,1/102.2,1/148.6,1/327.0
モンキーターンV,2137,569,-450,2,1,1/189.7,1/284.5,1/569.0
モンキーターンV,2138,"4,706","+7,694",102,20,1/38.6,1/46.1,1/235.3
モンキーターンV,2139,500,-368,3,1,1/125.0,1/166.7,1/500.0
モンキーターンV,2140,"1,960",-947,16,5,1/93.3,1/122.5,1/392.0
モンキーターンV,2141,699,-838,2,1,1/233.0,1/349.5,1/699.0
