機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,444,"6,671",23,18,1/162.7,1/290.0,1/370.6
マイジャグラーV,445,777,2,1,1/259.0,1/388.5,1/777.0
マイジャグラーV,446,"3,238",11,7,1/179.9,1/294.4,1/462.6
マイジャグラーV,447,"5,664",25,12,1/153.1,1/226.6,1/472.0
マイジャグラーV,448,"6,047",22,18,1/151.2,1/274.9,1/335.9
マイジャグラーV,449,"1,116",0,1,1/1116.0,1/0.0,1/1116.0
マイジャグラーV,450,"2,761",5,9,1/197.2,1/552.2,1/306.8
マイジャグラーV,451,"2,002",5,3,1/250.2,1/400.4,1/667.3
マイジャグラーV,452,"4,484",26,12,1/118.0,1/172.5,1/373.7
マイジャグラーV,453,"4,057",21,10,1/130.9,1/193.2,1/405.7
マイジャグラーV,454,"3,055",9,8,1/179.7,1/339.4,1/381.9
マイジャグラーV,455,"6,197",23,17,1/154.9,1/269.4,1/364.5
マイジャグラーV,456,"7,564",29,21,1/151.3,1/260.8,1/360.2
マイジャグラーV,465,"2,514",12,9,1/119.7,1/209.5,1/279.3
マイジャグラーV,466,"3,107",10,5,1/207.1,1/310.7,1/621.4
マイジャグラーV,467,"2,451",5,8,1/188.5,1/490.2,1/306.4
マイジャグラーV,468,"3,676",9,9,1/204.2,1/408.4,1/408.4
マイジャグラーV,469,"3,690",12,6,1/205.0,1/307.5,1/615.0
マイジャグラーV,470,"6,043",23,16,1/154.9,1/262.7,1/377.7
マイジャグラーV,471,"2,280",6,6,1/190.0,1/380.0,1/380.0
マイジャグラーV,472,"5,857",31,16,1/124.6,1/188.9,1/366.1
マイジャグラーV,473,892,1,2,1/297.3,1/892.0,1/446.0
マイジャグラーV,474,"5,143",23,11,1/151.3,1/223.6,1/467.5
マイジャグラーV,475,"4,102",15,12,1/151.9,1/273.5,1/341.8
マイジャグラーV,476,"3,805",16,7,1/165.4,1/237.8,1/543.6
マイジャグラーV,477,"7,220",33,19,1/138.8,1/218.8,1/380.0
アイムジャグラーEX-TP,457,"3,549",15,10,1/142.0,1/236.6,1/354.9
アイムジャグラーEX-TP,458,"2,407",13,3,1/150.4,1/185.2,1/802.3
アイムジャグラーEX-TP,459,"2,293",10,4,1/163.8,1/229.3,1/573.2
アイムジャグラーEX-TP,460,"1,414",4,3,1/202.0,1/353.5,1/471.3
アイムジャグラーEX-TP,461,"1,820",6,6,1/151.7,1/303.3,1/303.3
アイムジャグラーEX-TP,462,"3,221",10,7,1/189.5,1/322.1,1/460.1
アイムジャグラーEX-TP,463,"1,069",5,5,1/106.9,1/213.8,1/213.8
アイムジャグラーEX-TP,464,"1,880",3,7,1/188.0,1/626.7,1/268.6
アイムジャグラーEX-TP,478,"2,541",10,3,1/195.5,1/254.1,1/847.0
アイムジャグラーEX-TP,479,681,2,1,1/227.0,1/340.5,1/681.0
アイムジャグラーEX-TP,480,"1,031",3,1,1/257.8,1/343.7,1/1031.0
アイムジャグラーEX-TP,481,"2,561",12,4,1/160.1,1/213.4,1/640.2
アイムジャグラーEX-TP,482,"2,071",8,4,1/172.6,1/258.9,1/517.8
アイムジャグラーEX-TP,483,"5,803",20,22,1/138.2,1/290.1,1/263.8
アイムジャグラーEX-TP,484,"3,447",10,7,1/202.8,1/344.7,1/492.4
アイムジャグラーEX-TP,485,"3,712",17,14,1/119.7,1/218.4,1/265.1
アイムジャグラーEX-TP,486,405,1,0,1/405.0,1/405.0,1/0.0
アイムジャグラーEX-TP,487,"1,900",6,4,1/190.0,1/316.7,1/475.0
アイムジャグラーEX-TP,488,873,2,0,1/436.5,1/436.5,1/0.0
アイムジャグラーEX-TP,489,543,1,0,1/543.0,1/543.0,1/0.0
アイムジャグラーEX-TP,490,"1,450",4,2,1/241.7,1/362.5,1/725.0
アイムジャグラーEX-TP,491,"3,176",16,9,1/127.0,1/198.5,1/352.9
アイムジャグラーEX-TP,492,"1,673",4,4,1/209.1,1/418.2,1/418.2
アイムジャグラーEX-TP,493,"1,647",5,3,1/205.9,1/329.4,1/549.0
アイムジャグラーEX-TP,494,697,1,0,1/697.0,1/697.0,1/0.0
ゴーゴージャグラー3,543,456,1,1,1/228.0,1/456.0,1/456.0
ゴーゴージャグラー3,544,"2,645",8,12,1/132.2,1/330.6,1/220.4
ゴーゴージャグラー3,545,"1,438",4,3,1/205.4,1/359.5,1/479.3
ゴーゴージャグラー3,546,624,2,1,1/208.0,1/312.0,1/624.0
ゴーゴージャグラー3,547,"2,984",16,6,1/135.6,1/186.5,1/497.3
ゴーゴージャグラー3,548,436,1,0,1/436.0,1/436.0,1/0.0
ゴーゴージャグラー3,549,"4,564",22,8,1/152.1,1/207.5,1/570.5
ゴーゴージャグラー3,550,"2,911",13,5,1/161.7,1/223.9,1/582.2
ゴーゴージャグラー3,551,"1,085",5,1,1/180.8,1/217.0,1/1085.0
ゴーゴージャグラー3,552,"2,386",5,7,1/198.8,1/477.2,1/340.9
