機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ真・北斗無双,350,438,-199,3,0,2,1/87.6,1/146.0,1/0.0,1/219.0
スマスロ真・北斗無双,351,386,-529,1,0,1,1/193.0,1/386.0,1/0.0,1/386.0
ダンジョンに出会いを求めるのは間違っているだろうか2,392,"3,195","-2,343",7,25,0,1/99.8,1/456.4,1/127.8,1/0.0
ダンジョンに出会いを求めるのは間違っているだろうか2,393,"2,562",-36,18,36,0,1/47.4,1/142.3,1/71.2,1/0.0
ダンベル何キロ持てる？,403,"3,869","+4,527",0,12,103,1/33.6,1/0.0,1/322.4,1/37.6
ダンベル何キロ持てる？,404,"3,602","-2,797",0,17,28,1/80.0,1/0.0,1/211.9,1/128.6
バンドリ！,401,"4,993",-300,0,12,31,1/116.1,1/0.0,1/416.1,1/161.1
バンドリ！,402,"1,184",+49,0,2,9,1/107.6,1/0.0,1/592.0,1/131.6
ファミスタ回胴版!!,417,"1,218",-594,3,3,0,1/203.0,1/406.0,1/406.0,1/0.0
ファミスタ回胴版!!,418,"1,071",-280,4,2,0,1/178.5,1/267.8,1/535.5,1/0.0
ミスタージャグラー,331,"1,350",+940,9,3,0,1/112.5,1/150.0,1/450.0,1/0.0
ミスタージャグラー,332,"7,829","-1,279",21,33,0,1/145.0,1/372.8,1/237.2,1/0.0
モンキーターンV,369,"1,741",+452,0,2,5,1/248.7,1/0.0,1/870.5,1/348.2
モンキーターンV,370,"3,688","+2,265",0,5,28,1/111.8,1/0.0,1/737.6,1/131.7
戦国乙女4 戦乱に閃く炯眼の軍師,364,"1,388",-743,6,0,3,1/154.2,1/231.3,1/0.0,1/462.7
戦国乙女4 戦乱に閃く炯眼の軍師,365,"5,039",-962,24,0,12,1/140.0,1/210.0,1/0.0,1/419.9
戦姫絶唱シンフォギア 正義の歌,360,505,-573,0,1,2,1/168.3,1/0.0,1/505.0,1/252.5
戦姫絶唱シンフォギア 正義の歌,361,686,-792,0,2,4,1/114.3,1/0.0,1/343.0,1/171.5
沖ドキ!GOLD,422,449,-461,1,0,0,1/449.0,1/449.0,1/0.0,1/0.0
沖ドキ!GOLD,423,377,-504,0,1,0,1/377.0,1/0.0,1/377.0,1/0.0
甲鉄城のカバネリ,396,"1,806","-1,721",0,5,5,1/180.6,1/0.0,1/361.2,1/361.2
甲鉄城のカバネリ,397,"4,387","-1,229",0,15,26,1/107.0,1/0.0,1/292.5,1/168.7
革命機ヴァルヴレイヴ,362,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
革命機ヴァルヴレイヴ,363,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
頭文字D 2nd,352,"1,407","-1,902",0,1,5,1/234.5,1/0.0,1/1407.0,1/281.4
頭文字D 2nd,353,773,-878,0,1,4,1/154.6,1/0.0,1/773.0,1/193.2
モンスターハンターライズ,368,"4,540","-2,670",0,10,22,1/141.9,1/0.0,1/454.0,1/206.4
聖戦士ダンバイン,378,"3,104","-2,167",0,5,33,1/81.7,1/0.0,1/620.8,1/94.1
犬夜叉2,379,"1,034",-160,0,1,14,1/68.9,1/0.0,1/1034.0,1/73.9
からくりサーカス,380,"3,345","+3,046",0,9,34,1/77.8,1/0.0,1/371.7,1/98.4
サラリーマン金太郎～MAX～,381,"3,447","+1,812",0,2,27,1/118.9,1/0.0,1/1723.5,1/127.7
ゾンビランドサガ,382,"1,320",-890,10,0,2,1/110.0,1/132.0,1/0.0,1/660.0
とある魔術の禁書目録,383,"1,624",-282,0,3,2,1/324.8,1/0.0,1/541.3,1/812.0
ガールズ&パンツァー 最終章,384,207,-354,0,1,0,1/207.0,1/0.0,1/207.0,1/0.0
戦国コレクション5超極楽LOOP,385,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴジラ対エヴァンゲリオン,386,960,-337,7,0,4,1/87.3,1/137.1,1/0.0,1/240.0
マクロスフロンティア4,387,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,388,"2,410","-1,776",0,5,7,1/200.8,1/0.0,1/482.0,1/344.3
スマスロキングパルサー,389,113,-174,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍!番長ZERO,390,"2,068",+77,0,3,17,1/103.4,1/0.0,1/689.3,1/121.6
アオハル♪操 A‐LIVE,391,"1,147",+740,6,5,0,1/104.3,1/191.2,1/229.4,1/0.0
グランベルム,394,"5,905","+2,502",115,0,94,1/28.3,1/51.3,1/0.0,1/62.8
新鬼武者2,395,636,-710,0,0,1,1/636.0,1/0.0,1/0.0,1/636.0
ToLOVEるダークネス,405,"4,000","-4,059",16,0,11,1/148.1,1/250.0,1/0.0,1/363.6
ニューパルサーSP4 with 太鼓の達人,416,659,+442,4,1,0,1/131.8,1/164.8,1/659.0,1/0.0
クランキークレスト,419,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ニューパルサーSPⅢ,420,"2,683",-982,7,3,0,1/268.3,1/383.3,1/894.3,1/0.0
バジリスク絆2,421,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
