台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"3,087",-291,11,9,1/154.3,1/280.6,1/343.0
1101,566,-421,1,0,1/566.0,1/566.0,1/0.0
1102,"2,635",-621,7,11,1/146.4,1/376.4,1/239.5
1103,"2,424",-726,8,4,1/202.0,1/303.0,1/606.0
1104,"1,445",-503,6,2,1/180.6,1/240.8,1/722.5
1105,"1,290",-462,4,3,1/184.3,1/322.5,1/430.0
1106,"6,056",+326,24,22,1/131.7,1/252.3,1/275.3
1107,"2,477",-309,11,3,1/176.9,1/225.2,1/825.7
1108,"2,494","-1,182",7,4,1/226.7,1/356.3,1/623.5
1109,541,-550,0,1,1/541.0,1/0.0,1/541.0
1110,"1,848",-679,5,6,1/168.0,1/369.6,1/308.0
1111,781,-432,2,2,1/195.2,1/390.5,1/390.5
1112,"1,134",-32,6,0,1/189.0,1/189.0,1/0.0
1113,"3,662",-444,14,9,1/159.2,1/261.6,1/406.9
1123,"4,725",+432,23,8,1/152.4,1/205.4,1/590.6
1124,"2,960",-326,9,11,1/148.0,1/328.9,1/269.1
1125,"1,189",-374,3,5,1/148.6,1/396.3,1/237.8
1126,631,-432,2,0,1/315.5,1/315.5,1/0.0
1127,677,-532,1,1,1/338.5,1/677.0,1/677.0
1128,566,-285,2,0,1/283.0,1/283.0,1/0.0
1129,"1,524",-838,3,5,1/190.5,1/508.0,1/304.8
