台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,351,-462,0,0,1/0.0,1/0.0,1/0.0
1101,"1,524",-579,4,4,1/190.5,1/381.0,1/381.0
1102,352,-462,0,0,1/0.0,1/0.0,1/0.0
1103,"4,545",+241,21,9,1/151.5,1/216.4,1/505.0
1104,"3,328",+150,13,12,1/133.1,1/256.0,1/277.3
1105,"2,403",+256,11,5,1/150.2,1/218.5,1/480.6
1106,"3,700",+379,17,11,1/132.1,1/217.6,1/336.4
1107,"2,427",-621,8,5,1/186.7,1/303.4,1/485.4
1108,418,-474,0,1,1/418.0,1/0.0,1/418.0
1109,844,-368,3,0,1/281.3,1/281.3,1/0.0
1110,976,-350,3,2,1/195.2,1/325.3,1/488.0
1111,"3,630",-297,15,9,1/151.2,1/242.0,1/403.3
1112,"4,892",+615,23,14,1/132.2,1/212.7,1/349.4
1113,"1,096",-497,1,5,1/182.7,1/1096.0,1/219.2
1123,"5,939",-515,24,16,1/148.5,1/247.5,1/371.2
1124,839,-603,2,0,1/419.5,1/419.5,1/0.0
1125,653,-615,0,1,1/653.0,1/0.0,1/653.0
1126,"3,298",+503,16,5,1/157.0,1/206.1,1/659.6
1127,"1,654",-244,6,3,1/183.8,1/275.7,1/551.3
1128,"1,518",-621,3,5,1/189.8,1/506.0,1/303.6
1129,"3,262",-688,12,8,1/163.1,1/271.8,1/407.8
