台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"5,955",-868,20,15,1/170.1,1/297.8,1/397.0
1002,"1,676",-397,5,4,1/186.2,1/335.2,1/419.0
1003,"1,283",-262,5,1,1/213.8,1/256.6,1/1283.0
1004,"5,744",-9,20,19,1/147.3,1/287.2,1/302.3
1005,"1,295",+156,6,3,1/143.9,1/215.8,1/431.7
1006,"9,023","+2,744",37,42,1/114.2,1/243.9,1/214.8
1007,"2,277",-191,8,5,1/175.2,1/284.6,1/455.4
1008,"3,091",+438,14,6,1/154.6,1/220.8,1/515.2
1009,"7,955",+218,29,27,1/142.1,1/274.3,1/294.6
1010,"1,261",-450,3,3,1/210.2,1/420.3,1/420.3
1011,"7,922",+238,32,24,1/141.5,1/247.6,1/330.1
1012,"8,638","+4,750",48,34,1/105.3,1/180.0,1/254.1
1013,"8,686",+226,28,35,1/137.9,1/310.2,1/248.2
1014,"2,468",-897,6,6,1/205.7,1/411.3,1/411.3
1015,"1,001",-632,2,0,1/500.5,1/500.5,1/0.0
1016,"6,516",-62,22,20,1/155.1,1/296.2,1/325.8
1017,"8,544",-171,26,33,1/144.8,1/328.6,1/258.9
1018,"3,062",-526,8,11,1/161.2,1/382.8,1/278.4
1019,"1,864",-121,7,5,1/155.3,1/266.3,1/372.8
1020,"8,503","+1,847",33,37,1/121.5,1/257.7,1/229.8
1021,"1,715",-779,5,3,1/214.4,1/343.0,1/571.7
1022,690,-650,0,1,1/690.0,1/0.0,1/690.0
1023,"1,432",-521,4,2,1/238.7,1/358.0,1/716.0
1024,"9,112",+876,33,41,1/123.1,1/276.1,1/222.2
1025,932,+197,5,1,1/155.3,1/186.4,1/932.0
1026,"7,712","+1,209",33,25,1/133.0,1/233.7,1/308.5
1027,"3,983",-768,11,9,1/199.2,1/362.1,1/442.6
1028,"2,657",-485,8,5,1/204.4,1/332.1,1/531.4
1029,967,-479,2,2,1/241.8,1/483.5,1/483.5
1030,"3,585",-547,11,12,1/155.9,1/325.9,1/298.8
1031,"3,230","+1,041",20,4,1/134.6,1/161.5,1/807.5
1032,"3,067","-1,065",6,11,1/180.4,1/511.2,1/278.8
1033,"4,360",-885,13,10,1/189.6,1/335.4,1/436.0
1034,"1,076",-15,6,0,1/179.3,1/179.3,1/0.0
1035,"1,269",-297,3,4,1/181.3,1/423.0,1/317.2
1036,"1,129",-685,2,2,1/282.2,1/564.5,1/564.5
1037,"4,757",-609,16,14,1/158.6,1/297.3,1/339.8
1038,"3,594","+1,465",22,7,1/123.9,1/163.4,1/513.4
1039,714,-603,1,0,1/714.0,1/714.0,1/0.0
1040,"9,334","+1,774",39,31,1/133.3,1/239.3,1/301.1
1041,"8,816",+641,36,26,1/142.2,1/244.9,1/339.1
1042,"5,943","+2,126",29,22,1/116.5,1/204.9,1/270.1
1043,"1,760",+344,9,5,1/125.7,1/195.6,1/352.0
1044,"2,745",-391,8,10,1/152.5,1/343.1,1/274.5
1045,"2,574",-379,9,5,1/183.9,1/286.0,1/514.8
1046,"6,533",+65,26,14,1/163.3,1/251.3,1/466.6
1047,"4,724",-444,14,15,1/162.9,1/337.4,1/314.9
1048,"1,703",-491,4,4,1/212.9,1/425.8,1/425.8
1049,"6,125",+579,26,17,1/142.4,1/235.6,1/360.3
1050,"6,243",-265,24,13,1/168.7,1/260.1,1/480.2
1069,"6,791",+288,28,19,1/144.5,1/242.5,1/357.4
1070,853,-685,1,1,1/426.5,1/853.0,1/853.0
1071,"8,112","+2,074",36,30,1/122.9,1/225.3,1/270.4
1072,"3,109","-1,088",8,7,1/207.3,1/388.6,1/444.1
1073,"5,641",+394,26,11,1/152.5,1/217.0,1/512.8
1074,"8,124","+4,750",42,39,1/100.3,1/193.4,1/208.3
1075,432,-279,1,1,1/216.0,1/432.0,1/432.0
1076,"6,437","+1,653",31,17,1/134.1,1/207.6,1/378.6
1077,"4,313","+1,053",19,18,1/116.6,1/227.0,1/239.6
1078,"6,390",-862,23,18,1/155.9,1/277.8,1/355.0
1079,"3,832",-132,14,9,1/166.6,1/273.7,1/425.8
1080,"5,941",+65,23,18,1/144.9,1/258.3,1/330.1
1081,"2,642","-1,241",6,5,1/240.2,1/440.3,1/528.4
1082,"3,403",-550,13,5,1/189.1,1/261.8,1/680.6
1083,"1,542",-621,3,4,1/220.3,1/514.0,1/385.5
1084,"6,610",+394,27,14,1/161.2,1/244.8,1/472.1
1085,"1,870",-838,5,4,1/207.8,1/374.0,1/467.5
1086,"1,971","-1,088",3,5,1/246.4,1/657.0,1/394.2
1087,896,-932,0,1,1/896.0,1/0.0,1/896.0
1088,"2,024",+132,11,2,1/155.7,1/184.0,1/1012.0
1089,"8,050","+3,235",38,34,1/111.8,1/211.8,1/236.8
1090,748,-515,1,1,1/374.0,1/748.0,1/748.0
1091,"1,327",-985,1,4,1/265.4,1/1327.0,1/331.8
1092,"7,417",-532,25,22,1/157.8,1/296.7,1/337.1
1093,"7,698",-450,21,31,1/148.0,1/366.6,1/248.3
1094,"5,841",-806,19,16,1/166.9,1/307.4,1/365.1
1095,"1,655",-585,5,3,1/206.9,1/331.0,1/551.7
1096,"3,905",-626,12,12,1/162.7,1/325.4,1/325.4
1097,"7,543","+1,194",32,22,1/139.7,1/235.7,1/342.9
1098,"4,101",-738,14,11,1/164.0,1/292.9,1/372.8
1099,"2,567",+415,10,10,1/128.3,1/256.7,1/256.7
