機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1001,"4,793",+174,18,16,1/141.0,1/266.3,1/299.6
マイジャグラーV,1002,721,-750,0,1,1/721.0,1/0.0,1/721.0
マイジャグラーV,1003,"7,480","+2,285",39,16,1/136.0,1/191.8,1/467.5
マイジャグラーV,1004,"5,312","+1,229",24,17,1/129.6,1/221.3,1/312.5
マイジャグラーV,1005,"1,101",-138,4,1,1/220.2,1/275.2,1/1101.0
マイジャグラーV,1006,"3,412",+479,15,11,1/131.2,1/227.5,1/310.2
マイジャグラーV,1007,"1,059",-550,3,1,1/264.8,1/353.0,1/1059.0
マイジャグラーV,1008,"6,700","+2,285",31,25,1/119.6,1/216.1,1/268.0
マイジャグラーV,1009,903,-538,1,2,1/301.0,1/903.0,1/451.5
マイジャグラーV,1010,"4,666",-924,16,9,1/186.6,1/291.6,1/518.4
マイジャグラーV,1011,"6,852","+1,685",31,22,1/129.3,1/221.0,1/311.5
マイジャグラーV,1012,"1,553",-391,4,4,1/194.1,1/388.2,1/388.2
マイジャグラーV,1013,"6,549",+759,25,21,1/142.4,1/262.0,1/311.9
マイジャグラーV,1014,"2,323","-1,465",3,6,1/258.1,1/774.3,1/387.2
マイジャグラーV,1015,500,-456,1,1,1/250.0,1/500.0,1/500.0
マイジャグラーV,1016,"8,801","+5,488",47,39,1/102.3,1/187.3,1/225.7
マイジャグラーV,1017,"1,597",-126,7,1,1/199.6,1/228.1,1/1597.0
マイジャグラーV,1018,"3,718",-903,11,11,1/169.0,1/338.0,1/338.0
マイジャグラーV,1019,"2,323",-668,8,3,1/211.2,1/290.4,1/774.3
マイジャグラーV,1020,"5,427","-1,088",17,16,1/164.5,1/319.2,1/339.2
マイジャグラーV,1021,"2,743",-744,9,5,1/195.9,1/304.8,1/548.6
マイジャグラーV,1022,"3,768","-1,465",9,9,1/209.3,1/418.7,1/418.7
マイジャグラーV,1023,"5,701",-488,20,16,1/158.4,1/285.1,1/356.3
マイジャグラーV,1024,"5,672","-2,268",11,22,1/171.9,1/515.6,1/257.8
マイジャグラーV,1025,"4,347",-915,13,14,1/161.0,1/334.4,1/310.5
マイジャグラーV,1026,"6,453","+1,756",32,16,1/134.4,1/201.7,1/403.3
マイジャグラーV,1027,"2,799",-491,9,4,1/215.3,1/311.0,1/699.8
マイジャグラーV,1028,"5,126","-1,006",16,11,1/189.9,1/320.4,1/466.0
マイジャグラーV,1029,"4,616","-1,547",14,7,1/219.8,1/329.7,1/659.4
マイジャグラーV,1030,"4,919",-238,18,10,1/175.7,1/273.3,1/491.9
マイジャグラーV,1031,"4,239",-932,12,12,1/176.6,1/353.2,1/353.2
マイジャグラーV,1032,"2,956",-250,10,9,1/155.6,1/295.6,1/328.4
