機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,319,896,-630,1,2,0,1/298.7,1/896.0,1/448.0,1/0.0
アイムジャグラーEX-TP,320,520,+609,5,0,0,1/104.0,1/104.0,1/0.0,1/0.0
アイムジャグラーEX-TP,321,"2,582",-841,7,6,0,1/198.6,1/368.9,1/430.3,1/0.0
アイムジャグラーEX-TP,322,"2,198",+126,9,6,0,1/146.5,1/244.2,1/366.3,1/0.0
アイムジャグラーEX-TP,323,744,-289,2,1,0,1/248.0,1/372.0,1/744.0,1/0.0
アイムジャグラーEX-TP,324,"3,159",-504,9,7,0,1/197.4,1/351.0,1/451.3,1/0.0
アイムジャグラーEX-TP,325,"3,068",-333,13,5,0,1/170.4,1/236.0,1/613.6,1/0.0
スマスロ北斗の拳,342,"2,704",-654,24,7,0,1/87.2,1/112.7,1/386.3,1/0.0
スマスロ北斗の拳,343,"2,812",+18,32,7,0,1/72.1,1/87.9,1/401.7,1/0.0
スマスロ北斗の拳,344,"1,638",-581,14,7,0,1/78.0,1/117.0,1/234.0,1/0.0
スマスロ北斗の拳,345,"1,940",-646,14,4,0,1/107.8,1/138.6,1/485.0,1/0.0
スマスロ北斗の拳,346,"1,063",-980,4,1,0,1/212.6,1/265.8,1/1063.0,1/0.0
スマスロ北斗の拳,347,"2,501","-1,873",14,4,0,1/138.9,1/178.6,1/625.2,1/0.0
スマスロ北斗の拳,348,"1,656",-122,17,6,0,1/72.0,1/97.4,1/276.0,1/0.0
マイジャグラーV,313,"1,690",+449,10,2,0,1/140.8,1/169.0,1/845.0,1/0.0
マイジャグラーV,314,750,-536,1,1,0,1/375.0,1/750.0,1/750.0,1/0.0
マイジャグラーV,315,"4,238",-39,16,12,0,1/151.4,1/264.9,1/353.2,1/0.0
マイジャグラーV,316,"7,284","+2,425",41,18,0,1/123.5,1/177.7,1/404.7,1/0.0
マイジャグラーV,317,"3,720",+398,17,8,0,1/148.8,1/218.8,1/465.0,1/0.0
マイジャグラーV,318,"4,901",-491,16,14,0,1/163.4,1/306.3,1/350.1,1/0.0
Lゴッドイーター リザレクション,370,"3,144","-1,565",0,7,33,1/78.6,1/0.0,1/449.1,1/95.3
Lゴッドイーター リザレクション,371,"1,824","-1,407",0,5,13,1/101.3,1/0.0,1/364.8,1/140.3
Lゴッドイーター リザレクション,372,"2,884","-1,972",0,10,26,1/80.1,1/0.0,1/288.4,1/110.9
Lゴッドイーター リザレクション,373,"2,713","-3,146",0,4,11,1/180.9,1/0.0,1/678.2,1/246.6
ハッピージャグラーVIII,330,"1,330",-473,4,2,0,1/221.7,1/332.5,1/665.0,1/0.0
