機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
モンキーターンV,370,"3,282",0,6,18,1/136.8,1/0.0,1/547.0,1/182.3
戦国乙女4 戦乱に閃く炯眼の軍師,364,"3,104",9,0,7,1/194.0,1/344.9,1/0.0,1/443.4
戦国乙女4 戦乱に閃く炯眼の軍師,365,"6,253",36,0,31,1/93.3,1/173.7,1/0.0,1/201.7
戦姫絶唱シンフォギア 正義の歌,352,779,0,2,11,1/59.9,1/0.0,1/389.5,1/70.8
戦姫絶唱シンフォギア 正義の歌,353,"1,032",0,3,5,1/129.0,1/0.0,1/344.0,1/206.4
押忍!番長ZERO,390,"5,431",0,5,66,1/76.5,1/0.0,1/1086.2,1/82.3
押忍!番長ZERO,391,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD,428,846,11,2,0,1/65.1,1/76.9,1/423.0,1/0.0
沖ドキ!GOLD,429,784,4,1,0,1/156.8,1/196.0,1/784.0,1/0.0
甲鉄城のカバネリ,396,"1,504",0,2,7,1/167.1,1/0.0,1/752.0,1/214.9
甲鉄城のカバネリ,397,"1,662",0,8,7,1/110.8,1/0.0,1/207.8,1/237.4
革命機ヴァルヴレイヴ,354,"1,269",3,2,4,1/141.0,1/423.0,1/634.5,1/317.2
革命機ヴァルヴレイヴ,355,7,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
とある魔術の禁書目録,358,"1,221",0,4,3,1/174.4,1/0.0,1/305.2,1/407.0
スマスロ真・北斗無双,359,542,2,0,2,1/135.5,1/271.0,1/0.0,1/271.0
ゲゲゲの鬼太郎 覚醒,360,"3,261",0,6,55,1/53.5,1/0.0,1/543.5,1/59.3
頭文字D 2nd,361,"1,861",0,1,9,1/186.1,1/0.0,1/1861.0,1/206.8
モンスターハンターライズ,368,"3,632",0,7,22,1/125.2,1/0.0,1/518.9,1/165.1
バイオハザード5,377,"5,859",0,10,21,1/189.0,1/0.0,1/585.9,1/279.0
東京喰種,378,"3,334",0,11,15,1/128.2,1/0.0,1/303.1,1/222.3
スーパーブラックジャック,379,"5,170",0,6,61,1/77.2,1/0.0,1/861.7,1/84.8
からくりサーカス,380,"2,244",0,2,15,1/132.0,1/0.0,1/1122.0,1/149.6
L サラリーマン金太郎,381,"2,892",0,2,23,1/115.7,1/0.0,1/1446.0,1/125.7
コードギアス 反逆のルルーシュ/復活のルルーシュ,382,"2,707",0,3,16,1/142.5,1/0.0,1/902.3,1/169.2
うる星やつら,383,"2,550",0,10,9,1/134.2,1/0.0,1/255.0,1/283.3
シン・エヴァンゲリオン,384,"1,335",0,2,7,1/148.3,1/0.0,1/667.5,1/190.7
聖戦士ダンバイン,385,"1,072",0,3,25,1/38.3,1/0.0,1/357.3,1/42.9
ゴジラ対エヴァンゲリオン,386,"1,756",6,0,9,1/117.1,1/292.7,1/0.0,1/195.1
ゾンビランドサガ,387,259,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
麻雀格闘倶楽部 覚醒,388,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
L南国育ち,389,"2,266",5,8,0,1/174.3,1/453.2,1/283.2,1/0.0
アオハル♪操 A‐LIVE,392,"1,140",2,2,0,1/285.0,1/570.0,1/570.0,1/0.0
ダンジョンに出会いを求めるのは間違っているだろうか2,393,"5,390",30,90,0,1/44.9,1/179.7,1/59.9,1/0.0
バイオハザード7 レジデント イービル,394,649,0,1,13,1/46.4,1/0.0,1/649.0,1/49.9
新鬼武者2,395,"3,228",0,0,16,1/201.8,1/0.0,1/0.0,1/201.8
ToLOVEるダークネス,405,"4,978",39,0,22,1/81.6,1/127.6,1/0.0,1/226.3
ニューパルサーSPⅢ,414,145,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ケロット4,415,108,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ニューパルサーSP4 with 太鼓の達人,416,"1,310",7,5,0,1/109.2,1/187.1,1/262.0,1/0.0
ニューゲッターマウス,417,"3,617",17,18,0,1/103.3,1/212.8,1/200.9,1/0.0
ファミスタ回胴版!!,418,996,2,2,0,1/249.0,1/498.0,1/498.0,1/0.0
クランキークレスト,419,580,3,1,0,1/145.0,1/193.3,1/580.0,1/0.0
新ハナビ,420,"4,613",13,13,0,1/177.4,1/354.8,1/354.8,1/0.0
ハイハイシオサイ,421,462,2,2,0,1/115.5,1/231.0,1/231.0,1/0.0
