機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,319,"3,793",+647,16,13,0,1/130.8,1/237.1,1/291.8,1/0.0
アイムジャグラーEX-TP,320,"2,781",-606,9,7,0,1/173.8,1/309.0,1/397.3,1/0.0
アイムジャグラーEX-TP,321,"1,348",+107,6,4,0,1/134.8,1/224.7,1/337.0,1/0.0
アイムジャグラーEX-TP,322,"1,831",-423,6,4,0,1/183.1,1/305.2,1/457.8,1/0.0
アイムジャグラーEX-TP,323,254,-253,0,1,0,1/254.0,1/0.0,1/254.0,1/0.0
アイムジャグラーEX-TP,324,"1,971","-1,114",3,5,0,1/246.4,1/657.0,1/394.2,1/0.0
アイムジャグラーEX-TP,325,"1,750",-526,5,3,0,1/218.8,1/350.0,1/583.3,1/0.0
スマスロ北斗の拳,342,"3,162","-2,603",13,5,0,1/175.7,1/243.2,1/632.4,1/0.0
スマスロ北斗の拳,343,"1,799","-1,186",9,5,0,1/128.5,1/199.9,1/359.8,1/0.0
スマスロ北斗の拳,344,651,"+1,676",20,2,0,1/29.6,1/32.5,1/325.5,1/0.0
スマスロ北斗の拳,345,418,-258,2,1,0,1/139.3,1/209.0,1/418.0,1/0.0
スマスロ北斗の拳,346,"1,423","-1,003",8,3,0,1/129.4,1/177.9,1/474.3,1/0.0
スマスロ北斗の拳,347,"1,022",-276,8,4,0,1/85.2,1/127.8,1/255.5,1/0.0
スマスロ北斗の拳,348,"1,857",+877,27,5,0,1/58.0,1/68.8,1/371.4,1/0.0
マイジャグラーV,313,"2,611","-1,037",8,3,0,1/237.4,1/326.4,1/870.3,1/0.0
マイジャグラーV,314,999,-416,2,3,0,1/199.8,1/499.5,1/333.0,1/0.0
マイジャグラーV,315,"3,690",+535,18,7,0,1/147.6,1/205.0,1/527.1,1/0.0
マイジャグラーV,316,"2,332",+607,12,4,0,1/145.8,1/194.3,1/583.0,1/0.0
マイジャグラーV,317,"2,120",-384,8,3,0,1/192.7,1/265.0,1/706.7,1/0.0
マイジャグラーV,318,"1,439",-644,4,3,0,1/205.6,1/359.8,1/479.7,1/0.0
ハッピージャグラーVIII,330,"1,231","-1,133",1,1,0,1/615.5,1/1231.0,1/1231.0,1/0.0
ハッピージャグラーVIII,331,"2,878",+679,14,7,0,1/137.0,1/205.6,1/411.1,1/0.0
ハッピージャグラーVIII,332,614,-424,1,0,0,1/614.0,1/614.0,1/0.0,1/0.0
ハッピージャグラーVIII,333,"3,303",-780,10,9,0,1/173.8,1/330.3,1/367.0,1/0.0
ハナハナホウオウ～天翔～,424,317,-249,0,1,0,1/317.0,1/0.0,1/317.0,1/0.0
ハナハナホウオウ～天翔～,425,767,-498,1,2,0,1/255.7,1/767.0,1/383.5,1/0.0
ハナハナホウオウ～天翔～,426,305,-322,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,104,-92,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,399,"1,733",-695,0,8,15,1/75.3,1/0.0,1/216.6,1/115.5
甲鉄城のカバネリ,400,872,-10,0,3,10,1/67.1,1/0.0,1/290.7,1/87.2
甲鉄城のカバネリ,401,"2,523",-667,0,9,23,1/78.8,1/0.0,1/280.3,1/109.7
甲鉄城のカバネリ,402,797,-449,0,2,5,1/113.9,1/0.0,1/398.5,1/159.4
ゴーゴージャグラー3,336,"4,199","+2,202",27,10,0,1/113.5,1/155.5,1/419.9,1/0.0
ゴーゴージャグラー3,337,"3,068",+610,14,10,0,1/127.8,1/219.1,1/306.8,1/0.0
ゴーゴージャグラー3,338,"2,199",-589,8,2,0,1/219.9,1/274.9,1/1099.5,1/0.0
ファンキージャグラー2,339,"1,362",+171,6,3,0,1/151.3,1/227.0,1/454.0,1/0.0
ファンキージャグラー2,340,"3,219","+1,483",19,7,0,1/123.8,1/169.4,1/459.9,1/0.0
ファンキージャグラー2,341,"2,824","-1,079",6,5,0,1/256.7,1/470.7,1/564.8,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,371,"5,265","-1,421",18,0,15,1/159.5,1/292.5,1/0.0,1/351.0
戦国乙女4 戦乱に閃く炯眼の軍師,372,394,+230,2,0,1,1/131.3,1/197.0,1/0.0,1/394.0
戦国乙女4 戦乱に閃く炯眼の軍師,373,"2,917","+5,555",18,0,18,1/81.0,1/162.1,1/0.0,1/162.1
沖ドキ!GOLD,326,"1,429",+541,12,3,0,1/95.3,1/119.1,1/476.3,1/0.0
沖ドキ!GOLD,327,"2,823","-2,021",8,8,0,1/176.4,1/352.9,1/352.9,1/0.0
沖ドキ!GOLD,328,"1,540",-870,6,3,0,1/171.1,1/256.7,1/513.3,1/0.0
ガールズ&パンツァー 最終章,353,"1,522","+1,822",33,16,0,1/31.1,1/46.1,1/95.1,1/0.0
ガールズ&パンツァー 最終章,354,385,-3,6,3,0,1/42.8,1/64.2,1/128.3,1/0.0
