機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,030",5,2,0,1/147.1,1/206.0,1/515.0,1/0.0
スマスロ北斗の拳,343,964,15,4,0,1/50.7,1/64.3,1/241.0,1/0.0
スマスロ北斗の拳,344,359,3,1,0,1/89.8,1/119.7,1/359.0,1/0.0
スマスロ北斗の拳,345,478,5,1,0,1/79.7,1/95.6,1/478.0,1/0.0
スマスロ北斗の拳,346,"1,832",13,4,0,1/107.8,1/140.9,1/458.0,1/0.0
スマスロ北斗の拳,347,424,3,1,0,1/106.0,1/141.3,1/424.0,1/0.0
スマスロ北斗の拳,348,437,5,1,0,1/72.8,1/87.4,1/437.0,1/0.0
スマスロ北斗の拳,349,297,7,1,0,1/37.1,1/42.4,1/297.0,1/0.0
アイムジャグラーEX-TP,319,"3,407",9,6,0,1/227.1,1/378.6,1/567.8,1/0.0
アイムジャグラーEX-TP,320,"2,265",9,4,0,1/174.2,1/251.7,1/566.2,1/0.0
アイムジャグラーEX-TP,321,"5,227",20,8,0,1/186.7,1/261.4,1/653.4,1/0.0
アイムジャグラーEX-TP,322,"1,099",3,3,0,1/183.2,1/366.3,1/366.3,1/0.0
アイムジャグラーEX-TP,323,"6,000",19,20,0,1/153.8,1/315.8,1/300.0,1/0.0
アイムジャグラーEX-TP,324,657,0,2,0,1/328.5,1/0.0,1/328.5,1/0.0
アイムジャグラーEX-TP,325,"5,232",16,16,0,1/163.5,1/327.0,1/327.0,1/0.0
マイジャグラーV,313,"3,223",7,8,0,1/214.9,1/460.4,1/402.9,1/0.0
マイジャグラーV,314,"2,880",6,6,0,1/240.0,1/480.0,1/480.0,1/0.0
マイジャグラーV,315,"3,939",17,10,0,1/145.9,1/231.7,1/393.9,1/0.0
マイジャグラーV,316,"4,473",11,14,0,1/178.9,1/406.6,1/319.5,1/0.0
マイジャグラーV,317,"5,070",13,14,0,1/187.8,1/390.0,1/362.1,1/0.0
マイジャグラーV,318,"1,307",2,1,0,1/435.7,1/653.5,1/1307.0,1/0.0
ハッピージャグラーVIII,326,"4,048",19,7,0,1/155.7,1/213.1,1/578.3,1/0.0
ハッピージャグラーVIII,327,"1,908",6,3,0,1/212.0,1/318.0,1/636.0,1/0.0
ハッピージャグラーVIII,328,"1,707",7,3,0,1/170.7,1/243.9,1/569.0,1/0.0
ハッピージャグラーVIII,329,"4,547",17,14,0,1/146.7,1/267.5,1/324.8,1/0.0
ハッピージャグラーVIII,330,"2,141",8,6,0,1/152.9,1/267.6,1/356.8,1/0.0
ゴーゴージャグラー3,335,"4,223",22,11,0,1/128.0,1/192.0,1/383.9,1/0.0
ゴーゴージャグラー3,336,"1,003",2,1,0,1/334.3,1/501.5,1/1003.0,1/0.0
ゴーゴージャグラー3,337,"3,114",12,8,0,1/155.7,1/259.5,1/389.2,1/0.0
ゴーゴージャグラー3,338,"5,600",33,23,0,1/100.0,1/169.7,1/243.5,1/0.0
ハナハナホウオウ～天翔～,424,817,1,2,0,1/272.3,1/817.0,1/408.5,1/0.0
ハナハナホウオウ～天翔～,425,593,4,0,0,1/148.2,1/148.2,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,460,1,3,0,1/115.0,1/460.0,1/153.3,1/0.0
ハナハナホウオウ～天翔～,427,"1,126",4,2,0,1/187.7,1/281.5,1/563.0,1/0.0
ゴッドイーター リザレクション,371,"1,273",0,1,6,1/181.9,1/0.0,1/1273.0,1/212.2
ゴッドイーター リザレクション,372,"1,434",0,2,3,1/286.8,1/0.0,1/717.0,1/478.0
ゴッドイーター リザレクション,373,"1,579",0,2,9,1/143.5,1/0.0,1/789.5,1/175.4
ファンキージャグラー2,339,"1,455",3,5,0,1/181.9,1/485.0,1/291.0,1/0.0
ファンキージャグラー2,340,"1,582",5,1,0,1/263.7,1/316.4,1/1582.0,1/0.0
ファンキージャグラー2,341,"3,105",9,2,0,1/282.3,1/345.0,1/1552.5,1/0.0
押忍！番長4,374,663,0,1,4,1/132.6,1/0.0,1/663.0,1/165.8
押忍！番長4,375,"2,255",0,4,12,1/140.9,1/0.0,1/563.8,1/187.9
押忍！番長4,376,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,398,"2,662",0,8,17,1/106.5,1/0.0,1/332.8,1/156.6
炎炎ノ消防隊,399,288,0,0,1,1/288.0,1/0.0,1/0.0,1/288.0
炎炎ノ消防隊,400,"1,315",0,5,3,1/164.4,1/0.0,1/263.0,1/438.3
D4DJ Pachi‐Slot Mix,356,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
D4DJ Pachi‐Slot Mix,357,"1,323",14,0,13,1/49.0,1/94.5,1/0.0,1/101.8
Re:ゼロから始める異世界生活 season2,362,821,0,0,3,1/273.7,1/0.0,1/0.0,1/273.7
Re:ゼロから始める異世界生活 season2,363,226,0,0,1,1/226.0,1/0.0,1/0.0,1/226.0
ありふれた職業で世界最強,366,"1,206",0,2,3,1/241.2,1/0.0,1/603.0,1/402.0
ありふれた職業で世界最強,367,773,0,1,2,1/257.7,1/0.0,1/773.0,1/386.5
サンダーVライトニング,422,"1,741",5,2,0,1/248.7,1/348.2,1/870.5,1/0.0
サンダーVライトニング,423,720,1,3,0,1/180.0,1/720.0,1/240.0,1/0.0
ジャグラーガールズ,333,"4,343",19,12,0,1/140.1,1/228.6,1/361.9,1/0.0
ジャグラーガールズ,334,"1,587",7,5,0,1/132.2,1/226.7,1/317.4,1/0.0
スマスロ炎炎ノ消防隊,350,"4,193",0,8,16,1/174.7,1/0.0,1/524.1,1/262.1
スマスロ炎炎ノ消防隊,351,"2,641",0,6,3,1/293.4,1/0.0,1/440.2,1/880.3
ダンベル何キロ持てる？,403,670,0,4,8,1/55.8,1/0.0,1/167.5,1/83.8
ダンベル何キロ持てる？,404,938,0,3,14,1/55.2,1/0.0,1/312.7,1/67.0
バンドリ！,401,793,0,2,2,1/198.2,1/0.0,1/396.5,1/396.5
バンドリ！,402,485,0,1,1,1/242.5,1/0.0,1/485.0,1/485.0
ミスタージャグラー,331,"2,331",9,7,0,1/145.7,1/259.0,1/333.0,1/0.0
ミスタージャグラー,332,"1,189",1,3,0,1/297.2,1/1189.0,1/396.3,1/0.0
モンキーターンV,369,"3,670",0,5,22,1/135.9,1/0.0,1/734.0,1/166.8
モンキーターンV,370,"3,100",0,6,25,1/100.0,1/0.0,1/516.7,1/124.0
戦国乙女4 戦乱に閃く炯眼の軍師,364,"1,902",8,0,3,1/172.9,1/237.8,1/0.0,1/634.0
戦国乙女4 戦乱に閃く炯眼の軍師,365,647,1,0,0,1/647.0,1/647.0,1/0.0,1/0.0
戦姫絶唱シンフォギア 正義の歌,352,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
戦姫絶唱シンフォギア 正義の歌,353,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍!番長ZERO,390,"2,494",0,3,21,1/103.9,1/0.0,1/831.3,1/118.8
押忍!番長ZERO,391,185,0,0,1,1/185.0,1/0.0,1/0.0,1/185.0
沖ドキ!GOLD,428,"2,545",31,9,0,1/63.6,1/82.1,1/282.8,1/0.0
沖ドキ!GOLD,429,217,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,396,"3,365",0,13,23,1/93.5,1/0.0,1/258.8,1/146.3
甲鉄城のカバネリ,397,999,0,3,3,1/166.5,1/0.0,1/333.0,1/333.0
革命機ヴァルヴレイヴ,354,"2,640",11,4,9,1/110.0,1/240.0,1/660.0,1/293.3
革命機ヴァルヴレイヴ,355,17,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
とある魔術の禁書目録,358,"2,326",0,13,6,1/122.4,1/0.0,1/178.9,1/387.7
スマスロ真・北斗無双,359,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゲゲゲの鬼太郎 覚醒,360,997,0,2,3,1/199.4,1/0.0,1/498.5,1/332.3
頭文字D 2nd,361,"1,034",0,2,9,1/94.0,1/0.0,1/517.0,1/114.9
モンスターハンターライズ,368,"3,120",0,6,12,1/173.3,1/0.0,1/520.0,1/260.0
バイオハザード5,377,"6,229",0,11,19,1/207.6,1/0.0,1/566.3,1/327.8
東京喰種,378,"6,813",0,18,39,1/119.5,1/0.0,1/378.5,1/174.7
スーパーブラックジャック,379,"2,513",0,2,24,1/96.7,1/0.0,1/1256.5,1/104.7
からくりサーカス,380,"3,705",0,6,37,1/86.2,1/0.0,1/617.5,1/100.1
L サラリーマン金太郎,381,553,0,1,0,1/553.0,1/0.0,1/553.0,1/0.0
コードギアス 反逆のルルーシュ/復活のルルーシュ,382,"2,453",0,6,25,1/79.1,1/0.0,1/408.8,1/98.1
