機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
アイムジャグラーEX-TP,319,478,-367,1,0,0,1/478.0,1/478.0,1/0.0,1/0.0
アイムジャグラーEX-TP,320,"5,892",+272,20,23,0,1/137.0,1/294.6,1/256.2,1/0.0
アイムジャグラーEX-TP,321,419,-438,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,322,"1,769",+276,8,4,0,1/147.4,1/221.1,1/442.2,1/0.0
アイムジャグラーEX-TP,323,"1,801",-906,4,3,0,1/257.3,1/450.2,1/600.3,1/0.0
アイムジャグラーEX-TP,324,"1,574",-472,3,6,0,1/174.9,1/524.7,1/262.3,1/0.0
アイムジャグラーEX-TP,325,"2,637","+1,632",16,6,0,1/119.9,1/164.8,1/439.5,1/0.0
スマスロ北斗の拳,342,"2,547",-841,19,8,0,1/94.3,1/134.1,1/318.4,1/0.0
スマスロ北斗の拳,343,"4,990","-1,252",40,16,0,1/89.1,1/124.8,1/311.9,1/0.0
スマスロ北斗の拳,344,"2,385","-2,639",6,2,0,1/298.1,1/397.5,1/1192.5,1/0.0
スマスロ北斗の拳,345,"2,442","+2,884",48,9,0,1/42.8,1/50.9,1/271.3,1/0.0
スマスロ北斗の拳,346,"1,613","+1,455",31,1,0,1/50.4,1/52.0,1/1613.0,1/0.0
スマスロ北斗の拳,347,"2,041","+1,546",28,4,0,1/63.8,1/72.9,1/510.2,1/0.0
スマスロ北斗の拳,348,"3,937","+2,041",60,8,0,1/57.9,1/65.6,1/492.1,1/0.0
マイジャグラーV,313,"6,915",+967,30,19,0,1/141.1,1/230.5,1/363.9,1/0.0
マイジャグラーV,314,"2,961",-283,9,13,0,1/134.6,1/329.0,1/227.8,1/0.0
マイジャグラーV,315,"5,083","+1,598",26,12,0,1/133.8,1/195.5,1/423.6,1/0.0
マイジャグラーV,316,"3,358",-470,11,9,0,1/167.9,1/305.3,1/373.1,1/0.0
マイジャグラーV,317,"2,090","-1,066",4,5,0,1/232.2,1/522.5,1/418.0,1/0.0
マイジャグラーV,318,"3,340",+482,16,6,0,1/151.8,1/208.8,1/556.7,1/0.0
Lゴッドイーター リザレクション,370,"3,572","-1,419",0,9,34,1/83.1,1/0.0,1/396.9,1/105.1
Lゴッドイーター リザレクション,371,"3,116","-1,928",0,8,25,1/94.4,1/0.0,1/389.5,1/124.6
Lゴッドイーター リザレクション,372,"2,079","+1,136",0,9,36,1/46.2,1/0.0,1/231.0,1/57.8
Lゴッドイーター リザレクション,373,"4,445",+917,0,16,73,1/49.9,1/0.0,1/277.8,1/60.9
ハッピージャグラーVIII,330,"1,658",+395,8,7,0,1/110.5,1/207.2,1/236.9,1/0.0
ハッピージャグラーVIII,331,"1,211",-777,2,2,0,1/302.8,1/605.5,1/605.5,1/0.0
ハッピージャグラーVIII,332,"1,866",-227,7,4,0,1/169.6,1/266.6,1/466.5,1/0.0
ハッピージャグラーVIII,333,"2,530",-827,7,6,0,1/194.6,1/361.4,1/421.7,1/0.0
ハナハナホウオウ～天翔～,424,405,-548,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,"1,870",+515,6,10,0,1/116.9,1/311.7,1/187.0,1/0.0
ハナハナホウオウ～天翔～,426,356,-379,0,1,0,1/356.0,1/0.0,1/356.0,1/0.0
ハナハナホウオウ～天翔～,427,"1,126",-14,4,4,0,1/140.8,1/281.5,1/281.5,1/0.0
甲鉄城のカバネリ,399,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,400,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,401,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,402,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,336,"6,260","+1,496",30,21,0,1/122.7,1/208.7,1/298.1,1/0.0
ゴーゴージャグラー3,337,"1,328","-1,007",3,1,0,1/332.0,1/442.7,1/1328.0,1/0.0
ゴーゴージャグラー3,338,"1,372","-1,135",2,1,0,1/457.3,1/686.0,1/1372.0,1/0.0
ゴールデンカムイ,403,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,404,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,405,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ファンキージャグラー2,339,"1,304",-839,3,1,0,1/326.0,1/434.7,1/1304.0,1/0.0
ファンキージャグラー2,340,"2,313",+765,12,5,0,1/136.1,1/192.8,1/462.6,1/0.0
ファンキージャグラー2,341,"6,138",+322,28,12,0,1/153.4,1/219.2,1/511.5,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,367,"2,304",-882,12,0,5,1/135.5,1/192.0,1/0.0,1/460.8
戦国乙女4 戦乱に閃く炯眼の軍師,368,597,-816,1,0,0,1/597.0,1/597.0,1/0.0,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,369,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD,326,627,"+2,482",15,3,0,1/34.8,1/41.8,1/209.0,1/0.0
沖ドキ!GOLD,327,107,-159,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
