台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"5,482",-956,17,13,1/182.7,1/322.5,1/421.7
1002,"1,242",-668,2,3,1/248.4,1/621.0,1/414.0
1003,"5,602","+1,738",27,17,1/127.3,1/207.5,1/329.5
1004,"4,607",-491,15,13,1/164.5,1/307.1,1/354.4
1005,"6,403","-1,076",19,20,1/164.2,1/337.0,1/320.1
1006,"2,416",-615,7,5,1/201.3,1/345.1,1/483.2
1007,"1,617",-762,4,2,1/269.5,1/404.2,1/808.5
1008,"2,259",-462,8,3,1/205.4,1/282.4,1/753.0
1009,"5,685",+256,27,9,1/157.9,1/210.6,1/631.7
1010,"1,906",-626,8,0,1/238.2,1/238.2,1/0.0
1011,"3,711","-1,135",10,7,1/218.3,1/371.1,1/530.1
1012,"6,255",+103,23,19,1/148.9,1/272.0,1/329.2
1013,"3,258","-1,288",8,10,1/181.0,1/407.2,1/325.8
1014,"5,564","-1,218",16,16,1/173.9,1/347.8,1/347.8
1015,"6,072","+2,074",28,24,1/116.8,1/216.9,1/253.0
1016,"4,939",+641,22,12,1/145.3,1/224.5,1/411.6
1017,"6,619","+1,500",28,23,1/129.8,1/236.4,1/287.8
1018,"7,349",+579,27,25,1/141.3,1/272.2,1/294.0
1019,971,-426,3,1,1/242.8,1/323.7,1/971.0
1020,"8,238",-194,30,25,1/149.8,1/274.6,1/329.5
1021,"8,744",-88,34,21,1/159.0,1/257.2,1/416.4
1022,"1,145",-632,2,2,1/286.2,1/572.5,1/572.5
1023,793,-668,1,1,1/396.5,1/793.0,1/793.0
1024,"6,303",+935,24,21,1/140.1,1/262.6,1/300.1
1025,"5,423",-185,19,17,1/150.6,1/285.4,1/319.0
1026,"4,661",-124,18,13,1/150.4,1/258.9,1/358.5
1027,"3,245","-1,053",10,8,1/180.3,1/324.5,1/405.6
1028,"9,495",+32,27,40,1/141.7,1/351.7,1/237.4
1029,"7,176",+559,30,17,1/152.7,1/239.2,1/422.1
1030,590,-544,0,1,1/590.0,1/0.0,1/590.0
1031,"2,406",-968,6,6,1/200.5,1/401.0,1/401.0
1032,"5,073","-1,312",12,16,1/181.2,1/422.8,1/317.1
1033,"2,623",-926,9,1,1/262.3,1/291.4,1/2623.0
1034,"1,725",-721,5,2,1/246.4,1/345.0,1/862.5
1035,"8,444","+1,288",30,36,1/127.9,1/281.5,1/234.6
1036,"5,584",-662,18,16,1/164.2,1/310.2,1/349.0
1037,"7,846",-179,27,28,1/142.7,1/290.6,1/280.2
1038,"9,234","+2,603",44,34,1/118.4,1/209.9,1/271.6
1039,"5,074",-703,18,11,1/175.0,1/281.9,1/461.3
1040,"1,660",-956,4,2,1/276.7,1/415.0,1/830.0
1041,"1,394",-868,2,2,1/348.5,1/697.0,1/697.0
1042,"4,206",-829,12,12,1/175.2,1/350.5,1/350.5
1043,"4,359",-868,12,11,1/189.5,1/363.2,1/396.3
1044,"7,179",-644,23,26,1/146.5,1/312.1,1/276.1
1045,"7,961",+285,31,29,1/132.7,1/256.8,1/274.5
1046,"2,542",-650,7,4,1/231.1,1/363.1,1/635.5
1047,"4,282",+426,19,9,1/152.9,1/225.4,1/475.8
1048,"1,474",-738,4,0,1/368.5,1/368.5,1/0.0
1049,"7,024","+2,038",35,18,1/132.5,1/200.7,1/390.2
1050,"3,540","-2,603",6,2,1/442.5,1/590.0,1/1770.0
1069,"6,113",-371,22,17,1/156.7,1/277.9,1/359.6
1070,"1,128",-732,3,1,1/282.0,1/376.0,1/1128.0
1071,"7,306",+935,28,32,1/121.8,1/260.9,1/228.3
1072,"2,060",-832,6,2,1/257.5,1/343.3,1/1030.0
1073,"3,860","-2,268",9,7,1/241.2,1/428.9,1/551.4
1074,"7,085",+806,32,15,1/150.7,1/221.4,1/472.3
1075,"5,450",-391,20,13,1/165.2,1/272.5,1/419.2
1076,"4,427",-250,17,8,1/177.1,1/260.4,1/553.4
1077,"5,177",+368,21,13,1/152.3,1/246.5,1/398.2
1078,"7,356","+1,265",33,21,1/136.2,1/222.9,1/350.3
1079,"6,327",+185,27,13,1/158.2,1/234.3,1/486.7
1080,"2,750",-656,8,4,1/229.2,1/343.8,1/687.5
1081,"3,109",-874,10,4,1/222.1,1/310.9,1/777.2
1082,"2,624",-621,9,5,1/187.4,1/291.6,1/524.8
1083,"3,381",-597,12,4,1/211.3,1/281.8,1/845.2
1084,"4,145",-829,14,8,1/188.4,1/296.1,1/518.1
1085,"8,296","+2,179",40,26,1/125.7,1/207.4,1/319.1
1086,"1,664","-1,018",3,2,1/332.8,1/554.7,1/832.0
1087,"4,015",-209,17,5,1/182.5,1/236.2,1/803.0
1088,"2,445",+174,11,4,1/163.0,1/222.3,1/611.2
1089,"6,222","-1,300",22,8,1/207.4,1/282.8,1/777.8
1090,"2,918",-368,10,6,1/182.4,1/291.8,1/486.3
1091,"3,956",-724,12,9,1/188.4,1/329.7,1/439.6
1092,"3,346","-1,582",9,3,1/278.8,1/371.8,1/1115.3
1093,"4,686",-568,16,11,1/173.6,1/292.9,1/426.0
1094,"3,887",+21,16,8,1/162.0,1/242.9,1/485.9
1095,"4,151","-1,524",11,11,1/188.7,1/377.4,1/377.4
1096,"5,714","+2,638",31,22,1/107.8,1/184.3,1/259.7
1097,"3,226",-556,12,7,1/169.8,1/268.8,1/460.9
1098,"4,966",-838,15,14,1/171.2,1/331.1,1/354.7
1099,"3,877",+91,14,14,1/138.5,1/276.9,1/276.9
