機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
アイムジャグラーEX-TP,457,"3,329",14,7,1/158.5,1/237.8,1/475.6
アイムジャグラーEX-TP,458,659,2,0,1/329.5,1/329.5,1/0.0
アイムジャグラーEX-TP,459,"3,739",18,7,1/149.6,1/207.7,1/534.1
アイムジャグラーEX-TP,460,"3,506",12,8,1/175.3,1/292.2,1/438.2
アイムジャグラーEX-TP,461,"1,523",4,3,1/217.6,1/380.8,1/507.7
アイムジャグラーEX-TP,462,"4,406",17,11,1/157.4,1/259.2,1/400.5
アイムジャグラーEX-TP,463,"1,499",5,3,1/187.4,1/299.8,1/499.7
アイムジャグラーEX-TP,464,"2,184",10,6,1/136.5,1/218.4,1/364.0
アイムジャグラーEX-TP,478,"1,203",2,1,1/401.0,1/601.5,1/1203.0
アイムジャグラーEX-TP,479,"6,025",25,12,1/162.8,1/241.0,1/502.1
アイムジャグラーEX-TP,480,"1,190",2,3,1/238.0,1/595.0,1/396.7
アイムジャグラーEX-TP,481,"3,919",16,11,1/145.1,1/244.9,1/356.3
アイムジャグラーEX-TP,482,"2,397",9,4,1/184.4,1/266.3,1/599.2
アイムジャグラーEX-TP,483,"3,622",11,4,1/241.5,1/329.3,1/905.5
アイムジャグラーEX-TP,484,638,1,1,1/319.0,1/638.0,1/638.0
アイムジャグラーEX-TP,485,"4,270",15,12,1/158.1,1/284.7,1/355.8
アイムジャグラーEX-TP,486,"3,499",15,5,1/174.9,1/233.3,1/699.8
アイムジャグラーEX-TP,487,791,3,1,1/197.8,1/263.7,1/791.0
アイムジャグラーEX-TP,488,517,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,489,"1,870",4,5,1/207.8,1/467.5,1/374.0
アイムジャグラーEX-TP,490,"4,206",16,12,1/150.2,1/262.9,1/350.5
アイムジャグラーEX-TP,491,317,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,492,"1,489",3,3,1/248.2,1/496.3,1/496.3
アイムジャグラーEX-TP,493,"1,686",7,2,1/187.3,1/240.9,1/843.0
アイムジャグラーEX-TP,494,"5,602",25,17,1/133.4,1/224.1,1/329.5
アイムジャグラーEX-TP,512,"1,739",5,3,1/217.4,1/347.8,1/579.7
アイムジャグラーEX-TP,513,179,1,0,1/179.0,1/179.0,1/0.0
マイジャグラーV,444,"5,255",16,15,1/169.5,1/328.4,1/350.3
マイジャグラーV,445,"3,236",9,7,1/202.2,1/359.6,1/462.3
マイジャグラーV,446,"4,331",17,8,1/173.2,1/254.8,1/541.4
マイジャグラーV,447,"1,016",3,0,1/338.7,1/338.7,1/0.0
マイジャグラーV,448,"6,391",29,11,1/159.8,1/220.4,1/581.0
マイジャグラーV,449,"1,740",6,4,1/174.0,1/290.0,1/435.0
マイジャグラーV,450,"5,423",17,15,1/169.5,1/319.0,1/361.5
マイジャグラーV,451,"3,045",17,2,1/160.3,1/179.1,1/1522.5
マイジャグラーV,452,"3,301",8,7,1/220.1,1/412.6,1/471.6
マイジャグラーV,453,"1,221",1,3,1/305.2,1/1221.0,1/407.0
マイジャグラーV,454,"4,561",14,20,1/134.1,1/325.8,1/228.1
マイジャグラーV,455,"1,622",5,2,1/231.7,1/324.4,1/811.0
マイジャグラーV,456,"3,169",13,10,1/137.8,1/243.8,1/316.9
マイジャグラーV,465,"3,578",15,7,1/162.6,1/238.5,1/511.1
マイジャグラーV,466,"3,020",12,7,1/158.9,1/251.7,1/431.4
マイジャグラーV,467,"3,550",12,10,1/161.4,1/295.8,1/355.0
マイジャグラーV,468,"2,466",8,7,1/164.4,1/308.2,1/352.3
マイジャグラーV,469,"1,852",4,4,1/231.5,1/463.0,1/463.0
マイジャグラーV,470,"5,193",18,15,1/157.4,1/288.5,1/346.2
マイジャグラーV,471,"4,713",13,18,1/152.0,1/362.5,1/261.8
マイジャグラーV,472,"2,535",7,5,1/211.2,1/362.1,1/507.0
マイジャグラーV,473,"3,617",15,8,1/157.3,1/241.1,1/452.1
マイジャグラーV,474,"3,006",9,5,1/214.7,1/334.0,1/601.2
マイジャグラーV,475,"3,130",8,8,1/195.6,1/391.2,1/391.2
マイジャグラーV,476,"4,721",20,12,1/147.5,1/236.1,1/393.4
マイジャグラーV,477,"5,611",23,17,1/140.3,1/244.0,1/330.1
