台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"8,515",+276,34,19,1/160.7,1/250.4,1/448.2
1002,"7,609","+1,315",34,22,1/135.9,1/223.8,1/345.9
1003,"8,660",+815,28,46,1/117.0,1/309.3,1/188.3
1004,"5,276","-1,053",16,11,1/195.4,1/329.8,1/479.6
1005,"8,783","+1,559",35,34,1/127.3,1/250.9,1/258.3
1006,"7,356","-1,147",23,21,1/167.2,1/319.8,1/350.3
1007,"6,506",-618,25,13,1/171.2,1/260.2,1/500.5
1008,"7,511",-315,27,21,1/156.5,1/278.2,1/357.7
1009,"5,809","-1,724",16,14,1/193.6,1/363.1,1/414.9
1010,"8,037","+2,232",33,35,1/118.2,1/243.5,1/229.6
1011,"7,664","+1,229",35,25,1/127.7,1/219.0,1/306.6
1012,"8,224",+947,35,21,1/146.9,1/235.0,1/391.6
1013,"8,732",+150,30,25,1/158.8,1/291.1,1/349.3
1014,"6,702",+556,27,22,1/136.8,1/248.2,1/304.6
1015,"7,922","+2,321",39,22,1/129.9,1/203.1,1/360.1
1016,"6,023",-315,22,16,1/158.5,1/273.8,1/376.4
1017,"4,993","+1,897",25,22,1/106.2,1/199.7,1/227.0
1018,"7,956","+1,288",31,31,1/128.3,1/256.6,1/256.6
1019,"5,352",+85,22,10,1/167.2,1/243.3,1/535.2
1020,"6,766","+1,121",31,13,1/153.8,1/218.3,1/520.5
1021,"7,730","+3,518",42,21,1/122.7,1/184.0,1/368.1
1022,"7,236",+276,27,21,1/150.8,1/268.0,1/344.6
1023,"8,401","+2,179",38,30,1/123.5,1/221.1,1/280.0
1024,"7,506",+768,30,21,1/147.2,1/250.2,1/357.4
1025,"8,691","+2,197",38,32,1/124.2,1/228.7,1/271.6
1026,"7,581",-732,25,18,1/176.3,1/303.2,1/421.2
1027,"6,368",-712,19,20,1/163.3,1/335.2,1/318.4
1028,"9,213","+2,391",35,44,1/116.6,1/263.2,1/209.4
1029,"8,592","+7,506",54,46,1/85.9,1/159.1,1/186.8
1030,"8,775","+2,674",35,41,1/115.5,1/250.7,1/214.0
1031,"8,224","+1,226",32,27,1/139.4,1/257.0,1/304.6
1032,"8,476","+2,444",38,29,1/126.5,1/223.1,1/292.3
1033,"7,657",-429,27,18,1/170.2,1/283.6,1/425.4
1034,"5,891",+15,21,19,1/147.3,1/280.5,1/310.1
1035,"8,050",+429,27,29,1/143.8,1/298.1,1/277.6
1036,"9,173","+1,121",33,37,1/131.0,1/278.0,1/247.9
1037,"6,707","-1,771",15,26,1/163.6,1/447.1,1/258.0
1038,"6,355",-26,24,15,1/162.9,1/264.8,1/423.7
1039,"5,339",+97,23,10,1/161.8,1/232.1,1/533.9
1040,"8,480","+3,259",38,41,1/107.3,1/223.2,1/206.8
1041,"7,529",-550,25,19,1/171.1,1/301.2,1/396.3
1042,"7,211",+371,25,31,1/128.8,1/288.4,1/232.6
1043,"8,588","+1,324",33,35,1/126.3,1/260.2,1/245.4
1044,"8,640",-276,32,25,1/151.6,1/270.0,1/345.6
1045,"7,119",-403,29,13,1/169.5,1/245.5,1/547.6
1046,"6,669",+421,28,19,1/141.9,1/238.2,1/351.0
1047,"7,382","+3,141",39,26,1/113.6,1/189.3,1/283.9
1048,"8,016",+179,27,27,1/148.4,1/296.9,1/296.9
1049,"8,440",+771,30,35,1/129.8,1/281.3,1/241.1
1050,"7,949","+1,015",34,21,1/144.5,1/233.8,1/378.5
1069,"6,236",-547,22,18,1/155.9,1/283.5,1/346.4
1070,"5,842","-1,456",17,11,1/208.6,1/343.6,1/531.1
1071,"7,741",+182,26,33,1/131.2,1/297.7,1/234.6
1072,"8,202","+1,488",31,39,1/117.2,1/264.6,1/210.3
1073,"5,850",-509,22,18,1/146.2,1/265.9,1/325.0
1074,"7,554","+1,029",31,25,1/134.9,1/243.7,1/302.2
1075,"8,578","+1,650",37,30,1/128.0,1/231.8,1/285.9
1076,"5,876","-1,100",16,18,1/172.8,1/367.2,1/326.4
1077,"9,183","+2,144",37,41,1/117.7,1/248.2,1/224.0
1078,"7,832",-159,27,25,1/150.6,1/290.1,1/313.3
1079,"7,967","+1,159",30,32,1/128.5,1/265.6,1/249.0
1080,"7,996","+4,279",45,28,1/109.5,1/177.7,1/285.6
1081,"6,520","+1,632",33,14,1/138.7,1/197.6,1/465.7
1082,"8,508","+1,879",35,34,1/123.3,1/243.1,1/250.2
1083,"9,092","+1,571",33,37,1/129.9,1/275.5,1/245.7
1084,"8,326","-1,112",26,25,1/163.3,1/320.2,1/333.0
1085,"5,818",-915,21,10,1/187.7,1/277.0,1/581.8
1086,"8,983","+4,368",37,64,1/88.9,1/242.8,1/140.4
1087,"8,619","+2,038",34,38,1/119.7,1/253.5,1/226.8
1088,"5,695",-138,24,10,1/167.5,1/237.3,1/569.5
1089,"7,843",-756,24,24,1/163.4,1/326.8,1/326.8
1090,"9,289","+1,579",38,36,1/125.5,1/244.4,1/258.0
1091,"7,436",+88,27,22,1/151.8,1/275.4,1/338.0
1092,"9,068","+2,835",47,22,1/131.4,1/192.9,1/412.2
1093,"7,018","-1,332",22,18,1/175.4,1/319.0,1/389.9
1094,"8,133","+1,829",31,39,1/116.2,1/262.4,1/208.5
1095,"4,906","-1,488",14,9,1/213.3,1/350.4,1/545.1
1096,"7,084",+785,35,15,1/141.7,1/202.4,1/472.3
1097,"4,323",-526,14,11,1/172.9,1/308.8,1/393.0
1098,"7,221","-1,174",21,25,1/157.0,1/343.9,1/288.8
1099,"5,252","-1,632",15,11,1/202.0,1/350.1,1/477.5
