機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,833,"+8,834",72,1,0,1/11.4,1/11.6,1/833.0,1/0.0
スマスロ北斗の拳,343,"1,516",-924,9,3,0,1/126.3,1/168.4,1/505.3,1/0.0
スマスロ北斗の拳,344,"3,098","-1,697",20,7,0,1/114.7,1/154.9,1/442.6,1/0.0
スマスロ北斗の拳,345,944,-478,7,1,0,1/118.0,1/134.9,1/944.0,1/0.0
スマスロ北斗の拳,346,596,-722,1,1,0,1/298.0,1/596.0,1/596.0,1/0.0
スマスロ北斗の拳,347,240,-165,1,1,0,1/120.0,1/240.0,1/240.0,1/0.0
スマスロ北斗の拳,348,863,+152,10,2,0,1/71.9,1/86.3,1/431.5,1/0.0
スマスロ北斗の拳,349,664,+351,9,2,0,1/60.4,1/73.8,1/332.0,1/0.0
アイムジャグラーEX-TP,319,"2,215","-1,036",5,4,0,1/246.1,1/443.0,1/553.8,1/0.0
アイムジャグラーEX-TP,320,"4,555",-287,19,7,0,1/175.2,1/239.7,1/650.7,1/0.0
アイムジャグラーEX-TP,321,"1,119",-483,3,2,0,1/223.8,1/373.0,1/559.5,1/0.0
アイムジャグラーEX-TP,322,"4,760",-954,17,8,0,1/190.4,1/280.0,1/595.0,1/0.0
アイムジャグラーEX-TP,323,"5,031","-1,126",17,8,0,1/201.2,1/295.9,1/628.9,1/0.0
アイムジャグラーEX-TP,324,"1,394",-537,4,2,0,1/232.3,1/348.5,1/697.0,1/0.0
アイムジャグラーEX-TP,325,"6,114","+1,308",29,16,0,1/135.9,1/210.8,1/382.1,1/0.0
マイジャグラーV,313,"1,988",-866,4,5,0,1/220.9,1/497.0,1/397.6,1/0.0
マイジャグラーV,314,"4,677",+431,20,10,0,1/155.9,1/233.8,1/467.7,1/0.0
マイジャグラーV,315,"3,151",-107,11,8,0,1/165.8,1/286.5,1/393.9,1/0.0
マイジャグラーV,316,"1,947",-765,4,5,0,1/216.3,1/486.8,1/389.4,1/0.0
マイジャグラーV,317,"5,763","+1,044",27,17,0,1/131.0,1/213.4,1/339.0,1/0.0
マイジャグラーV,318,"2,738",+1,12,7,0,1/144.1,1/228.2,1/391.1,1/0.0
ハッピージャグラーVIII,328,"1,731",-719,4,5,0,1/192.3,1/432.8,1/346.2,1/0.0
ハッピージャグラーVIII,329,"1,237",-275,5,2,0,1/176.7,1/247.4,1/618.5,1/0.0
ハッピージャグラーVIII,330,"4,288","-1,001",11,15,0,1/164.9,1/389.8,1/285.9,1/0.0
ハッピージャグラーVIII,331,"1,307",-501,2,4,0,1/217.8,1/653.5,1/326.8,1/0.0
ハッピージャグラーVIII,332,"2,178",-146,8,6,0,1/155.6,1/272.2,1/363.0,1/0.0
ゴーゴージャグラー3,335,"1,853",+301,10,5,0,1/123.5,1/185.3,1/370.6,1/0.0
