機種名,台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,1001,"1,324",-562,4,1,1/264.8,1/331.0,1/1324.0
マイジャグラーV,1002,"6,888",+782,31,12,1/160.2,1/222.2,1/574.0
マイジャグラーV,1003,"1,334",-426,4,2,1/222.3,1/333.5,1/667.0
マイジャグラーV,1004,"1,069",-162,5,1,1/178.2,1/213.8,1/1069.0
マイジャグラーV,1005,"5,295",-915,15,18,1/160.5,1/353.0,1/294.2
マイジャグラーV,1006,"2,223",+291,10,4,1/158.8,1/222.3,1/555.8
マイジャグラーV,1007,"4,321","+2,444",26,12,1/113.7,1/166.2,1/360.1
マイジャグラーV,1008,"2,861",-697,9,8,1/168.3,1/317.9,1/357.6
マイジャグラーV,1009,275,-332,0,0,1/0.0,1/0.0,1/0.0
マイジャグラーV,1010,"3,324","+2,426",20,13,1/100.7,1/166.2,1/255.7
マイジャグラーV,1011,"2,714",-562,9,3,1/226.2,1/301.6,1/904.7
マイジャグラーV,1012,"1,689",-509,5,2,1/241.3,1/337.8,1/844.5
マイジャグラーV,1013,"1,590",-574,4,5,1/176.7,1/397.5,1/318.0
マイジャグラーV,1014,"3,533",+888,17,9,1/135.9,1/207.8,1/392.6
マイジャグラーV,1015,585,-315,1,2,1/195.0,1/585.0,1/292.5
マイジャグラーV,1016,"1,449",-256,5,2,1/207.0,1/289.8,1/724.5
マイジャグラーV,1017,"1,668",+250,8,3,1/151.6,1/208.5,1/556.0
マイジャグラーV,1018,"1,367",-115,6,1,1/195.3,1/227.8,1/1367.0
マイジャグラーV,1019,"2,043","-1,606",2,4,1/340.5,1/1021.5,1/510.8
マイジャグラーV,1020,"2,320","-1,288",5,4,1/257.8,1/464.0,1/580.0
マイジャグラーV,1021,"3,833","+1,065",20,11,1/123.6,1/191.7,1/348.5
マイジャグラーV,1022,"5,907",+656,21,23,1/134.2,1/281.3,1/256.8
マイジャグラーV,1023,357,-421,0,0,1/0.0,1/0.0,1/0.0
マイジャグラーV,1024,"7,098",+382,29,23,1/136.5,1/244.8,1/308.6
マイジャグラーV,1025,621,-262,1,1,1/310.5,1/621.0,1/621.0
マイジャグラーV,1026,"5,561","+1,950",26,24,1/111.2,1/213.9,1/231.7
マイジャグラーV,1027,"3,779",-526,13,11,1/157.5,1/290.7,1/343.5
マイジャグラーV,1028,"2,956",+179,12,8,1/147.8,1/246.3,1/369.5
マイジャグラーV,1029,"4,542","+1,829",25,11,1/126.2,1/181.7,1/412.9
マイジャグラーV,1030,"2,567",+9,11,4,1/171.1,1/233.4,1/641.8
マイジャグラーV,1031,839,-350,3,0,1/279.7,1/279.7,1/0.0
マイジャグラーV,1032,"2,391",-126,10,4,1/170.8,1/239.1,1/597.8
マイジャグラーV,1033,"2,248",+232,11,3,1/160.6,1/204.4,1/749.3
マイジャグラーV,1034,"5,897",+97,20,18,1/155.2,1/294.9,1/327.6
マイジャグラーV,1035,"1,703",-103,7,2,1/189.2,1/243.3,1/851.5
マイジャグラーV,1036,"2,317",+91,12,1,1/178.2,1/193.1,1/2317.0
マイジャグラーV,1037,"3,712",-674,11,12,1/161.4,1/337.5,1/309.3
マイジャグラーV,1038,"2,717",-68,9,7,1/169.8,1/301.9,1/388.1
