機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,407",-92,16,5,0,1/67.0,1/87.9,1/281.4,1/0.0
スマスロ北斗の拳,343,"1,386","-1,189",4,2,0,1/231.0,1/346.5,1/693.0,1/0.0
スマスロ北斗の拳,344,321,-296,1,1,0,1/160.5,1/321.0,1/321.0,1/0.0
スマスロ北斗の拳,345,621,-333,3,1,0,1/155.2,1/207.0,1/621.0,1/0.0
スマスロ北斗の拳,346,763,+74,9,5,0,1/54.5,1/84.8,1/152.6,1/0.0
スマスロ北斗の拳,347,950,-879,3,2,0,1/190.0,1/316.7,1/475.0,1/0.0
スマスロ北斗の拳,348,"3,364","-1,157",28,9,0,1/90.9,1/120.1,1/373.8,1/0.0
スマスロ北斗の拳,349,"1,016",+10,11,3,0,1/72.6,1/92.4,1/338.7,1/0.0
アイムジャグラーEX-TP,319,"1,092",-493,3,2,0,1/218.4,1/364.0,1/546.0,1/0.0
アイムジャグラーEX-TP,320,894,-235,3,1,0,1/223.5,1/298.0,1/894.0,1/0.0
アイムジャグラーEX-TP,321,"4,909",-202,19,12,0,1/158.4,1/258.4,1/409.1,1/0.0
アイムジャグラーEX-TP,322,"1,501",-594,4,2,0,1/250.2,1/375.2,1/750.5,1/0.0
アイムジャグラーEX-TP,323,510,-692,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,324,"4,339",-296,14,13,0,1/160.7,1/309.9,1/333.8,1/0.0
アイムジャグラーEX-TP,325,"3,504",+201,15,6,0,1/166.9,1/233.6,1/584.0,1/0.0
マイジャグラーV,313,"3,911",-569,15,7,0,1/177.8,1/260.7,1/558.7,1/0.0
マイジャグラーV,314,"3,395",-217,14,7,0,1/161.7,1/242.5,1/485.0,1/0.0
マイジャグラーV,315,"1,460","-1,518",1,1,0,1/730.0,1/1460.0,1/1460.0,1/0.0
マイジャグラーV,316,"3,824",+160,17,6,0,1/166.3,1/224.9,1/637.3,1/0.0
マイジャグラーV,317,"2,479",-135,10,3,0,1/190.7,1/247.9,1/826.3,1/0.0
マイジャグラーV,318,"2,819",-206,12,5,0,1/165.8,1/234.9,1/563.8,1/0.0
ハッピージャグラーVIII,330,"1,373",+248,6,3,0,1/152.6,1/228.8,1/457.7,1/0.0
ハッピージャグラーVIII,331,"2,624",+87,11,6,0,1/154.4,1/238.5,1/437.3,1/0.0
ハッピージャグラーVIII,332,"1,233",+238,6,3,0,1/137.0,1/205.5,1/411.0,1/0.0
ハッピージャグラーVIII,333,"2,351",+175,12,2,0,1/167.9,1/195.9,1/1175.5,1/0.0
ハナハナホウオウ～天翔～-30,425,"3,804","-2,303",5,5,0,1/380.4,1/760.8,1/760.8,1/0.0
ハナハナホウオウ～天翔～-30,426,907,-232,1,4,0,1/181.4,1/907.0,1/226.8,1/0.0
ハナハナホウオウ～天翔～-30,427,"6,456","-1,454",19,11,0,1/215.2,1/339.8,1/586.9,1/0.0
ハナハナホウオウ～天翔～-30,428,235,-47,1,0,0,1/235.0,1/235.0,1/0.0,1/0.0
甲鉄城のカバネリ,399,"3,145","-1,815",0,13,12,1/125.8,1/0.0,1/241.9,1/262.1
甲鉄城のカバネリ,400,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
甲鉄城のカバネリ,401,497,+113,0,1,5,1/82.8,1/0.0,1/497.0,1/99.4
甲鉄城のカバネリ,402,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴーゴージャグラー3,336,"1,567",-666,5,3,0,1/195.9,1/313.4,1/522.3,1/0.0
ゴーゴージャグラー3,337,"4,816","+1,304",25,12,0,1/130.2,1/192.6,1/401.3,1/0.0
ゴーゴージャグラー3,338,864,-458,3,1,0,1/216.0,1/288.0,1/864.0,1/0.0
ゴッドイーター リザレクション,371,"3,758","-1,184",0,9,26,1/107.4,1/0.0,1/417.6,1/144.5
ゴッドイーター リザレクション,372,"5,006","+5,939",0,10,57,1/74.7,1/0.0,1/500.6,1/87.8
ゴッドイーター リザレクション,373,"4,384","+4,872",0,4,47,1/86.0,1/0.0,1/1096.0,1/93.3
ファンキージャグラー2,339,"2,438",-401,7,9,0,1/152.4,1/348.3,1/270.9,1/0.0
ファンキージャグラー2,340,"4,076",+647,18,12,0,1/135.9,1/226.4,1/339.7,1/0.0
ファンキージャグラー2,341,"2,803",-488,10,6,0,1/175.2,1/280.3,1/467.2,1/0.0
戦国乙女4 戦乱に閃く炯眼の軍師,368,"2,327",+531,11,0,11,1/105.8,1/211.5,1/0.0,1/211.5
戦国乙女4 戦乱に閃く炯眼の軍師,369,"1,358",+720,11,0,6,1/79.9,1/123.5,1/0.0,1/226.3
戦国乙女4 戦乱に閃く炯眼の軍師,370,"1,497","+1,624",7,0,7,1/106.9,1/213.9,1/0.0,1/213.9
ToLOVEるダークネス,374,"2,864",-572,23,0,9,1/89.5,1/124.5,1/0.0,1/318.2
ToLOVEるダークネス,375,"4,435",-760,22,0,9,1/143.1,1/201.6,1/0.0,1/492.8
ゴールデンカムイ,352,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴールデンカムイ,353,0,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
サンダーVライトニング,422,"1,057",-510,3,1,0,1/264.2,1/352.3,1/1057.0,1/0.0
サンダーVライトニング,423,75,-98,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ジャグラーガールズ,334,"1,351",-650,3,4,0,1/193.0,1/450.3,1/337.8,1/0.0
ジャグラーガールズ,335,"4,981",-254,18,15,0,1/150.9,1/276.7,1/332.1,1/0.0
スマスロキングパルサー,356,655,-407,1,3,0,1/163.8,1/655.0,1/218.3,1/0.0
スマスロキングパルサー,357,813,+88,4,1,0,1/162.6,1/203.2,1/813.0,1/0.0
スマスロ真・北斗無双,350,347,-456,1,0,1,1/173.5,1/347.0,1/0.0,1/347.0
スマスロ真・北斗無双,351,870,-915,3,0,2,1/174.0,1/290.0,1/0.0,1/435.0
