台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1001,"8,472","+2,268",37,35,1/117.7,1/229.0,1/242.1
1002,"5,860",-768,22,10,1/183.1,1/266.4,1/586.0
1003,"8,275","+2,718",34,40,1/111.8,1/243.4,1/206.9
1004,"6,090",-759,22,17,1/156.2,1/276.8,1/358.2
1005,"6,024",+303,23,19,1/143.4,1/261.9,1/317.1
1006,"7,630",-112,27,24,1/149.6,1/282.6,1/317.9
1007,"6,385",+124,26,15,1/155.7,1/245.6,1/425.7
1008,"8,383","+4,397",42,38,1/104.8,1/199.6,1/220.6
1009,"6,068",+356,26,13,1/155.6,1/233.4,1/466.8
1010,"6,221",+585,24,19,1/144.7,1/259.2,1/327.4
1011,"7,962",+497,35,19,1/147.4,1/227.5,1/419.1
1012,"4,247","-1,876",10,10,1/212.3,1/424.7,1/424.7
1013,"6,394","-1,124",20,20,1/159.8,1/319.7,1/319.7
1014,"4,034","-2,162",9,5,1/288.1,1/448.2,1/806.8
1015,"3,190","-1,606",7,8,1/212.7,1/455.7,1/398.8
1016,"8,183","+2,003",33,40,1/112.1,1/248.0,1/204.6
1017,"5,834","-1,300",20,8,1/208.4,1/291.7,1/729.2
1018,"4,505",-32,18,8,1/173.3,1/250.3,1/563.1
1019,"6,158",+444,26,18,1/140.0,1/236.8,1/342.1
1020,"6,909",+403,27,14,1/168.5,1/255.9,1/493.5
1021,"8,168","+1,844",39,21,1/136.1,1/209.4,1/389.0
1022,"8,736","+2,444",36,37,1/119.7,1/242.7,1/236.1
1023,"6,567","+2,835",34,21,1/119.4,1/193.1,1/312.7
1024,"5,669",-203,22,15,1/153.2,1/257.7,1/377.9
1025,"6,213","-1,171",18,17,1/177.5,1/345.2,1/365.5
1026,"8,056","+1,371",30,34,1/125.9,1/268.5,1/236.9
1027,"4,405","-1,512",13,5,1/244.7,1/338.8,1/881.0
1028,"6,318",-771,22,16,1/166.3,1/287.2,1/394.9
1029,"8,952","+2,412",35,46,1/110.5,1/255.8,1/194.6
1030,"8,719","+1,453",35,30,1/134.1,1/249.1,1/290.6
1031,"8,050","+2,144",32,38,1/115.0,1/251.6,1/211.8
1032,"5,930",-559,20,16,1/164.7,1/296.5,1/370.6
1033,"7,715",+759,31,22,1/145.6,1/248.9,1/350.7
1034,"6,392",+162,26,18,1/145.3,1/245.8,1/355.1
1035,"7,014",+418,27,20,1/149.2,1/259.8,1/350.7
1036,"8,670","+2,497",37,32,1/125.7,1/234.3,1/270.9
1037,"8,739","+8,444",58,40,1/89.2,1/150.7,1/218.5
1038,"7,128","+4,691",43,33,1/93.8,1/165.8,1/216.0
1039,"6,746","-1,288",19,20,1/173.0,1/355.1,1/337.3
1040,"6,093","-1,371",20,13,1/184.6,1/304.6,1/468.7
1041,"7,332",-676,25,16,1/178.8,1/293.3,1/458.2
1042,"5,705",-391,21,12,1/172.9,1/271.7,1/475.4
1043,"8,126",+785,31,24,1/147.7,1/262.1,1/338.6
1044,"8,981","+2,709",41,29,1/128.3,1/219.0,1/309.7
1045,"6,149",-232,21,19,1/153.7,1/292.8,1/323.6
1046,"4,670",-674,16,10,1/179.6,1/291.9,1/467.0
1047,"6,613",+356,25,19,1/150.3,1/264.5,1/348.1
1048,"7,179",+182,29,19,1/149.6,1/247.6,1/377.8
1049,"7,023","+1,041",31,21,1/135.1,1/226.5,1/334.4
1050,"5,566",-935,18,13,1/179.5,1/309.2,1/428.2
1069,"4,000","-1,076",14,5,1/210.5,1/285.7,1/800.0
1070,"7,615","+1,806",33,34,1/113.7,1/230.8,1/224.0
1071,"3,233",-826,11,4,1/215.5,1/293.9,1/808.2
1072,"8,582","+2,765",41,30,1/120.9,1/209.3,1/286.1
1073,"8,066","+1,265",37,24,1/132.2,1/218.0,1/336.1
1074,"4,294","-1,276",11,10,1/204.5,1/390.4,1/429.4
1075,"5,633","-1,218",20,7,1/208.6,1/281.6,1/804.7
1076,"8,898","+3,518",42,35,1/115.6,1/211.9,1/254.2
1077,"6,027",-806,22,10,1/188.3,1/274.0,1/602.7
1078,"6,487","-2,074",18,16,1/190.8,1/360.4,1/405.4
1079,"4,145","-1,171",10,13,1/180.2,1/414.5,1/318.8
1080,"8,937","-1,312",25,26,1/175.2,1/357.5,1/343.7
1081,"8,157",-700,25,28,1/153.9,1/326.3,1/291.3
1082,"6,404",-709,24,11,1/183.0,1/266.8,1/582.2
1083,"5,847",-971,20,14,1/172.0,1/292.4,1/417.6
1084,"5,902",+579,29,6,1/168.6,1/203.5,1/983.7
1085,"7,065",-126,29,15,1/160.6,1/243.6,1/471.0
1086,"8,257","+1,826",36,30,1/125.1,1/229.4,1/275.2
1087,"8,626","+3,635",41,37,1/110.6,1/210.4,1/233.1
1088,"3,257","-1,547",7,7,1/232.6,1/465.3,1/465.3
1089,"8,126","+3,165",46,19,1/125.0,1/176.7,1/427.7
1090,"4,396",-971,13,10,1/191.1,1/338.2,1/439.6
1091,"7,830",+594,28,30,1/135.0,1/279.6,1/261.0
1092,"7,955","+1,182",29,40,1/115.3,1/274.3,1/198.9
1093,"8,577","+1,429",36,32,1/126.1,1/238.2,1/268.0
1094,"8,631",+115,36,23,1/146.3,1/239.8,1/375.3
1095,"4,961","-1,335",14,12,1/190.8,1/354.4,1/413.4
1096,"7,905",+206,32,21,1/149.2,1/247.0,1/376.4
1097,"6,574","+3,400",34,27,1/107.8,1/193.4,1/243.5
1098,"7,252","+2,091",33,26,1/122.9,1/219.8,1/278.9
1099,"5,249",-6,21,10,1/169.3,1/250.0,1/524.9
