台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,4420,13,14,0,1194,1/340.0,1/315.7,0.0,163.7,393
1002,1751,5,4,0,416,1/350.2,1/437.8,0.0,194.6,356
1003,4027,12,11,0,898,1/335.6,1/366.1,0.0,175.1,242
1004,1501,5,3,0,402,1/300.2,1/500.3,0.0,187.6,276
1005,7263,26,21,0,1066,1/279.3,1/345.9,0.0,154.5,54
1006,5931,30,26,0,3053,1/197.7,1/228.1,0.0,105.9,177
1007,831,4,0,0,631,1/207.8,1/0.0,0.0,207.8,150
1008,2016,3,6,0,393,1/672.0,1/336.0,0.0,224.0,252
1009,7648,36,32,0,3113,1/212.4,1/239.0,0.0,112.5,225
1010,3306,9,9,0,436,1/367.3,1/367.3,0.0,183.7,49
1011,3310,13,15,0,1337,1/254.6,1/220.7,0.0,118.2,183
1012,6318,26,21,0,2420,1/243.0,1/300.9,0.0,134.4,305
1013,329,1,0,0,248,1/329.0,1/0.0,0.0,329.0,444
1014,1915,6,3,0,570,1/319.2,1/638.3,0.0,212.8,335
1015,3726,13,12,0,1155,1/286.6,1/310.5,0.0,149.0,255
1016,2946,8,7,0,925,1/368.3,1/420.9,0.0,196.4,31
1017,367,1,0,0,252,1/367.0,1/0.0,0.0,367.0,291
1018,1606,6,3,0,863,1/267.7,1/535.3,0.0,178.4,314
1019,5547,21,20,0,2028,1/264.1,1/277.4,0.0,135.3,232
1020,3251,9,10,0,806,1/361.2,1/325.1,0.0,171.1,122
1021,4851,19,15,0,1267,1/255.3,1/323.4,0.0,142.7,91
1022,2378,5,6,0,472,1/475.6,1/396.3,0.0,216.2,1057
1023,2033,6,8,0,646,1/338.8,1/254.1,0.0,145.2,412
1024,5093,15,21,0,721,1/339.5,1/242.5,0.0,141.5,498
1025,602,2,1,0,340,1/301.0,1/602.0,0.0,200.7,553
1026,6425,19,25,0,1355,1/338.2,1/257.0,0.0,146.0,57
1027,5500,18,18,0,1016,1/305.6,1/305.6,0.0,152.8,109
