機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,280",11,2,0,1/98.5,1/116.4,1/640.0,1/0.0
スマスロ北斗の拳,343,"2,277",19,5,0,1/94.9,1/119.8,1/455.4,1/0.0
スマスロ北斗の拳,344,468,3,1,0,1/117.0,1/156.0,1/468.0,1/0.0
スマスロ北斗の拳,345,525,2,2,0,1/131.2,1/262.5,1/262.5,1/0.0
スマスロ北斗の拳,346,662,3,2,0,1/132.4,1/220.7,1/331.0,1/0.0
スマスロ北斗の拳,347,839,9,2,0,1/76.3,1/93.2,1/419.5,1/0.0
スマスロ北斗の拳,348,"1,853",16,3,0,1/97.5,1/115.8,1/617.7,1/0.0
スマスロ北斗の拳,349,638,6,3,0,1/70.9,1/106.3,1/212.7,1/0.0
アイムジャグラーEX-TP,319,"3,300",11,11,0,1/150.0,1/300.0,1/300.0,1/0.0
アイムジャグラーEX-TP,320,"2,849",8,8,0,1/178.1,1/356.1,1/356.1,1/0.0
アイムジャグラーEX-TP,321,"2,390",11,2,0,1/183.8,1/217.3,1/1195.0,1/0.0
アイムジャグラーEX-TP,322,"3,554",11,12,0,1/154.5,1/323.1,1/296.2,1/0.0
アイムジャグラーEX-TP,323,850,2,0,0,1/425.0,1/425.0,1/0.0,1/0.0
アイムジャグラーEX-TP,324,"2,985",10,9,0,1/157.1,1/298.5,1/331.7,1/0.0
アイムジャグラーEX-TP,325,"6,565",31,21,0,1/126.2,1/211.8,1/312.6,1/0.0
マイジャグラーV,313,"4,517",14,11,0,1/180.7,1/322.6,1/410.6,1/0.0
マイジャグラーV,314,"7,115",29,18,0,1/151.4,1/245.3,1/395.3,1/0.0
マイジャグラーV,315,"1,955",8,3,0,1/177.7,1/244.4,1/651.7,1/0.0
マイジャグラーV,316,"6,817",34,21,0,1/123.9,1/200.5,1/324.6,1/0.0
マイジャグラーV,317,"2,607",12,6,0,1/144.8,1/217.2,1/434.5,1/0.0
マイジャグラーV,318,"3,752",17,12,0,1/129.4,1/220.7,1/312.7,1/0.0
ハッピージャグラーVIII,326,"2,554",12,6,0,1/141.9,1/212.8,1/425.7,1/0.0
ハッピージャグラーVIII,327,"1,764",4,7,0,1/160.4,1/441.0,1/252.0,1/0.0
ハッピージャグラーVIII,328,"1,946",8,5,0,1/149.7,1/243.2,1/389.2,1/0.0
ハッピージャグラーVIII,329,"8,012",31,34,0,1/123.3,1/258.5,1/235.6,1/0.0
ハッピージャグラーVIII,330,497,0,1,0,1/497.0,1/0.0,1/497.0,1/0.0
ゴーゴージャグラー3,335,"1,763",2,3,0,1/352.6,1/881.5,1/587.7,1/0.0
ゴーゴージャグラー3,336,"4,780",19,13,0,1/149.4,1/251.6,1/367.7,1/0.0
ゴーゴージャグラー3,337,"2,986",9,9,0,1/165.9,1/331.8,1/331.8,1/0.0
ゴーゴージャグラー3,338,536,2,0,0,1/268.0,1/268.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,424,78,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,501,2,0,0,1/250.5,1/250.5,1/0.0,1/0.0
ハナハナホウオウ～天翔～,426,"3,116",12,8,0,1/155.8,1/259.7,1/389.5,1/0.0
ハナハナホウオウ～天翔～,427,555,2,0,0,1/277.5,1/277.5,1/0.0,1/0.0
ゴッドイーター リザレクション,371,965,0,1,5,1/160.8,1/0.0,1/965.0,1/193.0
ゴッドイーター リザレクション,372,"2,811",0,4,21,1/112.4,1/0.0,1/702.8,1/133.9
ゴッドイーター リザレクション,373,"2,627",0,5,14,1/138.3,1/0.0,1/525.4,1/187.6
ファンキージャグラー2,339,"6,394",37,9,0,1/139.0,1/172.8,1/710.4,1/0.0
ファンキージャグラー2,340,"3,933",21,9,0,1/131.1,1/187.3,1/437.0,1/0.0
ファンキージャグラー2,341,"2,771",9,6,0,1/184.7,1/307.9,1/461.8,1/0.0
押忍！番長4,374,"1,729",0,2,8,1/172.9,1/0.0,1/864.5,1/216.1
押忍！番長4,375,"1,646",0,4,10,1/117.6,1/0.0,1/411.5,1/164.6
押忍！番長4,376,"1,241",0,1,7,1/155.1,1/0.0,1/1241.0,1/177.3
炎炎ノ消防隊,398,337,0,2,0,1/168.5,1/0.0,1/168.5,1/0.0
炎炎ノ消防隊,399,36,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,400,223,0,2,0,1/111.5,1/0.0,1/111.5,1/0.0
D4DJ Pachi‐Slot Mix,356,481,1,0,1,1/240.5,1/481.0,1/0.0,1/481.0
D4DJ Pachi‐Slot Mix,357,"1,157",14,0,20,1/34.0,1/82.6,1/0.0,1/57.9
Re:ゼロから始める異世界生活 season2,362,"1,912",0,0,17,1/112.5,1/0.0,1/0.0,1/112.5
Re:ゼロから始める異世界生活 season2,363,"3,486",0,0,16,1/217.9,1/0.0,1/0.0,1/217.9
ありふれた職業で世界最強,366,695,0,2,3,1/139.0,1/0.0,1/347.5,1/231.7
ありふれた職業で世界最強,367,"2,722",0,7,12,1/143.3,1/0.0,1/388.9,1/226.8
サンダーVライトニング,422,369,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
サンダーVライトニング,423,246,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ジャグラーガールズ,333,509,1,1,0,1/254.5,1/509.0,1/509.0,1/0.0
ジャグラーガールズ,334,"2,162",10,3,0,1/166.3,1/216.2,1/720.7,1/0.0
スマスロ炎炎ノ消防隊,350,"1,924",0,2,14,1/120.2,1/0.0,1/962.0,1/137.4
スマスロ炎炎ノ消防隊,351,"2,477",0,5,9,1/176.9,1/0.0,1/495.4,1/275.2
ダンベル何キロ持てる？,403,"3,374",0,11,83,1/35.9,1/0.0,1/306.7,1/40.7
ダンベル何キロ持てる？,404,"2,547",0,7,20,1/94.3,1/0.0,1/363.9,1/127.3
バンドリ！,401,"1,663",0,2,10,1/138.6,1/0.0,1/831.5,1/166.3
バンドリ！,402,675,0,1,1,1/337.5,1/0.0,1/675.0,1/675.0
ミスタージャグラー,331,"2,024",3,4,0,1/289.1,1/674.7,1/506.0,1/0.0
ミスタージャグラー,332,"5,170",20,14,0,1/152.1,1/258.5,1/369.3,1/0.0
モンキーターンV,369,"5,501",0,15,36,1/107.9,1/0.0,1/366.7,1/152.8
モンキーターンV,370,"5,074",0,12,30,1/120.8,1/0.0,1/422.8,1/169.1
