機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,969,10,2,0,1/80.8,1/96.9,1/484.5,1/0.0
スマスロ北斗の拳,343,74,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,344,730,1,1,0,1/365.0,1/730.0,1/730.0,1/0.0
スマスロ北斗の拳,345,791,26,1,0,1/29.3,1/30.4,1/791.0,1/0.0
スマスロ北斗の拳,346,762,22,3,0,1/30.5,1/34.6,1/254.0,1/0.0
スマスロ北斗の拳,347,298,1,1,0,1/149.0,1/298.0,1/298.0,1/0.0
スマスロ北斗の拳,348,40,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ北斗の拳,349,689,2,2,0,1/172.2,1/344.5,1/344.5,1/0.0
アイムジャグラーEX-TP,319,"4,199",16,10,0,1/161.5,1/262.4,1/419.9,1/0.0
アイムジャグラーEX-TP,320,"2,534",11,6,0,1/149.1,1/230.4,1/422.3,1/0.0
アイムジャグラーEX-TP,321,"5,039",20,6,0,1/193.8,1/251.9,1/839.8,1/0.0
アイムジャグラーEX-TP,322,"1,001",3,1,0,1/250.2,1/333.7,1/1001.0,1/0.0
アイムジャグラーEX-TP,323,"5,426",22,10,0,1/169.6,1/246.6,1/542.6,1/0.0
アイムジャグラーEX-TP,324,"2,946",10,8,0,1/163.7,1/294.6,1/368.2,1/0.0
アイムジャグラーEX-TP,325,"4,136",14,12,0,1/159.1,1/295.4,1/344.7,1/0.0
マイジャグラーV,313,"2,503",6,8,0,1/178.8,1/417.2,1/312.9,1/0.0
マイジャグラーV,314,"4,529",18,11,0,1/156.2,1/251.6,1/411.7,1/0.0
マイジャグラーV,315,"3,541",18,11,0,1/122.1,1/196.7,1/321.9,1/0.0
マイジャグラーV,316,"4,461",18,9,0,1/165.2,1/247.8,1/495.7,1/0.0
マイジャグラーV,317,"1,594",5,2,0,1/227.7,1/318.8,1/797.0,1/0.0
マイジャグラーV,318,"4,371",16,8,0,1/182.1,1/273.2,1/546.4,1/0.0
ハッピージャグラーVIII,326,357,0,1,0,1/357.0,1/0.0,1/357.0,1/0.0
ハッピージャグラーVIII,327,"2,640",8,8,0,1/165.0,1/330.0,1/330.0,1/0.0
ハッピージャグラーVIII,328,"3,295",18,8,0,1/126.7,1/183.1,1/411.9,1/0.0
ハッピージャグラーVIII,329,"1,476",3,6,0,1/164.0,1/492.0,1/246.0,1/0.0
ハッピージャグラーVIII,330,"4,919",23,12,0,1/140.5,1/213.9,1/409.9,1/0.0
ゴーゴージャグラー3,335,"4,165",17,14,0,1/134.4,1/245.0,1/297.5,1/0.0
ゴーゴージャグラー3,336,"1,602",7,2,0,1/178.0,1/228.9,1/801.0,1/0.0
ゴーゴージャグラー3,337,"6,328",26,23,0,1/129.1,1/243.4,1/275.1,1/0.0
ゴーゴージャグラー3,338,495,1,0,0,1/495.0,1/495.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,424,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,425,"2,092",7,6,0,1/160.9,1/298.9,1/348.7,1/0.0
ハナハナホウオウ～天翔～,426,201,1,0,0,1/201.0,1/201.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,239,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,767,0,2,6,1/95.9,1/0.0,1/383.5,1/127.8
ゴッドイーター リザレクション,372,"1,543",0,4,10,1/110.2,1/0.0,1/385.8,1/154.3
ゴッドイーター リザレクション,373,863,0,2,3,1/172.6,1/0.0,1/431.5,1/287.7
ファンキージャグラー2,339,"3,529",7,10,0,1/207.6,1/504.1,1/352.9,1/0.0
ファンキージャグラー2,340,"2,438",10,6,0,1/152.4,1/243.8,1/406.3,1/0.0
ファンキージャグラー2,341,"4,810",14,11,0,1/192.4,1/343.6,1/437.3,1/0.0
押忍！番長4,374,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍！番長4,375,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
押忍！番長4,376,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,398,125,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,399,128,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
炎炎ノ消防隊,400,"1,292",0,2,5,1/184.6,1/0.0,1/646.0,1/258.4
D4DJ Pachi‐Slot Mix,356,"1,012",11,0,10,1/48.2,1/92.0,1/0.0,1/101.2
D4DJ Pachi‐Slot Mix,357,"2,167",12,0,18,1/72.2,1/180.6,1/0.0,1/120.4
Re:ゼロから始める異世界生活 season2,362,"1,626",0,0,7,1/232.3,1/0.0,1/0.0,1/232.3
Re:ゼロから始める異世界生活 season2,363,772,0,0,7,1/110.3,1/0.0,1/0.0,1/110.3
ありふれた職業で世界最強,366,"1,211",0,4,3,1/173.0,1/0.0,1/302.8,1/403.7
ありふれた職業で世界最強,367,"2,979",0,2,19,1/141.9,1/0.0,1/1489.5,1/156.8
サンダーVライトニング,422,"2,763",9,12,0,1/131.6,1/307.0,1/230.2,1/0.0
サンダーVライトニング,423,"2,633",8,8,0,1/164.6,1/329.1,1/329.1,1/0.0
ジャグラーガールズ,333,387,1,0,0,1/387.0,1/387.0,1/0.0,1/0.0
ジャグラーガールズ,334,"1,697",9,5,0,1/121.2,1/188.6,1/339.4,1/0.0
スマスロ炎炎ノ消防隊,350,0,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
スマスロ炎炎ノ消防隊,351,"2,010",0,3,3,1/335.0,1/0.0,1/670.0,1/670.0
ダンベル何キロ持てる？,403,"3,512",0,12,98,1/31.9,1/0.0,1/292.7,1/35.8
