機種名,台番号,G数,差枚,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"3,656","-1,230",28,8,0,1/101.6,1/130.6,1/457.0,1/0.0
スマスロ北斗の拳,343,"6,524","+2,511",86,26,0,1/58.2,1/75.9,1/250.9,1/0.0
スマスロ北斗の拳,344,"2,069",-926,14,5,0,1/108.9,1/147.8,1/413.8,1/0.0
スマスロ北斗の拳,345,"1,166",-756,8,3,0,1/106.0,1/145.8,1/388.7,1/0.0
スマスロ北斗の拳,346,"2,989","-1,050",22,9,0,1/96.4,1/135.9,1/332.1,1/0.0
スマスロ北斗の拳,347,142,+77,2,1,0,1/47.3,1/71.0,1/142.0,1/0.0
スマスロ北斗の拳,348,"1,060",-203,11,2,0,1/81.5,1/96.4,1/530.0,1/0.0
スマスロ北斗の拳,349,"4,399","-2,679",28,10,0,1/115.8,1/157.1,1/439.9,1/0.0
アイムジャグラーEX-TP,319,"2,721",+861,14,7,0,1/129.6,1/194.4,1/388.7,1/0.0
アイムジャグラーEX-TP,320,"8,518","-4,460",20,10,0,1/283.9,1/425.9,1/851.8,1/0.0
アイムジャグラーEX-TP,321,"4,961",+169,21,10,0,1/160.0,1/236.2,1/496.1,1/0.0
アイムジャグラーEX-TP,322,"2,174",+343,11,4,0,1/144.9,1/197.6,1/543.5,1/0.0
アイムジャグラーEX-TP,323,"1,136",+800,8,3,0,1/103.3,1/142.0,1/378.7,1/0.0
アイムジャグラーEX-TP,324,"2,207",-438,8,3,0,1/200.6,1/275.9,1/735.7,1/0.0
アイムジャグラーEX-TP,325,"6,095","-2,350",16,14,0,1/203.2,1/380.9,1/435.4,1/0.0
マイジャグラーV,313,"5,151",+360,23,8,0,1/166.2,1/224.0,1/643.9,1/0.0
マイジャグラーV,314,"2,607",-798,9,3,0,1/217.2,1/289.7,1/869.0,1/0.0
マイジャグラーV,315,"1,692",+32,8,2,0,1/169.2,1/211.5,1/846.0,1/0.0
マイジャグラーV,316,"2,928","-1,240",4,12,0,1/183.0,1/732.0,1/244.0,1/0.0
マイジャグラーV,317,"2,203","-1,346",4,4,0,1/275.4,1/550.8,1/550.8,1/0.0
マイジャグラーV,318,"5,112","-1,204",15,12,0,1/189.3,1/340.8,1/426.0,1/0.0
ハッピージャグラーVIII,326,"1,283",+798,8,2,0,1/128.3,1/160.4,1/641.5,1/0.0
ハッピージャグラーVIII,327,"1,863",+926,11,5,0,1/116.4,1/169.4,1/372.6,1/0.0
ハッピージャグラーVIII,328,588,-514,0,2,0,1/294.0,1/0.0,1/294.0,1/0.0
ハッピージャグラーVIII,329,"3,586",+553,15,10,0,1/143.4,1/239.1,1/358.6,1/0.0
ハッピージャグラーVIII,330,858,-423,2,0,0,1/429.0,1/429.0,1/0.0,1/0.0
ゴーゴージャグラー3,335,815,-508,2,0,0,1/407.5,1/407.5,1/0.0,1/0.0
ゴーゴージャグラー3,336,"5,700",-423,22,11,0,1/172.7,1/259.1,1/518.2,1/0.0
ゴーゴージャグラー3,337,794,-456,1,2,0,1/264.7,1/794.0,1/397.0,1/0.0
ゴーゴージャグラー3,338,"7,896","+2,458",38,34,0,1/109.7,1/207.8,1/232.2,1/0.0
ハナハナホウオウ～天翔～-30,426,"2,459",-75,9,5,0,1/175.6,1/273.2,1/491.8,1/0.0
