台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,6294,22,22,0,1566,1/286.1,1/286.1,0.0,143.0,227
1002,783,1,1,0,242,1/783.0,1/783.0,0.0,391.5,164
1003,3105,7,10,0,427,1/443.6,1/310.5,0.0,182.6,380
1004,4994,16,9,0,810,1/312.1,1/554.9,0.0,199.8,217
1005,1034,2,1,0,242,1/517.0,1/1034.0,0.0,344.7,167
1006,3527,12,11,0,890,1/293.9,1/320.6,0.0,153.3,57
1007,1426,2,4,0,250,1/713.0,1/356.5,0.0,237.7,296
1008,6325,21,23,0,1138,1/301.2,1/275.0,0.0,143.8,465
1009,2505,10,5,0,861,1/250.5,1/501.0,0.0,167.0,30
1010,4291,18,12,0,1378,1/238.4,1/357.6,0.0,143.0,82
1011,2658,8,1,0,473,1/332.3,1/2658.0,0.0,295.3,57
1012,4463,17,12,0,1059,1/262.5,1/371.9,0.0,153.9,281
1013,6894,31,26,0,2837,1/222.4,1/265.2,0.0,120.9,234
1014,3161,9,10,0,779,1/351.2,1/316.1,0.0,166.4,532
1015,1402,1,5,0,341,1/1402.0,1/280.4,0.0,233.7,166
1016,5993,30,17,0,2185,1/199.8,1/352.5,0.0,127.5,182
1017,5463,22,21,0,1220,1/248.3,1/260.1,0.0,127.0,352
1018,1858,5,3,0,707,1/371.6,1/619.3,0.0,232.3,755
1019,5856,17,16,0,926,1/344.5,1/366.0,0.0,177.5,96
1020,5963,28,13,0,1859,1/213.0,1/458.7,0.0,145.4,303
1021,5217,30,15,0,3032,1/173.9,1/347.8,0.0,115.9,234
1022,7190,36,18,0,2841,1/199.7,1/399.4,0.0,133.1,119
1023,1726,3,6,0,308,1/575.3,1/287.7,0.0,191.8,214
1024,2184,7,7,0,813,1/312.0,1/312.0,0.0,156.0,73
1025,4495,17,14,0,859,1/264.4,1/321.1,0.0,145.0,327
1026,6588,27,21,0,1531,1/244.0,1/313.7,0.0,137.3,141
1027,6275,24,14,0,1590,1/261.5,1/448.2,0.0,165.1,151
1028,2566,7,12,0,794,1/366.6,1/213.8,0.0,135.1,270
1029,5279,19,23,0,1401,1/277.8,1/229.5,0.0,125.7,418
1030,1387,4,1,0,355,1/346.8,1/1387.0,0.0,277.4,315
1031,868,1,1,0,252,1/868.0,1/868.0,0.0,434.0,226
1032,2653,7,5,0,600,1/379.0,1/530.6,0.0,221.1,109
1033,2569,8,5,0,729,1/321.1,1/513.8,0.0,197.6,621
1034,3433,9,5,0,396,1/381.4,1/686.6,0.0,245.2,157
1035,4576,22,8,0,1387,1/208.0,1/572.0,0.0,152.5,195
1036,6593,33,13,0,2157,1/199.8,1/507.2,0.0,143.3,148
1037,1119,4,1,0,618,1/279.8,1/1119.0,0.0,223.8,110
1038,1903,5,6,0,446,1/380.6,1/317.2,0.0,173.0,390
1039,3604,10,9,0,643,1/360.4,1/400.4,0.0,189.7,70
1040,6203,28,36,0,3263,1/221.5,1/172.3,0.0,96.9,162
1041,2321,8,5,0,666,1/290.1,1/464.2,0.0,178.5,73
1042,4902,12,15,0,512,1/408.5,1/326.8,0.0,181.6,438
1043,1720,5,1,0,447,1/344.0,1/1720.0,0.0,286.7,263
1044,6461,27,24,0,1701,1/239.3,1/269.2,0.0,126.7,224
1045,5043,15,17,0,1449,1/336.2,1/296.6,0.0,157.6,290
1046,1424,4,3,0,468,1/356.0,1/474.7,0.0,203.4,165
1047,4475,20,5,0,815,1/223.8,1/895.0,0.0,179.0,111
1048,1764,6,3,0,442,1/294.0,1/588.0,0.0,196.0,450
1049,2431,10,8,0,1037,1/243.1,1/303.9,0.0,135.1,450
1050,5595,21,27,0,2157,1/266.4,1/207.2,0.0,116.6,110
1069,3152,8,9,0,1414,1/394.0,1/350.2,0.0,185.4,157
1070,5605,19,17,0,1014,1/295.0,1/329.7,0.0,155.7,213
1071,2268,8,6,0,430,1/283.5,1/378.0,0.0,162.0,260
1072,5145,19,12,0,1076,1/270.8,1/428.8,0.0,166.0,132
1073,3892,15,12,0,1467,1/259.5,1/324.3,0.0,144.1,175
1074,1724,4,2,0,444,1/431.0,1/862.0,0.0,287.3,240
1075,6249,22,20,0,1263,1/284.0,1/312.5,0.0,148.8,345
1076,3624,11,10,0,625,1/329.5,1/362.4,0.0,172.6,217
1077,2319,8,4,0,945,1/289.9,1/579.8,0.0,193.3,110
1078,3298,6,9,0,464,1/549.7,1/366.4,0.0,219.9,502
1079,2053,7,5,0,708,1/293.3,1/410.6,0.0,171.1,105
1080,2532,7,6,0,773,1/361.7,1/422.0,0.0,194.8,282
1081,4149,15,9,0,1019,1/276.6,1/461.0,0.0,172.9,269
1082,2151,6,4,0,540,1/358.5,1/537.8,0.0,215.1,192
1083,2163,7,4,0,637,1/309.0,1/540.8,0.0,196.6,388
1084,4227,21,9,0,1369,1/201.3,1/469.7,0.0,140.9,559
1085,3397,12,9,0,820,1/283.1,1/377.4,0.0,161.8,315
1086,3054,12,8,0,540,1/254.5,1/381.8,0.0,152.7,212
1087,3432,9,11,0,634,1/381.3,1/312.0,0.0,171.6,42
1088,5255,24,20,0,2583,1/219.0,1/262.8,0.0,119.4,309
1089,4340,18,13,0,1080,1/241.1,1/333.8,0.0,140.0,271
1090,5061,30,19,0,3755,1/168.7,1/266.4,0.0,103.3,275
1091,738,1,1,0,293,1/738.0,1/738.0,0.0,369.0,471
1092,5262,15,19,0,839,1/350.8,1/276.9,0.0,154.8,601
1093,1423,6,1,0,439,1/237.2,1/1423.0,0.0,203.3,430
1094,6279,25,18,0,966,1/251.2,1/348.8,0.0,146.0,513
1095,1187,5,0,0,618,1/237.4,1/0.0,0.0,237.4,255
1096,922,3,0,0,290,1/307.3,1/0.0,0.0,307.3,347
1097,2281,8,6,0,664,1/285.1,1/380.2,0.0,162.9,224
1098,1318,4,1,0,285,1/329.5,1/1318.0,0.0,263.6,103
1099,5641,26,19,0,2072,1/217.0,1/296.9,0.0,125.4,449
