台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"7,690",+6,29,29,1/132.6,1/265.2,1/265.2
1101,"3,946","+1,476",20,15,1/112.7,1/197.3,1/263.1
1102,805,-809,0,2,1/402.5,1/0.0,1/402.5
1103,"4,515",+971,19,25,1/102.6,1/237.6,1/180.6
1104,"1,361",-703,3,3,1/226.8,1/453.7,1/453.7
1105,"1,728",-268,6,5,1/157.1,1/288.0,1/345.6
1106,"2,428",-121,11,4,1/161.9,1/220.7,1/607.0
1107,"1,130","-1,394",0,1,1/1130.0,1/0.0,1/1130.0
1108,375,-326,0,1,1/375.0,1/0.0,1/375.0
1109,"3,987","+1,088",16,22,1/104.9,1/249.2,1/181.2
1110,243,-250,0,1,1/243.0,1/0.0,1/243.0
1111,"5,872",+832,25,20,1/130.5,1/234.9,1/293.6
1112,"1,098",-438,3,3,1/183.0,1/366.0,1/366.0
1113,"2,951",-509,10,11,1/140.5,1/295.1,1/268.3
1123,"3,891",-774,12,14,1/149.7,1/324.2,1/277.9
1124,833,-468,2,2,1/208.2,1/416.5,1/416.5
1125,"3,526",+209,17,6,1/153.3,1/207.4,1/587.7
1126,660,-615,1,0,1/660.0,1/660.0,1/0.0
1127,860,-474,2,1,1/286.7,1/430.0,1/860.0
1128,"3,583",-926,13,7,1/179.2,1/275.6,1/511.9
1129,"3,927","-1,206",11,14,1/157.1,1/357.0,1/280.5
