機種名,台番号,G数,BB,RB,合成確率,BB確率,RB確率
マイジャグラーV,444,"4,115",17,10,1/152.4,1/242.1,1/411.5
マイジャグラーV,445,"6,417",22,23,1/142.6,1/291.7,1/279.0
マイジャグラーV,446,"4,041",13,9,1/183.7,1/310.8,1/449.0
マイジャグラーV,447,"2,799",12,7,1/147.3,1/233.2,1/399.9
マイジャグラーV,448,"4,959",17,14,1/160.0,1/291.7,1/354.2
マイジャグラーV,449,"2,363",6,7,1/181.8,1/393.8,1/337.6
マイジャグラーV,450,"2,549",10,2,1/212.4,1/254.9,1/1274.5
マイジャグラーV,451,"5,726",30,12,1/136.3,1/190.9,1/477.2
マイジャグラーV,452,"3,117",13,8,1/148.4,1/239.8,1/389.6
マイジャグラーV,453,"3,726",13,9,1/169.4,1/286.6,1/414.0
マイジャグラーV,454,"1,239",2,3,1/247.8,1/619.5,1/413.0
マイジャグラーV,455,"6,687",34,13,1/142.3,1/196.7,1/514.4
マイジャグラーV,456,"1,223",4,2,1/203.8,1/305.8,1/611.5
マイジャグラーV,465,"2,453",9,6,1/163.5,1/272.6,1/408.8
マイジャグラーV,466,"3,047",10,12,1/138.5,1/304.7,1/253.9
マイジャグラーV,467,"1,454",2,0,1/727.0,1/727.0,1/0.0
マイジャグラーV,468,854,1,0,1/854.0,1/854.0,1/0.0
マイジャグラーV,469,"5,759",20,14,1/169.4,1/287.9,1/411.4
マイジャグラーV,470,"4,008",16,15,1/129.3,1/250.5,1/267.2
マイジャグラーV,471,"6,326",31,17,1/131.8,1/204.1,1/372.1
マイジャグラーV,472,"2,301",9,1,1/230.1,1/255.7,1/2301.0
マイジャグラーV,473,"3,695",15,10,1/147.8,1/246.3,1/369.5
マイジャグラーV,474,"2,572",6,4,1/257.2,1/428.7,1/643.0
マイジャグラーV,475,"5,448",19,16,1/155.7,1/286.7,1/340.5
マイジャグラーV,476,913,1,1,1/456.5,1/913.0,1/913.0
マイジャグラーV,477,"6,652",30,15,1/147.8,1/221.7,1/443.5
アイムジャグラーEX-TP,457,"1,933",8,8,1/120.8,1/241.6,1/241.6
アイムジャグラーEX-TP,458,"1,230",1,3,1/307.5,1/1230.0,1/410.0
アイムジャグラーEX-TP,459,"1,072",4,1,1/214.4,1/268.0,1/1072.0
アイムジャグラーEX-TP,460,"2,364",6,2,1/295.5,1/394.0,1/1182.0
アイムジャグラーEX-TP,461,"4,928",10,14,1/205.3,1/492.8,1/352.0
アイムジャグラーEX-TP,462,"2,606",11,6,1/153.3,1/236.9,1/434.3
アイムジャグラーEX-TP,463,334,0,0,1/0.0,1/0.0,1/0.0
アイムジャグラーEX-TP,464,"4,162",17,19,1/115.6,1/244.8,1/219.1
アイムジャグラーEX-TP,478,"3,279",15,5,1/163.9,1/218.6,1/655.8
アイムジャグラーEX-TP,479,423,0,1,1/423.0,1/0.0,1/423.0
アイムジャグラーEX-TP,480,"4,986",23,8,1/160.8,1/216.8,1/623.2
アイムジャグラーEX-TP,481,586,1,0,1/586.0,1/586.0,1/0.0
アイムジャグラーEX-TP,482,"4,052",13,13,1/155.8,1/311.7,1/311.7
アイムジャグラーEX-TP,483,"1,418",4,2,1/236.3,1/354.5,1/709.0
アイムジャグラーEX-TP,484,"1,508",6,1,1/215.4,1/251.3,1/1508.0
アイムジャグラーEX-TP,485,"2,683",10,5,1/178.9,1/268.3,1/536.6
アイムジャグラーEX-TP,486,"4,124",22,8,1/137.5,1/187.5,1/515.5
アイムジャグラーEX-TP,487,"2,110",6,8,1/150.7,1/351.7,1/263.8
アイムジャグラーEX-TP,488,913,1,1,1/456.5,1/913.0,1/913.0
アイムジャグラーEX-TP,489,790,1,2,1/263.3,1/790.0,1/395.0
アイムジャグラーEX-TP,490,418,1,1,1/209.0,1/418.0,1/418.0
アイムジャグラーEX-TP,491,"3,626",19,9,1/129.5,1/190.8,1/402.9
アイムジャグラーEX-TP,492,"4,297",17,13,1/143.2,1/252.8,1/330.5
アイムジャグラーEX-TP,493,"1,553",8,5,1/119.5,1/194.1,1/310.6
アイムジャグラーEX-TP,494,"3,043",14,6,1/152.2,1/217.4,1/507.2
ゴーゴージャグラー3,543,"2,313",11,5,1/144.6,1/210.3,1/462.6
ゴーゴージャグラー3,544,986,2,2,1/246.5,1/493.0,1/493.0
ゴーゴージャグラー3,545,571,2,0,1/285.5,1/285.5,1/0.0
ゴーゴージャグラー3,546,"4,777",20,10,1/159.2,1/238.8,1/477.7
ゴーゴージャグラー3,547,"2,502",9,6,1/166.8,1/278.0,1/417.0
ゴーゴージャグラー3,548,"2,593",9,4,1/199.5,1/288.1,1/648.2
ゴーゴージャグラー3,549,"4,717",22,10,1/147.4,1/214.4,1/471.7
ゴーゴージャグラー3,550,"1,467",5,5,1/146.7,1/293.4,1/293.4
ゴーゴージャグラー3,551,"1,826",7,7,1/130.4,1/260.9,1/260.9
ゴーゴージャグラー3,552,296,1,0,1/296.0,1/296.0,1/0.0
ゴーゴージャグラー3,553,"2,503",6,7,1/192.5,1/417.2,1/357.6
ゴーゴージャグラー3,554,"1,542",3,5,1/192.8,1/514.0,1/308.4
ゴーゴージャグラー3,555,361,1,0,1/361.0,1/361.0,1/0.0
ゴーゴージャグラー3,556,"6,513",27,17,1/148.0,1/241.2,1/383.1
スマスロ北斗の拳,648,"1,342",24,3,1/49.7,1/55.9,1/447.3
スマスロ北斗の拳,649,"1,515",28,5,1/45.9,1/54.1,1/303.0
スマスロ北斗の拳,650,"2,216",13,4,1/130.4,1/170.5,1/554.0
スマスロ北斗の拳,651,"1,969",18,5,1/85.6,1/109.4,1/393.8
スマスロ北斗の拳,652,"2,365",30,5,1/67.6,1/78.8,1/473.0
スマスロ北斗の拳,653,784,1,1,1/392.0,1/784.0,1/784.0
スマスロ北斗の拳,654,764,1,1,1/382.0,1/764.0,1/764.0
スマスロ北斗の拳,655,"2,665",34,7,1/65.0,1/78.4,1/380.7
スマスロ北斗の拳,656,879,3,1,1/219.8,1/293.0,1/879.0
スマスロ北斗の拳,657,"4,378",38,10,1/91.2,1/115.2,1/437.8
スマスロ北斗の拳,658,921,3,1,1/230.2,1/307.0,1/921.0
スマスロ北斗の拳,659,"2,185",28,8,1/60.7,1/78.0,1/273.1
スマスロ北斗の拳,660,901,59,1,1/15.0,1/15.3,1/901.0
スマスロ北斗の拳,661,"1,714",5,3,1/214.2,1/342.8,1/571.3
沖ドキ!GOLD‐30,526,"3,734",28,8,1/103.7,1/133.4,1/466.8
沖ドキ!GOLD‐30,527,295,0,0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD‐30,528,"1,134",4,2,1/189.0,1/283.5,1/567.0
沖ドキ!GOLD‐30,529,"2,970",7,4,1/270.0,1/424.3,1/742.5
沖ドキ!GOLD‐30,530,129,0,0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD‐30,531,"4,459",5,8,1/343.0,1/891.8,1/557.4
沖ドキ!GOLD‐30,532,"2,285",29,13,1/54.4,1/78.8,1/175.8
沖ドキ!GOLD‐30,533,472,1,1,1/236.0,1/472.0,1/472.0
沖ドキ!GOLD‐30,534,"2,092",11,8,1/110.1,1/190.2,1/261.5
沖ドキ!GOLD‐30,535,761,5,2,1/108.7,1/152.2,1/380.5
沖ドキ!GOLD‐30,536,"2,279",17,5,1/103.6,1/134.1,1/455.8
沖ドキ!GOLD‐30,537,175,0,0,1/0.0,1/0.0,1/0.0
沖ドキ!GOLD‐30,538,"2,878",4,6,1/287.8,1/719.5,1/479.7
