台番号,G数,差枚,BB,RB,合成確率,BB確率,RB確率
1100,"3,561","-1,618",9,9,1/197.8,1/395.7,1/395.7
1101,"2,036",-782,5,5,1/203.6,1/407.2,1/407.2
1102,881,-879,0,2,1/440.5,1/0.0,1/440.5
1103,"4,487",+982,20,16,1/124.6,1/224.3,1/280.4
1104,"3,709",-879,14,9,1/161.3,1/264.9,1/412.1
1105,879,-497,2,2,1/219.8,1/439.5,1/439.5
1106,"4,153",-935,13,11,1/173.0,1/319.5,1/377.5
1107,"7,442",+535,30,28,1/128.3,1/248.1,1/265.8
1108,"5,203","+1,347",26,17,1/121.0,1/200.1,1/306.1
1109,707,-609,1,1,1/353.5,1/707.0,1/707.0
1110,"4,033","+1,559",22,15,1/109.0,1/183.3,1/268.9
1111,"2,171","-1,206",3,7,1/217.1,1/723.7,1/310.1
1112,"3,624",+74,17,7,1/151.0,1/213.2,1/517.7
1113,"6,211",+868,29,18,1/132.1,1/214.2,1/345.1
1123,"7,554",+924,29,35,1/118.0,1/260.5,1/215.8
1124,816,-850,0,2,1/408.0,1/0.0,1/408.0
1125,"5,244","+1,335",28,16,1/119.2,1/187.3,1/327.8
1126,"3,766",-115,17,6,1/163.7,1/221.5,1/627.7
1127,"1,505",-909,4,1,1/301.0,1/376.2,1/1505.0
1128,"1,512",-421,4,5,1/168.0,1/378.0,1/302.4
1129,"3,588",-809,13,7,1/179.4,1/276.0,1/512.6
