機種名,台番号,G数,BB,RB,ART,合成確率,BB確率,RB確率,ART確率
スマスロ北斗の拳,342,"1,046",16,2,0,1/58.1,1/65.4,1/523.0,1/0.0
スマスロ北斗の拳,343,"1,879",17,3,0,1/94.0,1/110.5,1/626.3,1/0.0
スマスロ北斗の拳,344,"1,514",14,4,0,1/84.1,1/108.1,1/378.5,1/0.0
スマスロ北斗の拳,345,"1,803",5,2,0,1/257.6,1/360.6,1/901.5,1/0.0
スマスロ北斗の拳,346,857,3,1,0,1/214.2,1/285.7,1/857.0,1/0.0
スマスロ北斗の拳,347,"1,933",16,3,0,1/101.7,1/120.8,1/644.3,1/0.0
スマスロ北斗の拳,348,228,1,1,0,1/114.0,1/228.0,1/228.0,1/0.0
スマスロ北斗の拳,349,"1,005",14,2,0,1/62.8,1/71.8,1/502.5,1/0.0
アイムジャグラーEX-TP,319,"2,751",11,7,0,1/152.8,1/250.1,1/393.0,1/0.0
アイムジャグラーEX-TP,320,"4,855",22,11,0,1/147.1,1/220.7,1/441.4,1/0.0
アイムジャグラーEX-TP,321,"2,497",8,4,0,1/208.1,1/312.1,1/624.2,1/0.0
アイムジャグラーEX-TP,322,647,1,0,0,1/647.0,1/647.0,1/0.0,1/0.0
アイムジャグラーEX-TP,323,"3,271",10,8,0,1/181.7,1/327.1,1/408.9,1/0.0
アイムジャグラーEX-TP,324,"1,850",6,3,0,1/205.6,1/308.3,1/616.7,1/0.0
アイムジャグラーEX-TP,325,"8,038",39,24,0,1/127.6,1/206.1,1/334.9,1/0.0
マイジャグラーV,313,"4,823",12,11,0,1/209.7,1/401.9,1/438.5,1/0.0
マイジャグラーV,314,"1,211",1,2,0,1/403.7,1/1211.0,1/605.5,1/0.0
マイジャグラーV,315,"4,598",14,10,0,1/191.6,1/328.4,1/459.8,1/0.0
マイジャグラーV,316,"1,393",6,2,0,1/174.1,1/232.2,1/696.5,1/0.0
マイジャグラーV,317,"1,735",5,3,0,1/216.9,1/347.0,1/578.3,1/0.0
マイジャグラーV,318,"1,897",8,6,0,1/135.5,1/237.1,1/316.2,1/0.0
ハッピージャグラーVIII,326,"2,908",14,6,0,1/145.4,1/207.7,1/484.7,1/0.0
ハッピージャグラーVIII,327,571,1,0,0,1/571.0,1/571.0,1/0.0,1/0.0
ハッピージャグラーVIII,328,"2,658",15,11,0,1/102.2,1/177.2,1/241.6,1/0.0
ハッピージャグラーVIII,329,"2,632",8,10,0,1/146.2,1/329.0,1/263.2,1/0.0
ハッピージャグラーVIII,330,551,3,0,0,1/183.7,1/183.7,1/0.0,1/0.0
ゴーゴージャグラー3,335,"1,617",3,4,0,1/231.0,1/539.0,1/404.2,1/0.0
ゴーゴージャグラー3,336,"3,631",15,6,0,1/172.9,1/242.1,1/605.2,1/0.0
ゴーゴージャグラー3,337,"4,068",18,13,0,1/131.2,1/226.0,1/312.9,1/0.0
ゴーゴージャグラー3,338,"3,040",11,8,0,1/160.0,1/276.4,1/380.0,1/0.0
ハナハナホウオウ～天翔～,424,285,0,1,0,1/285.0,1/0.0,1/285.0,1/0.0
ハナハナホウオウ～天翔～,425,543,2,1,0,1/181.0,1/271.5,1/543.0,1/0.0
ハナハナホウオウ～天翔～,426,7,0,0,0,1/0.0,1/0.0,1/0.0,1/0.0
ハナハナホウオウ～天翔～,427,828,4,0,0,1/207.0,1/207.0,1/0.0,1/0.0
ゴッドイーター リザレクション,371,"1,757",0,4,18,1/79.9,1/0.0,1/439.2,1/97.6
ゴッドイーター リザレクション,372,"1,079",0,3,7,1/107.9,1/0.0,1/359.7,1/154.1
ゴッドイーター リザレクション,373,"3,589",0,4,24,1/128.2,1/0.0,1/897.2,1/149.5
ファンキージャグラー2,339,"1,771",4,6,0,1/177.1,1/442.8,1/295.2,1/0.0
ファンキージャグラー2,340,"5,472",18,17,0,1/156.3,1/304.0,1/321.9,1/0.0
ファンキージャグラー2,341,883,3,1,0,1/220.8,1/294.3,1/883.0,1/0.0
押忍！番長4,374,"1,527",0,0,3,1/509.0,1/0.0,1/0.0,1/509.0
押忍！番長4,375,564,0,1,5,1/94.0,1/0.0,1/564.0,1/112.8
