台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率,前日最終スタート
1001,5956,26,12,0,1414,1/229.1,1/496.3,0.0,156.7,246
1002,667,0,2,0,108,1/0.0,1/333.5,0.0,333.5,149
1003,6701,39,30,0,4985,1/171.8,1/223.4,0.0,97.1,292
1004,5654,22,20,0,1521,1/257.0,1/282.7,0.0,134.6,414
1005,2248,8,5,0,821,1/281.0,1/449.6,0.0,172.9,89
1006,2977,11,6,0,858,1/270.6,1/496.2,0.0,175.1,259
1007,5159,13,12,0,774,1/396.8,1/429.9,0.0,206.4,276
1008,3851,15,11,0,1318,1/256.7,1/350.1,0.0,148.1,144
1009,5353,27,16,0,2286,1/198.3,1/334.6,0.0,124.5,196
1010,7228,34,19,0,2110,1/212.6,1/380.4,0.0,136.4,578
1011,2337,3,6,0,493,1/779.0,1/389.5,0.0,259.7,134
1012,6224,25,19,0,1794,1/249.0,1/327.6,0.0,141.5,351
1013,2233,8,6,0,579,1/279.1,1/372.2,0.0,159.5,11
1014,6556,28,17,0,1550,1/234.1,1/385.6,0.0,145.7,229
1015,3912,12,9,0,570,1/326.0,1/434.7,0.0,186.3,355
1016,3070,12,7,0,693,1/255.8,1/438.6,0.0,161.6,52
1017,1085,2,2,0,523,1/542.5,1/542.5,0.0,271.3,188
1018,5947,25,22,0,2067,1/237.9,1/270.3,0.0,126.5,160
1019,3786,9,8,0,519,1/420.7,1/473.3,0.0,222.7,118
1020,4766,11,14,0,835,1/433.3,1/340.4,0.0,190.6,202
1021,6260,23,21,0,1933,1/272.2,1/298.1,0.0,142.3,35
1022,6240,18,17,0,880,1/346.7,1/367.1,0.0,178.3,358
1023,2853,8,5,0,640,1/356.6,1/570.6,0.0,219.5,425
1024,3424,11,5,0,701,1/311.3,1/684.8,0.0,214.0,99
1025,3398,15,5,0,881,1/226.5,1/679.6,0.0,169.9,115
1026,4194,14,9,0,961,1/299.6,1/466.0,0.0,182.3,340
1027,5670,16,21,0,710,1/354.4,1/270.0,0.0,153.2,72
1028,5187,14,17,0,637,1/370.5,1/305.1,0.0,167.3,482
1029,5983,21,21,0,1394,1/284.9,1/284.9,0.0,142.5,125
1030,3039,9,8,0,1057,1/337.7,1/379.9,0.0,178.8,258
1031,2134,4,4,0,378,1/533.5,1/533.5,0.0,266.8,192
1032,6310,22,14,0,964,1/286.8,1/450.7,0.0,175.3,321
1033,6501,26,16,0,1171,1/250.0,1/406.3,0.0,154.8,531
1034,3361,5,12,0,633,1/672.2,1/280.1,0.0,197.7,352
1035,2033,1,6,0,391,1/2033.0,1/338.8,0.0,290.4,232
1036,6638,31,22,0,2043,1/214.1,1/301.7,0.0,125.2,186
1037,4615,22,9,0,1745,1/209.8,1/512.8,0.0,148.9,574
1038,1298,4,1,0,598,1/324.5,1/1298.0,0.0,259.6,238
1039,8002,31,25,0,1602,1/258.1,1/320.1,0.0,142.9,205
1040,8764,27,34,0,2171,1/324.6,1/257.8,0.0,143.7,271
1041,2151,6,4,0,284,1/358.5,1/537.8,0.0,215.1,203
1042,1940,4,3,0,318,1/485.0,1/646.7,0.0,277.1,151
1043,7239,28,23,0,1717,1/258.5,1/314.7,0.0,141.9,741
1044,3101,12,9,0,961,1/258.4,1/344.6,0.0,147.7,221
1045,6283,19,23,0,1291,1/330.7,1/273.2,0.0,149.6,66
1046,4397,13,16,0,742,1/338.2,1/274.8,0.0,151.6,378
1047,4027,10,12,0,642,1/402.7,1/335.6,0.0,183.0,263
1048,3869,13,13,0,1479,1/297.6,1/297.6,0.0,148.8,156
1049,7659,33,28,0,2371,1/232.1,1/273.5,0.0,125.6,172
1050,8314,33,27,0,1454,1/251.9,1/307.9,0.0,138.6,164
1069,5215,21,14,0,1094,1/248.3,1/372.5,0.0,149.0,208
1070,3076,12,6,0,1096,1/256.3,1/512.7,0.0,170.9,148
1071,7627,31,26,0,1580,1/246.0,1/293.3,0.0,133.8,18
1072,3556,8,8,0,371,1/444.5,1/444.5,0.0,222.3,200
1073,4007,10,14,0,717,1/400.7,1/286.2,0.0,167.0,233
1074,1830,4,2,0,325,1/457.5,1/915.0,0.0,305.0,269
1075,7828,26,30,0,1823,1/301.1,1/260.9,0.0,139.8,250
1076,4590,13,14,0,707,1/353.1,1/327.9,0.0,170.0,423
1077,3192,9,7,0,580,1/354.7,1/456.0,0.0,199.5,250
1078,7486,27,26,0,1535,1/277.3,1/287.9,0.0,141.2,138
1079,4712,11,18,0,1086,1/428.4,1/261.8,0.0,162.5,204
1080,5183,17,19,0,916,1/304.9,1/272.8,0.0,144.0,480
1081,3034,7,9,0,1031,1/433.4,1/337.1,0.0,189.6,221
1082,6334,29,20,0,2002,1/218.4,1/316.7,0.0,129.3,319
1083,8827,34,32,0,2608,1/259.6,1/275.8,0.0,133.7,339
1084,6595,26,22,0,1627,1/253.7,1/299.8,0.0,137.4,260
1085,4922,15,18,0,994,1/328.1,1/273.4,0.0,149.2,170
1086,1292,0,4,0,108,1/0.0,1/323.0,0.0,323.0,277
1087,8080,43,22,0,3525,1/187.9,1/367.3,0.0,124.3,498
1088,3399,16,6,0,1362,1/212.4,1/566.5,0.0,154.5,433
1089,1429,3,1,0,247,1/476.3,1/1429.0,0.0,357.3,133
1090,3521,13,14,0,1169,1/270.8,1/251.5,0.0,130.4,136
1091,5602,19,19,0,1513,1/294.8,1/294.8,0.0,147.4,597
1092,5306,24,10,0,2124,1/221.1,1/530.6,0.0,156.1,245
1093,7515,29,21,0,862,1/259.1,1/357.9,0.0,150.3,205
1094,5249,22,14,0,1102,1/238.6,1/374.9,0.0,145.8,119
1095,8748,37,29,0,2304,1/236.4,1/301.7,0.0,132.5,353
1096,5599,20,16,0,1108,1/280.0,1/349.9,0.0,155.5,232
1097,5307,13,18,0,931,1/408.2,1/294.8,0.0,171.2,233
1098,2170,8,4,0,688,1/271.3,1/542.5,0.0,180.8,195
1099,7039,26,22,0,1098,1/270.7,1/320.0,0.0,146.6,229
